gene_name	gene_id	chr	start	end	gene_length	length_quintile	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	mecp2_fold	mecp2_fdr	mecp2_n_peaks	is_mecp2_up	is_neuronal	is_synapse	k119ub_decile	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	atac_fdr	k27ac_fdr	k27me3_fdr	k119ub_fdr	atac_remodeled	k27ac_remodeled	k27me3_remodeled	k119ub_remodeled	neuronal_group	synapse_group
Cnbd2	ENSMUSG00000038085.13	chr2	156312298	156375638	63340	5	-0.000481835155311035	-0.203952098254265	0.0200620543604835	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.156439528468384	NA	NA	NA	0.377130588583347	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cnbp	ENSMUSG00000030057.15	chr6	87842614	87851106	8492	2	-0.00337194005878866	-0.707678961354042	0.0245926158727782	TRUE	Hypomethylated	-0.130478512	0.550849889	1	FALSE	FALSE	FALSE	NA	0.0897863742511339	0.00615828842449712	NA	NA	0.599778182330157	0.971044825805853	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cndp1	ENSMUSG00000056162.14	chr18	84610508	84650095	39587	4	0.000469972690999902	-0.191929360570723	0.140015951772592	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.082328514036311	NA	NA	NA	0.725726431392487	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cndp2	ENSMUSG00000024644.17	chr18	84667464	84685702	18238	3	-0.00118186880295486	-0.257903243414497	0.154362655858417	FALSE	Hypomethylated	-0.00226997	0.995500811	1	FALSE	FALSE	FALSE	7	0.080119189125153	0.0914685540810062	NA	0.265924227	0.676517079421766	0.651459809204784	NA	0.027193091	FALSE	FALSE	NA	TRUE	Neither	Neither
Cnep1r1	ENSMUSG00000036810.16	chr8	88118768	88135110	16342	3	-0.000112655131630415	-0.32402678700703	0.107627281631842	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0231328674086592	-0.14517776521482	NA	NA	0.910062331274007	0.339630869652493	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnfn	ENSMUSG00000063651.11	chr7	25367619	25369724	2105	1	-0.00659443833967026	-0.762005813610474	0.172070249694848	FALSE	Hypomethylated	0.015535774	0.962145738	1	FALSE	FALSE	FALSE	2	0.128444656909131	-0.00654679753163243	NA	-0.286586682	0.486646088547602	0.976183807968576	NA	0.005490619	FALSE	FALSE	NA	TRUE	Neither	Neither
Cnga1	ENSMUSG00000067220.12	chr5	72603695	72644275	40580	4	-0.000256011330294043	-0.103892231927612	0.450707982525585	FALSE	Hypomethylated	NA	NA	NA	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gene set only	Neither
Cnga2	ENSMUSG00000005864.7	chrX	71991848	72010218	18370	3	0.000778185466916746	-0.114706055543313	0.63625467619147	FALSE	Hypomethylated	NA	NA	NA	FALSE	TRUE	FALSE	9	0.202986869717113	NA	NA	0.720476468	0.353352642565437	NA	NA	4.64e-05	FALSE	NA	NA	TRUE	Gene set only	Neither
Cnga3	ENSMUSG00000026114.14	chr1	37214433	37263384	48951	4	-0.00166356837182623	-0.286605213287913	0.0100553411356567	TRUE	Hypomethylated	NA	NA	NA	FALSE	TRUE	FALSE	1	-0.0311871886391733	NA	-0.28783340727977	-0.514511217	0.901791325004722	NA	0.142156492345342	1.35e-06	FALSE	NA	FALSE	TRUE	Gene set only	Neither
Cnga4	ENSMUSG00000030897.5	chr7	105404567	105408742	4175	1	0.00131579084204262	-0.0932485038436589	0.793762489312959	FALSE	Hypomethylated	0.009286561	0.979524979	1	FALSE	TRUE	FALSE	NA	-0.0592939761950017	NA	NA	NA	0.798196251325684	NA	NA	NA	FALSE	NA	NA	NA	Gene set only	Neither
Cngb1	ENSMUSG00000031789.17	chr8	95239044	95306585	67541	5	-0.000264193631222601	-0.17417098735788	0.041648952137554	TRUE	Hypomethylated	-0.04873812	0.850339787	2	FALSE	TRUE	FALSE	1	0.236064059435239	NA	NA	-0.50293753	0.339422643863377	NA	NA	0.001017478	FALSE	NA	NA	TRUE	Gene set only	Neither
Cngb3	ENSMUSG00000056494.7	chr4	19280849	19510623	229774	5	0.00101856980627383	-0.147429523482745	0.0368483036058569	TRUE	Hypomethylated	NA	NA	NA	FALSE	TRUE	FALSE	6	0.215280024627361	NA	NA	0.151717244	0.328470103338733	NA	NA	0.267413966	FALSE	NA	NA	FALSE	Gene set only	Neither
Cnih1	ENSMUSG00000015759.11	chr14	46775566	46788411	12845	3	0.000117548560389112	-0.0529621913255713	0.861639921695985	FALSE	Hypomethylated	-0.062130596	0.799105211	1	FALSE	FALSE	FALSE	8	0.0956607128884291	0.0461891424955351	NA	0.53511835	0.589047309056846	0.781834903924659	NA	0.000895232	FALSE	FALSE	NA	TRUE	Neither	Neither
Cnih2	ENSMUSG00000024873.7	chr19	5092867	5098521	5654	1	0.00433159769524855	0.268535413259023	0.39755997083675	FALSE	Hypermethylated	0.056414895	0.815534804	2	FALSE	TRUE	TRUE	3	0.262774235197374	0.399885717901652	NA	-0.233149443	0.21702736445224	0.0364823545219121	NA	0.137164453	FALSE	TRUE	NA	FALSE	Gene set only	Gene set only
Cnih3	ENSMUSG00000026514.14	chr1	181352627	181460641	108014	5	-0.00558187885039206	-0.246255315823135	3.18983866122839e-06	TRUE	Hypomethylated	-0.056946356	0.81332205	8	FALSE	TRUE	TRUE	3	-0.0855094025921746	NA	-0.246102418780355	-0.161208829	0.692771109466549	NA	0.214008371261964	0.083550336	FALSE	NA	FALSE	FALSE	Gene set only	Gene set only
Cnih4	ENSMUSG00000062169.13	chr1	181144692	181168994	24302	3	-0.00155801097008043	-0.349394140338741	0.112697356370781	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0104245784336541	NA	NA	NA	0.963392789280288	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cnksr1	ENSMUSG00000028841.14	chr4	134228040	134238399	10359	2	-0.00299842544028759	-0.362726342416775	0.036644216488597	TRUE	Hypomethylated	0.041121927	0.879413607	1	FALSE	FALSE	FALSE	3	0.0868041065454866	NA	NA	-0.149456717	0.708632497682101	NA	NA	0.269848217	FALSE	NA	NA	FALSE	Neither	Neither
Cnksr2	ENSMUSG00000025658.16	chrX	157821435	158043294	221859	5	-0.000113818232318326	-0.366154063516116	6.5675421380284e-05	TRUE	Hypomethylated	-0.050165733	0.849507075	1	FALSE	TRUE	TRUE	NA	0.16337962042328	0.0231163969685785	NA	NA	0.352060357820932	0.894026619894974	NA	NA	FALSE	FALSE	NA	NA	Gene set only	Gene set only
Cnksr3	ENSMUSG00000015202.13	chr10	7119062	7212237	93175	5	-0.000329184796500747	-0.263151263065144	0.00217620684404194	TRUE	Hypomethylated	-0.039963047	0.882972273	11	FALSE	FALSE	FALSE	9	0.181402608826312	0.445249866918065	NA	0.701977053	0.285434634535507	0.0126779297396302	NA	2.24e-13	FALSE	TRUE	NA	TRUE	Neither	Neither
Cnmd	ENSMUSG00000022025.13	chr14	79637689	79662170	24481	3	0.00042554197095318	-0.179179745646024	0.245615638004345	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	6	0.683869746329081	NA	-0.2769327383419	0.232810832	0.00254860549370813	NA	0.13456729526948	0.029140223	TRUE	NA	FALSE	TRUE	Neither	Neither
Cnn1	ENSMUSG00000001349.5	chr9	22099215	22109630	10415	2	-0.00402448116164341	-0.62972421040563	0.0120778474529586	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	5	0.16956913039667	NA	-0.00520573613805406	0.056744868	0.362196667165177	NA	0.983386203782615	0.718354822	FALSE	NA	FALSE	FALSE	Neither	Neither
Cnn2	ENSMUSG00000004665.10	chr10	79988583	79996062	7479	2	0.00349601749132463	0.150902120598307	0.58345436394892	FALSE	Hypermethylated	-0.102518492	0.623441501	1	FALSE	FALSE	FALSE	4	NA	NA	0.221539297733542	-0.102678449	NA	NA	0.385894177694574	0.436352777	NA	NA	FALSE	FALSE	Neither	Neither
Cnn3	ENSMUSG00000053931.11	chr3	121426496	121458207	31711	4	-0.00132820492823992	-0.252562022202127	0.022994819274511	TRUE	Hypomethylated	-0.022841835	0.939615702	2	FALSE	FALSE	FALSE	6	0.363465098863233	0.806839327957373	NA	0.138005014	0.0408348103529863	0.000341447378334584	NA	0.164060899	TRUE	TRUE	NA	FALSE	Neither	Neither
Cnnm1	ENSMUSG00000025189.9	chr19	43440435	43497210	56775	4	0.00414374917559085	0.0989205786822335	0.159428317288694	FALSE	Hypermethylated	0.087256088	0.683360102	3	FALSE	FALSE	FALSE	7	-0.100606973006699	-0.0307694473578122	NA	0.326881063	0.587389441389458	0.851759553382047	NA	0.014978338	FALSE	FALSE	NA	TRUE	Neither	Neither
Cnnm2	ENSMUSG00000064105.13	chr19	46761595	46880192	118597	5	-0.00185598611919546	-0.304685228107043	5.51967035889468e-06	TRUE	Hypomethylated	-0.070445827	0.759325264	1	FALSE	FALSE	FALSE	4	0.0755987684442251	0.260794472384389	NA	-0.051837055	0.702653911959359	0.072291165684557	NA	0.786361634	FALSE	FALSE	NA	FALSE	Neither	Neither
Cnnm3	ENSMUSG00000001138.13	chr1	36511866	36528237	16371	3	0.000157544271396078	-0.209048071038979	0.193834127342486	FALSE	Hypomethylated	-0.054633723	0.827457944	3	FALSE	FALSE	FALSE	5	0.0568803734609497	0.00847743558907224	NA	0.050782522	0.762641562084272	0.960394356185175	NA	0.754772148	FALSE	FALSE	NA	FALSE	Neither	Neither
Cnnm4	ENSMUSG00000037408.10	chr1	36471619	36508764	37145	4	0.00277941629815958	0.082998277475358	0.408110870048244	FALSE	Hypermethylated	-0.007375347	0.984397778	1	FALSE	TRUE	FALSE	8	0.117732792809661	-0.197597897432136	NA	0.515150053	0.502955993202594	0.128195328289418	NA	5.94e-07	FALSE	FALSE	NA	TRUE	Gene set only	Neither
Cnot1	ENSMUSG00000036550.16	chr8	95719450	95807464	88014	5	0.00039760276386234	-0.186613634409742	0.0325196398270572	TRUE	Hypomethylated	-0.036180806	0.893805793	1	FALSE	FALSE	FALSE	NA	0.152189059330982	0.317165495948904	NA	NA	0.357241304472417	0.0286847081651617	NA	NA	FALSE	TRUE	NA	NA	Neither	Neither
Cnot10	ENSMUSG00000056167.8	chr9	114585877	114640184	54307	4	0.00117216095993708	-0.036602909937959	0.783375040723438	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0693785967480841	NA	NA	NA	0.693799753521726	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cnot11	ENSMUSG00000003135.15	chr1	39534991	39546889	11898	2	-7.4117738531972e-05	-0.312453978958226	0.293627665736327	FALSE	Hypomethylated	-0.047717567	0.850339787	1	FALSE	FALSE	FALSE	10	-0.0102637412981282	0.0138098155847638	NA	1.068034201	0.960205138679545	0.940820346131323	NA	1.53e-13	FALSE	FALSE	NA	TRUE	Neither	Neither
Cnot2	ENSMUSG00000020166.15	chr10	116485160	116581511	96351	5	-0.00166878257761456	-0.365904616522318	2.31508483553289e-05	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.23327706923167	0.261606726555121	NA	NA	0.142534880531817	0.156177856629714	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnot3	ENSMUSG00000035632.16	chr7	3645267	3661109	15842	3	-0.000275479567777209	-0.359454033874142	0.0543623761386903	FALSE	Hypomethylated	-0.029621072	0.915512799	1	FALSE	FALSE	FALSE	NA	-0.0134876984564272	0.115076035219546	NA	NA	0.950518236321174	0.460491608920748	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnot4	ENSMUSG00000038784.13	chr6	35022064	35133724	111660	5	8.2299056119119e-05	-0.235074349463693	0.00341627134339714	TRUE	Hypomethylated	-0.009945488	0.977508467	1	FALSE	FALSE	FALSE	9	0.12424923941614	0.108655710138083	NA	0.764084452	0.459783267534673	0.476068803175498	NA	4.51e-09	FALSE	FALSE	NA	TRUE	Neither	Neither
Cnot6	ENSMUSG00000020362.13	chr11	49671502	49712723	41221	4	0.000135714719456498	-0.235106915951319	0.0576620166160584	FALSE	Hypomethylated	0.041662438	0.875909043	1	FALSE	FALSE	FALSE	NA	0.066767585958473	0.474714260852233	NA	NA	0.724593774380334	0.015724505453601	NA	NA	FALSE	TRUE	NA	NA	Neither	Neither
Cnot6l	ENSMUSG00000034724.18	chr5	96070332	96164171	93839	5	-0.000452160707466833	-0.326788238838605	0.00105199548836594	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0954746116048278	0.141131347701769	NA	NA	0.57852895795131	0.39177402070388	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnot7	ENSMUSG00000031601.16	chr8	40492539	40515847	23308	3	0.00221371377559042	-0.0245725711483742	0.909605927571357	FALSE	Hypomethylated	-0.119813348	0.593285074	1	FALSE	FALSE	FALSE	NA	0.17380208979746	-0.0287978590446448	NA	NA	0.299944118347962	0.853419888044259	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnot8	ENSMUSG00000020515.13	chr11	58104152	58118594	14442	3	0.00270756206709734	0.0358807432318203	0.884175594277989	FALSE	Hypermethylated	-0.020886519	0.94631249	1	FALSE	FALSE	FALSE	NA	0.0375292946021807	-0.174527742471427	NA	NA	0.840618160592697	0.282015522217312	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnot9	ENSMUSG00000026174.9	chr1	74506057	74530842	24785	3	0.000745711031932959	-0.296598329472191	0.0503438679882697	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
Cnp	ENSMUSG00000006782.16	chr11	100574903	100591729	16826	3	0.00151372660015989	-0.139812667058198	0.479451723798007	FALSE	Hypomethylated	NA	NA	NA	FALSE	TRUE	TRUE	5	0.0707920281402844	-0.0818111264130278	NA	0.075223721	0.71842124261126	0.631381044609317	NA	0.642745271	FALSE	FALSE	NA	FALSE	Gene set only	Gene set only
Cnppd1	ENSMUSG00000033159.14	chr1	75134553	75142711	8158	2	-0.00289810286136193	-0.531684044495528	0.0883488161813149	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0957229427555954	NA	NA	NA	0.665260616273767	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cnpy1	ENSMUSG00000044681.19	chr5	28200818	28245806	44988	4	0.0161881818764892	0.702984768443071	2.25517458991985e-10	TRUE	Hypermethylated	1.87155563	2.5e-11	4	TRUE	FALSE	FALSE	10	-0.399763091364026	-0.469137859122489	NA	1.160048138	0.0170391989629791	0.00413346277066208	NA	1.63e-18	TRUE	TRUE	NA	TRUE	MeCP2-up only	MeCP2-up only
Cnpy2	ENSMUSG00000025381.3	chr10	128322458	128327553	5095	1	0.000477351169825984	-0.326778765305845	0.371718761187402	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0510152789881893	0.121810400524319	NA	NA	0.808012518584007	0.395205917520302	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnpy3	ENSMUSG00000023973.13	chr17	46735704	46752214	16510	3	0.00115558631825957	-0.0722882604688744	0.754846019479333	FALSE	Hypomethylated	-0.017938136	0.95691241	1	FALSE	FALSE	FALSE	NA	0.0281224378438467	-0.0552036755926849	NA	NA	0.882220627660341	0.738263898177255	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cnpy4	ENSMUSG00000036968.15	chr5	138187484	138193918	6434	2	-0.000791960823294179	-0.445887359162559	0.169350175600759	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.114016522900456	NA	NA	NA	0.534286262489568	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cnr1	ENSMUSG00000044288.6	chr4	33924592	33948831	24239	3	0.00205288298364267	-0.0231681689118876	0.900875550301899	FALSE	Hypomethylated	0.815154326	0.000464202	18	TRUE	TRUE	TRUE	9	-0.0113194869570328	-0.11627922465245	2.9864586855909	0.590254053	0.956058132297674	0.468130158962305	7.80264753893291e-18	1.12e-12	FALSE	FALSE	TRUE	TRUE	Both	Both
Cnr2	ENSMUSG00000062585.11	chr4	135895393	135920207	24814	3	-0.000242180186394814	-0.186440133421836	0.133435883816667	FALSE	Hypomethylated	NA	NA	NA	FALSE	TRUE	TRUE	NA	0.248407969116758	NA	NA	NA	0.270377153878828	NA	NA	NA	FALSE	NA	NA	NA	Gene set only	Gene set only
Cnrip1	ENSMUSG00000044629.5	chr11	17051585	17079371	27786	4	0.00235763769883886	-3.79659216307507e-05	0.999845664630376	FALSE	Hypomethylated	-0.029879983	0.917289709	1	FALSE	TRUE	TRUE	NA	0.152561593116215	NA	NA	NA	0.346741326823871	NA	NA	NA	FALSE	NA	NA	NA	Gene set only	Gene set only
Cnst	ENSMUSG00000038949.8	chr1	179546369	179627478	81109	5	-0.000313563334071915	-0.176817325479116	0.0238112522417244	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	4	0.189226539821759	-0.787650667684906	NA	-0.10390517	0.321797603883876	1.7060086276796e-05	NA	0.504848472	FALSE	TRUE	NA	FALSE	Neither	Neither
Cntd1	ENSMUSG00000078653.4	chr11	101279011	101296317	17306	3	6.07052789954078e-05	-0.170647097488442	0.356789268620991	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
Cntf	ENSMUSG00000079415.2	chr19	12763659	12765632	1973	1	-0.00182608592758835	-1.0137770427086	0.104904705114064	FALSE	Hypomethylated	NA	NA	NA	FALSE	TRUE	TRUE	NA	0.0470090908593108	NA	NA	NA	0.819672960393406	NA	NA	NA	FALSE	NA	NA	NA	Gene set only	Gene set only
Cntfr	ENSMUSG00000028444.17	chr4	41657497	41697089	39592	4	-0.00277498379757702	-0.281993716299925	0.0108490038036954	TRUE	Hypomethylated	NA	NA	NA	FALSE	TRUE	FALSE	2	0.0774349141855566	1.23388374060018	NA	-0.342903469	0.703012568518315	4.46479464107767e-08	NA	0.059919013	FALSE	TRUE	NA	FALSE	Gene set only	Neither
Cntln	ENSMUSG00000038070.15	chr4	84884308	85131921	247613	5	0.00160199858110346	-0.0322129728854649	0.538476624344822	FALSE	Hypomethylated	-0.033290463	0.904106154	3	FALSE	FALSE	FALSE	10	-0.110404147331364	-0.413588759029511	NA	0.802022768	0.534286262489568	0.0332915140197638	NA	2.65e-15	FALSE	TRUE	NA	TRUE	Neither	Neither
Cntn1	ENSMUSG00000055022.14	chr15	92051164	92341967	290803	5	0.000282126184583349	-0.135429818957803	0.00548524063222961	TRUE	Hypomethylated	0.044010602	0.863104195	6	FALSE	TRUE	TRUE	8	0.128929748269271	-0.621708484615518	NA	0.499746836	0.434576762233384	2.00761718294354e-05	NA	0.000365147	FALSE	TRUE	NA	TRUE	Gene set only	Gene set only
Cntn2	ENSMUSG00000053024.14	chr1	132509426	132543256	33830	4	0.000397931487442986	-0.156050248321342	0.327121088674216	FALSE	Hypomethylated	0.039722834	0.882972273	1	FALSE	TRUE	TRUE	1	0.0570416646023378	0.550323961127175	NA	-0.523004634	0.74985215185569	0.00596962516153727	NA	3.28e-05	FALSE	TRUE	NA	TRUE	Gene set only	Gene set only
Cntn3	ENSMUSG00000030075.10	chr6	102162654	102573101	410447	5	0.00183968292406211	-0.0186721263225714	0.771835190036485	FALSE	Hypomethylated	NA	NA	NA	FALSE	TRUE	FALSE	6	0.718839041447216	NA	-0.353200520252928	0.164490397	0.00949564123018815	NA	0.0995690407058735	0.387328239	TRUE	NA	FALSE	FALSE	Gene set only	Neither
Cntn4	ENSMUSG00000064293.14	chr6	105677659	106699310	1021651	5	0.00535707110766248	0.156529728198704	1.81000376152798e-07	TRUE	Hypermethylated	-0.409506798	0.099761907	34	FALSE	TRUE	FALSE	7	0.109053823610048	-1.17343272984129	0.576590413284562	0.348964942	0.634324784733557	7.40242233105392e-09	0.0161537954154027	0.000252698	FALSE	TRUE	TRUE	TRUE	Gene set only	Neither
Cntn5	ENSMUSG00000039488.15	chr9	9660890	10904775	1243885	5	0.00325432065638613	0.0763283303734646	0.0371783841347573	TRUE	Hypermethylated	0.930304734	0.001469476	10	TRUE	TRUE	TRUE	8	-0.220993512562973	-0.815632892894881	0.334160927631822	0.386554164	0.33861136324383	0.000266743224465465	0.0816690067916846	0.000397896	FALSE	TRUE	FALSE	TRUE	Both	Both
Cntn6	ENSMUSG00000030092.14	chr6	104492789	104863406	370617	5	0.00330492495652705	0.0979589264444567	0.0207446689911466	TRUE	Hypermethylated	2.005015004	3.99e-11	17	TRUE	TRUE	TRUE	10	0.0931382028798877	-0.434557537595602	NA	1.192731383	0.631860352429455	0.0917891359470231	NA	1.4e-24	FALSE	FALSE	NA	TRUE	Both	Both
Cntnap1	ENSMUSG00000017167.6	chr11	101170522	101190724	20202	3	0.00141254539769091	-0.0706966780341213	0.75342127480622	FALSE	Hypomethylated	0.030580514	0.913454355	1	FALSE	TRUE	TRUE	3	0.0975391981030723	-0.0943832263482312	NA	-0.204163844	0.582853964739171	0.476478330524958	NA	0.177573998	FALSE	FALSE	NA	FALSE	Gene set only	Gene set only
Cntnap2	ENSMUSG00000039419.17	chr6	45059356	47304213	2244857	5	-0.0014923291324827	-0.216476531930265	9.04579205744142e-11	TRUE	Hypomethylated	0.018867124	0.951415639	18	FALSE	TRUE	TRUE	5	-0.0884959570649295	-0.142505377260419	2.40543554785053	0.044932107	0.609306651280903	0.41234478735852	2.20610027995269e-15	0.814118308	FALSE	FALSE	TRUE	FALSE	Gene set only	Gene set only
Cntnap3	ENSMUSG00000033063.8	chr13	64736181	64903955	167774	5	0.000453328963734661	-0.175180931699185	0.0163131031872708	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.443701711143258	NA	NA	NA	0.0934397293052315	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cntnap4	ENSMUSG00000031772.17	chr8	112570042	112882717	312675	5	-0.000844642270552788	-0.224430936905223	7.06879196729322e-06	TRUE	Hypomethylated	0.427018815	0.056045609	5	FALSE	TRUE	TRUE	7	-0.0594464187933793	-0.0329362163617731	NA	0.331585212	0.747187242224664	0.833056400910838	NA	0.002482219	FALSE	FALSE	NA	TRUE	Gene set only	Gene set only
Cntnap5a	ENSMUSG00000070695.4	chr1	115684755	116587323	902568	5	0.00562016327087839	0.313008933970922	1.73676608364328e-07	TRUE	Hypermethylated	1.063088932	0.003525441	11	TRUE	FALSE	FALSE	10	2.20043567970064	2.46129828183571	-0.611776162732878	1.34998281	8.27285408646498e-23	6.57890827398915e-30	0.00541861457542735	1.31e-46	TRUE	TRUE	TRUE	TRUE	MeCP2-up only	MeCP2-up only
Cntnap5b	ENSMUSG00000067028.11	chr1	99772764	100485942	713178	5	0.00168224305371935	-0.0450945327639129	0.393163635284677	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	8	0.823029642153542	NA	-0.522353282643592	0.390437676	0.00126198457014817	NA	0.0116971994313056	0.01950031	TRUE	NA	TRUE	TRUE	Neither	Neither
Cntnap5c	ENSMUSG00000038048.8	chr17	57769569	58410355	640786	5	0.00112136006683413	-0.124278420912811	0.0400709381754225	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.188673204346457	NA	NA	NA	0.361373196455096	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Cntrl	ENSMUSG00000057110.15	chr2	35109491	35178822	69331	5	0.000794300584936167	-0.140595274053002	0.113125256285833	FALSE	Hypomethylated	-0.097013673	0.650115614	1	FALSE	TRUE	FALSE	NA	0.0714044876276732	NA	NA	NA	0.774249896529668	NA	NA	NA	FALSE	NA	NA	NA	Gene set only	Neither
Cntrob	ENSMUSG00000032782.19	chr11	69299486	69323775	24289	3	0.000633587563535293	-0.0550840585785906	0.757482572089833	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	9	0.0521834399806075	NA	NA	0.63349609	0.777553880125651	NA	NA	2.23e-05	FALSE	NA	NA	TRUE	Neither	Neither
Coa3	ENSMUSG00000017188.3	chr11	101277967	101279114	1147	1	0.0046323914022718	0.501125279147684	0.555263807969259	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	-0.199593361265805	NA	NA	NA	0.279062105635136	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
Coa4	ENSMUSG00000044881.7	chr7	100537070	100540369	3299	1	-0.00282444526790985	-0.648676926185575	0.207680899003859	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.218558752425236	0.0426197458791194	NA	NA	0.208808665364508	0.804159447859141	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Coa5	ENSMUSG00000026112.7	chr1	37417083	37430103	13020	3	-0.000776214258901141	-0.269959535786527	0.185903977551843	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	-0.113506255787497	0.0187537333400686	NA	NA	0.622926138644161	0.913532629205747	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Coa6	ENSMUSG00000051671.7	chr8	126422514	126425433	2919	1	0.00494045234196079	0.33129477841452	0.558377513357989	FALSE	Hypermethylated	-0.0543038	0.824494707	2	FALSE	FALSE	FALSE	5	0.0652815223603754	0.0145231587997023	NA	0.058830527	0.716433396261488	0.930471208139653	NA	0.711890346	FALSE	FALSE	NA	FALSE	Neither	Neither
Coa7	ENSMUSG00000048351.14	chr4	108328139	108341544	13405	3	0.000372187242319896	-0.0924823546641292	0.662523237026996	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0234875669803236	0.130401722789535	NA	NA	0.916822171871022	0.348039702114086	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Coasy	ENSMUSG00000001755.12	chr11	101082564	101086619	4055	1	-0.00308392398444713	-0.647750921477501	0.0907513424836202	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	-0.0379067014864049	-0.0903718317356236	NA	NA	0.832895692924869	0.553300757645935	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
Cobl	ENSMUSG00000020173.17	chr11	12236607	12464960	228353	5	0.00588871823870448	0.222598274365859	2.19938361763274e-06	TRUE	Hypermethylated	1.023063366	0.001290959	10	TRUE	TRUE	TRUE	8	0.717697677395615	NA	-0.188672260105681	0.452274534	0.0160816563099659	NA	0.459143185657981	8.32e-06	TRUE	NA	FALSE	TRUE	Both	Both
Cobll1	ENSMUSG00000034903.18	chr2	65088338	65239403	151065	5	0.00566935641034286	0.159050704527849	0.000294659931333092	TRUE	Hypermethylated	0.242069956	0.294315949	12	FALSE	FALSE	FALSE	5	0.537357742953442	NA	-0.280596019219517	0.102443289	0.0057032264562485	NA	0.145848535931447	0.349909518	TRUE	NA	FALSE	FALSE	Neither	Neither
Coch	ENSMUSG00000020953.17	chr12	51593340	51605771	12431	2	0.00189916869268596	-0.0273861543043313	0.922354469442721	FALSE	Hypomethylated	-0.066275296	0.787552848	1	FALSE	TRUE	FALSE	3	0.586898577445706	NA	-0.431192643084071	-0.236145992	0.0108278030201855	NA	0.0118354130756779	0.019890904	TRUE	NA	TRUE	TRUE	Gene set only	Neither
