gene_name	chr	in_mecp2_no_mch	k119ub_signal_gain
Paip1	chr13	FALSE	TRUE
Mep1a	chr17	FALSE	FALSE
Nol4l	chr2	FALSE	TRUE
Zbtb8os	chr4	FALSE	FALSE
Cpsf4l	chr11	FALSE	FALSE
Pm20d1	chr1	FALSE	FALSE
Ptbp2	chr3	FALSE	TRUE
Tbc1d16	chr11	FALSE	FALSE
Zbtb34	chr2	FALSE	FALSE
Mydgf	chr17	FALSE	FALSE
Ms4a4c	chr19	FALSE	FALSE
Rad51ap2	chr12	FALSE	TRUE
R3hdm4	chr10	FALSE	TRUE
Cd33	chr7	FALSE	FALSE
Rtraf	chr14	FALSE	TRUE
Stxbp2	chr8	FALSE	TRUE
Rab5b	chr10	FALSE	FALSE
Znhit2	chr19	FALSE	TRUE
Tbc1d20	chr2	FALSE	FALSE
Pacsin2	chr15	FALSE	FALSE
Cd55b	chr1	FALSE	FALSE
Bub3	chr7	FALSE	FALSE
Eif2s3x	chrX	FALSE	TRUE
Sting1	chr18	FALSE	TRUE
Mlst8	chr17	FALSE	FALSE
Polr1a	chr6	FALSE	TRUE
Dusp15	chr2	FALSE	TRUE
Gpr137b	chr13	FALSE	TRUE
Ptpn22	chr3	FALSE	TRUE
Washc1	chr17	FALSE	TRUE
Dhx29	chr13	FALSE	TRUE
Nanog	chr6	FALSE	FALSE
Ssr3	chr3	FALSE	TRUE
Timm21	chr18	FALSE	TRUE
E130311K13Rik	chr3	FALSE	TRUE
Pirb	chr7	FALSE	FALSE
Tacstd2	chr6	FALSE	FALSE
L2hgdh	chr12	FALSE	TRUE
Stat1	chr1	FALSE	TRUE
Bax	chr7	FALSE	TRUE
Rnf168	chr16	FALSE	TRUE
Hsd3b2	chr3	FALSE	FALSE
Dscc1	chr15	FALSE	TRUE
Pgpep1l	chr7	FALSE	TRUE
Map3k12	chr15	FALSE	FALSE
Cdc42ep1	chr15	FALSE	FALSE
Supt6	chr11	FALSE	FALSE
Cfap70	chr14	FALSE	TRUE
Slc35d1	chr4	FALSE	TRUE
Arhgef1	chr7	FALSE	FALSE
Dffb	chr4	FALSE	FALSE
Gm5114	chr7	FALSE	FALSE
Elmod1	chr9	FALSE	FALSE
Nmd3	chr3	FALSE	TRUE
Nr5a1	chr2	FALSE	FALSE
Adar	chr3	FALSE	FALSE
Slc25a51	chr4	FALSE	TRUE
Kcnj11	chr7	FALSE	TRUE
Peli1	chr11	FALSE	TRUE
Mag	chr7	FALSE	FALSE
Bik	chr15	FALSE	FALSE
Slc47a2	chr11	FALSE	FALSE
Mrps25	chr6	FALSE	FALSE
Sdf2l1	chr16	FALSE	TRUE
Htr3a	chr9	FALSE	TRUE
Vgll1	chrX	FALSE	TRUE
Mpdu1	chr11	FALSE	TRUE
Entpd5	chr12	FALSE	FALSE
Pop1	chr15	FALSE	FALSE
Sec62	chr3	FALSE	FALSE
Csnk2a2	chr8	FALSE	FALSE
Gfm1	chr3	FALSE	TRUE
Il6	chr5	FALSE	TRUE
Sec61a2	chr2	FALSE	TRUE
Msi1	chr5	FALSE	FALSE
Zfp446	chr7	FALSE	TRUE
Smyd1	chr6	FALSE	TRUE
Arhgap6	chrX	FALSE	FALSE
Mroh3	chr1	FALSE	FALSE
Mmp17	chr5	FALSE	FALSE
Tcf24	chr1	FALSE	FALSE
Msra	chr14	FALSE	TRUE
Spata9	chr13	FALSE	TRUE
Cndp1	chr18	FALSE	FALSE
Ppp1r13l	chr7	FALSE	TRUE
Rab22a	chr2	FALSE	FALSE
Mrpl15	chr1	FALSE	TRUE
Erich5	chr15	FALSE	TRUE
Eif4g1	chr16	FALSE	FALSE
Ccdc201	chr11	FALSE	FALSE
Slamf7	chr1	FALSE	FALSE
Prf1	chr10	FALSE	TRUE
Pik3r6	chr11	FALSE	FALSE
Chm	chrX	FALSE	TRUE
Fam76b	chr9	FALSE	FALSE
Scgb1b3	chr7	FALSE	FALSE
Fstl5	chr3	TRUE	TRUE
Pmp2	chr3	FALSE	FALSE
Aldh1a2	chr9	FALSE	FALSE
Myl10	chr5	FALSE	FALSE
Prpf39	chr12	FALSE	FALSE
Myh4	chr11	FALSE	FALSE
Mcm7	chr5	FALSE	TRUE
H2ac6	chr13	FALSE	TRUE
Smpx	chrX	FALSE	TRUE
Mefv	chr16	FALSE	FALSE
Tnfrsf23	chr7	FALSE	FALSE
Bcl10	chr3	FALSE	TRUE
Nr2f1	chr13	FALSE	TRUE
Rbm25	chr12	FALSE	FALSE
Snta1	chr2	FALSE	TRUE
Mixl1	chr1	FALSE	FALSE
Gpr45	chr1	FALSE	TRUE
Tmem270	chr5	FALSE	FALSE
Tm2d3	chr7	FALSE	TRUE
Slc44a2	chr9	FALSE	FALSE
Rasgrf2	chr13	FALSE	FALSE
Adamts7	chr9	FALSE	TRUE
Prxl2a	chr14	FALSE	TRUE
M1ap	chr6	FALSE	TRUE
Bloc1s2	chr19	FALSE	TRUE
Ckap2	chr8	FALSE	TRUE
Kcnc4	chr3	FALSE	TRUE
Wnt11	chr7	FALSE	FALSE
Ces3b	chr8	FALSE	FALSE
Eef1e1	chr13	FALSE	TRUE
Il3	chr11	FALSE	FALSE
Lca5	chr9	FALSE	TRUE
Mapk7	chr11	FALSE	TRUE
Lrp11	chr10	FALSE	TRUE
Ap1m1	chr8	FALSE	TRUE
Adamts4	chr1	FALSE	TRUE
Krtap5-3	chr7	FALSE	FALSE
Maco1	chr4	FALSE	FALSE
Helz2	chr2	FALSE	FALSE
Rap2c	chrX	FALSE	TRUE
Hnrnpu	chr1	FALSE	FALSE
Npepl1	chr2	FALSE	TRUE
Sdf4	chr4	FALSE	FALSE
Rbm11	chr16	FALSE	TRUE
Slc12a9	chr5	FALSE	TRUE
Ncs1	chr2	FALSE	FALSE
N6amt1	chr16	FALSE	TRUE
Dhx37	chr5	FALSE	FALSE
Six4	chr12	FALSE	TRUE
Smyd3	chr1	FALSE	TRUE
4930583I09Rik	chr17	TRUE	TRUE
Stk17b	chr1	FALSE	TRUE
Fev	chr1	FALSE	FALSE
Gal3st2c	chr1	FALSE	TRUE
Fbxo4	chr15	FALSE	TRUE
Usp40	chr1	FALSE	FALSE
Dsg1b	chr18	FALSE	FALSE
Rpl13	chr8	FALSE	FALSE
Cdc42ep3	chr17	FALSE	TRUE
Dhrs2	chr14	FALSE	FALSE
Spire2	chr8	FALSE	FALSE
Mycbpap	chr11	FALSE	FALSE
Psg19	chr7	FALSE	FALSE
Spata3	chr1	FALSE	FALSE
Rbmx2	chrX	FALSE	TRUE
Agr2	chr12	FALSE	TRUE
Slc26a6	chr9	FALSE	FALSE
Faim2	chr15	FALSE	FALSE
Rac2	chr15	FALSE	FALSE
Ccdc154	chr17	FALSE	FALSE
Map7d1	chr4	FALSE	FALSE
Ccdc82	chr9	FALSE	TRUE
Coro6	chr11	FALSE	FALSE
Srl	chr16	FALSE	TRUE
Ang	chr14	FALSE	TRUE
Baiap2l1	chr5	FALSE	FALSE
Atad5	chr11	FALSE	TRUE
Snrk	chr9	FALSE	FALSE
Spata19	chr9	FALSE	TRUE
Fkrp	chr7	FALSE	TRUE
Exosc1	chr19	FALSE	TRUE
Cd74	chr18	FALSE	FALSE
Stmn3	chr2	FALSE	FALSE
Rhno1	chr6	FALSE	TRUE
Tex15	chr8	FALSE	FALSE
Selenos	chr7	FALSE	TRUE
Ncan	chr8	FALSE	FALSE
Lipo1	chr19	FALSE	FALSE
Pfkfb1	chrX	FALSE	FALSE
Nepro	chr16	FALSE	TRUE
Synm	chr7	FALSE	FALSE
Tmem60	chr5	FALSE	TRUE
Arf3	chr15	FALSE	FALSE
Gnl3l	chrX	FALSE	FALSE
Arap3	chr18	FALSE	TRUE
Prok2	chr6	FALSE	FALSE
Zmym1	chr4	FALSE	FALSE
Bloc1s1	chr10	FALSE	TRUE
Cyp26c1	chr19	FALSE	FALSE
Cd300c	chr11	FALSE	TRUE
Man1a	chr10	FALSE	FALSE
Slc11a1	chr1	FALSE	TRUE
Tgfa	chr6	FALSE	TRUE
Pdpn	chr4	FALSE	FALSE
Crisp3	chr17	FALSE	FALSE
Dsg2	chr18	FALSE	TRUE
Mapk15	chr15	FALSE	FALSE
Cep95	chr11	FALSE	TRUE
Pabpn1	chr14	FALSE	TRUE
Elp1	chr4	FALSE	FALSE
Sfxn1	chr13	FALSE	FALSE
Amdhd2	chr17	FALSE	FALSE
Arl2	chr19	FALSE	FALSE
Agmo	chr12	FALSE	FALSE
Uckl1	chr2	FALSE	TRUE
Pgs1	chr11	FALSE	FALSE
Fmo9	chr1	FALSE	FALSE
Tiprl	chr1	FALSE	TRUE
Apod	chr16	FALSE	FALSE
Lasp1	chr11	FALSE	FALSE
Gpr151	chr18	FALSE	TRUE
Mon1a	chr9	FALSE	TRUE
Pdcd7	chr9	FALSE	FALSE
Yeats4	chr10	FALSE	TRUE
Arhgap29	chr3	FALSE	TRUE
Wdr27	chr17	FALSE	TRUE
Inpp5d	chr1	FALSE	FALSE
Gins4	chr8	FALSE	TRUE
Prmt5	chr14	FALSE	TRUE
Ccpg1	chr9	FALSE	FALSE
Pdhx	chr2	FALSE	TRUE
Washc2	chr6	FALSE	FALSE
Rem1	chr2	FALSE	FALSE
Ccdc174	chr6	FALSE	FALSE
Bcl7c	chr7	FALSE	TRUE
Mtx1	chr3	FALSE	TRUE
Fbxw13	chr9	FALSE	FALSE
Trpc7	chr13	FALSE	TRUE
Hyal4	chr6	FALSE	FALSE
Prpf40b	chr15	FALSE	FALSE
Rxylt1	chr10	FALSE	TRUE
Ilkap	chr1	FALSE	FALSE
Ift88	chr14	FALSE	TRUE
Zfp248	chr6	FALSE	TRUE
Rab3gap1	chr1	FALSE	FALSE
Ripply2	chr9	FALSE	TRUE
Ykt6	chr11	FALSE	FALSE
Pex2	chr3	FALSE	TRUE
Gpr35	chr1	FALSE	FALSE
Klc3	chr7	FALSE	FALSE
Best1	chr19	FALSE	TRUE
Rdh10	chr1	FALSE	TRUE
Ccdc170	chr10	FALSE	FALSE
C1rl	chr6	FALSE	TRUE
Kcnj1	chr9	FALSE	FALSE
Sec23ip	chr7	FALSE	FALSE
Hps4	chr5	FALSE	FALSE
Ndufb2	chr6	FALSE	FALSE
Usp36	chr11	FALSE	FALSE
Gnptg	chr17	FALSE	TRUE
Mpc2	chr1	FALSE	TRUE
Yipf5	chr18	FALSE	TRUE
Pla1a	chr16	FALSE	TRUE
Cpb1	chr3	FALSE	FALSE
Mrpl14	chr17	FALSE	FALSE
Cfi	chr3	FALSE	FALSE
Pla2g6	chr15	FALSE	FALSE
Nudt21	chr8	FALSE	TRUE
Nefh	chr11	FALSE	FALSE
Appbp2	chr11	FALSE	FALSE
Cadm4	chr7	FALSE	FALSE
Nat8f3	chr6	FALSE	FALSE
Pcf11	chr7	FALSE	FALSE
Cdk18	chr1	FALSE	TRUE
Cysltr1	chrX	FALSE	FALSE
Itgb2l	chr16	FALSE	FALSE
Tmem145	chr7	FALSE	FALSE
Cend1	chr7	FALSE	TRUE
Arhgap4	chrX	FALSE	TRUE
Spaca7	chr8	FALSE	FALSE
Gsdmd	chr15	FALSE	TRUE
Kiss1	chr1	FALSE	FALSE
Nfat5	chr8	FALSE	FALSE
Mtmr11	chr3	FALSE	TRUE
Themis3	chr17	FALSE	FALSE
Polg	chr7	FALSE	FALSE
Cxcl15	chr5	FALSE	FALSE
Masp2	chr4	FALSE	FALSE
Mrpl1	chr5	FALSE	TRUE
Smtn	chr11	FALSE	TRUE
Rinl	chr7	FALSE	FALSE
Plekhg4	chr8	FALSE	TRUE
Dmrtc2	chr7	FALSE	FALSE
Gstcd	chr3	FALSE	TRUE
Efcab8	chr2	FALSE	TRUE
Mrap2	chr9	FALSE	FALSE
Olfm5	chr7	FALSE	FALSE
Mbip	chr12	FALSE	TRUE
Virma	chr4	FALSE	FALSE
Mapkapk3	chr9	FALSE	TRUE
Cyb5a	chr18	FALSE	TRUE
Apol9b	chr15	FALSE	TRUE
Zdhhc5	chr2	FALSE	TRUE
Lrg1	chr17	FALSE	FALSE
Sat1	chrX	FALSE	TRUE
Thoc1	chr18	FALSE	FALSE
Sox7	chr14	FALSE	FALSE
Osbpl11	chr16	FALSE	FALSE
Ap1g2	chr14	FALSE	TRUE
Abi2	chr1	FALSE	TRUE
Nup153	chr13	FALSE	FALSE
H3f3b	chr11	FALSE	TRUE
Drap1	chr19	FALSE	TRUE
Ttc21a	chr9	FALSE	TRUE
Plaa	chr4	FALSE	FALSE
Irs2	chr8	FALSE	TRUE
Tbx10	chr19	FALSE	FALSE
Utp4	chr8	FALSE	FALSE
Mtf2	chr5	FALSE	FALSE
Fpr2	chr17	FALSE	FALSE
Arpc1b	chr5	FALSE	FALSE
Gm13547	chr2	FALSE	FALSE
Thap7	chr16	FALSE	TRUE
Slco3a1	chr7	FALSE	TRUE
Calm3	chr7	FALSE	FALSE
Eddm3b	chr14	FALSE	FALSE
Apobec2	chr17	FALSE	FALSE
Kcnmb1	chr11	FALSE	TRUE
Adgre5	chr8	FALSE	FALSE
Mov10	chr3	FALSE	FALSE
Arhgap15	chr2	FALSE	TRUE
Clca3a2	chr3	FALSE	FALSE
Serpina10	chr12	FALSE	FALSE
Chst5	chr8	FALSE	TRUE
Aqp1	chr6	FALSE	FALSE
Tsen2	chr6	FALSE	FALSE
Lgalsl	chr11	FALSE	FALSE
Tox4	chr14	FALSE	TRUE
Brd3os	chr2	FALSE	TRUE
Pigb	chr9	FALSE	FALSE
Tmed9	chr13	FALSE	TRUE
Lao1	chr4	FALSE	FALSE
Zfp706	chr15	FALSE	TRUE
Gemin2	chr12	FALSE	TRUE
Gltpd2	chr11	FALSE	TRUE
Megf8	chr7	FALSE	FALSE
Ndst2	chr14	FALSE	FALSE
Rhox12	chrX	FALSE	FALSE
Nprl3	chr11	FALSE	TRUE
Ffar4	chr19	FALSE	FALSE
Izumo1r	chr9	FALSE	TRUE
Kcnh6	chr11	FALSE	TRUE
Ampd3	chr7	FALSE	TRUE
Entpd7	chr19	FALSE	TRUE
Ifnb1	chr4	FALSE	FALSE
Prcp	chr7	FALSE	TRUE
Trpv4	chr5	FALSE	FALSE
Mettl15	chr2	FALSE	TRUE
Capn2	chr1	FALSE	TRUE
Map1s	chr8	FALSE	FALSE
Sft2d2	chr1	FALSE	TRUE
Hoxb5	chr11	FALSE	FALSE
Ccdc68	chr18	FALSE	FALSE
Calcrl	chr2	FALSE	FALSE
Epha6	chr16	FALSE	TRUE
Prpsap2	chr11	FALSE	FALSE
Mpg	chr11	FALSE	TRUE
Mapk4	chr18	FALSE	TRUE
Defb36	chr2	FALSE	FALSE
Scaf11	chr15	FALSE	FALSE
Rnf39	chr17	FALSE	TRUE
Ptbp1	chr10	FALSE	FALSE
Actr3	chr1	FALSE	TRUE
Mfhas1	chr8	FALSE	TRUE
Kcnn1	chr8	FALSE	TRUE
Tmem167b	chr3	FALSE	TRUE
Xirp1	chr9	FALSE	TRUE
Syt3	chr7	FALSE	FALSE
B4galnt3	chr6	FALSE	FALSE
Dus2	chr8	FALSE	TRUE
Cplx3	chr9	FALSE	FALSE
Rnf40	chr7	FALSE	FALSE
Aoc3	chr11	FALSE	TRUE
Mfn2	chr4	FALSE	FALSE
Phrf1	chr7	FALSE	FALSE
Grina	chr15	FALSE	FALSE
Rps4x	chrX	FALSE	TRUE
Isoc1	chr18	FALSE	TRUE
Cndp2	chr18	FALSE	TRUE
1700123O20Rik	chr14	FALSE	TRUE
Tarbp2	chr15	FALSE	FALSE
Chuk	chr19	FALSE	FALSE
Cmpk1	chr4	FALSE	TRUE
Cd3d	chr9	FALSE	FALSE
Efhd1	chr1	FALSE	TRUE
Fut9	chr4	TRUE	TRUE
Pgd	chr4	FALSE	FALSE
Grik1	chr16	FALSE	FALSE
Oaz2	chr9	FALSE	TRUE
Krt79	chr15	FALSE	FALSE
Armh1	chr4	FALSE	TRUE
Edn3	chr2	FALSE	FALSE
Nadsyn1	chr7	FALSE	FALSE
Lypla1	chr1	FALSE	TRUE
Ankrd29	chr18	FALSE	TRUE
Fbxl3	chr14	FALSE	TRUE
Psd2	chr18	FALSE	TRUE
Sftpa1	chr14	FALSE	FALSE
Scn11a	chr9	FALSE	FALSE
9330159F19Rik	chr10	FALSE	FALSE
Bmp7	chr2	FALSE	FALSE
Ddx51	chr5	FALSE	FALSE
Cyp26a1	chr19	FALSE	TRUE
Rp2	chrX	FALSE	TRUE
Camk2n2	chr16	FALSE	TRUE
Socs4	chr14	FALSE	TRUE
Pdzd9	chr7	FALSE	FALSE
Sp3	chr2	FALSE	FALSE
Srd5a2	chr17	FALSE	FALSE
Tceal1	chrX	FALSE	TRUE
Fbxo27	chr7	FALSE	TRUE
Ube4a	chr9	FALSE	TRUE
Rpap2	chr5	FALSE	FALSE
Catsper4	chr4	FALSE	FALSE
Hdac7	chr15	FALSE	TRUE
Rlf	chr4	FALSE	FALSE
Kcnk12	chr17	FALSE	FALSE
Alg2	chr4	FALSE	TRUE
Rps15a	chr7	FALSE	FALSE
Fam220a	chr5	FALSE	FALSE
Cnbd1	chr4	FALSE	FALSE
Sult6b2	chr6	FALSE	TRUE
Rasa2	chr9	FALSE	TRUE
Vmn1r31	chr6	FALSE	TRUE
Sncg	chr14	FALSE	TRUE
Ppig	chr2	FALSE	FALSE
Gja4	chr4	FALSE	FALSE
Sun3	chr11	FALSE	TRUE
Rasl10a	chr11	FALSE	FALSE
Tas1r2	chr4	FALSE	FALSE
Myom1	chr17	FALSE	TRUE
Klrb1	chr6	FALSE	FALSE
Nmu	chr5	FALSE	FALSE
Hectd3	chr4	FALSE	TRUE
Septin8	chr11	FALSE	FALSE
St6galnac3	chr3	FALSE	TRUE
Wnt10b	chr15	FALSE	FALSE
Slc22a5	chr11	FALSE	TRUE
Pecam1	chr11	FALSE	TRUE
Rps3	chr7	FALSE	TRUE
Nfyc	chr4	FALSE	TRUE
Scrt2	chr2	FALSE	TRUE
Soat2	chr15	FALSE	TRUE
Ltb4r2	chr14	FALSE	FALSE
Klk1b24	chr7	FALSE	FALSE
Csnk1d	chr11	FALSE	FALSE
Golga3	chr5	FALSE	FALSE
Stx16	chr2	FALSE	TRUE
Fam240a	chr9	FALSE	FALSE
Adam24	chr8	FALSE	FALSE
Gm4894	chr9	FALSE	FALSE
Sh2d4a	chr8	FALSE	FALSE
Dnhd1	chr7	FALSE	TRUE
Ucn2	chr9	FALSE	FALSE
Tas2r119	chr15	FALSE	FALSE
Pdcd6ip	chr9	FALSE	FALSE
Myorg	chr4	FALSE	TRUE
Ndufa8	chr2	FALSE	FALSE
Pth2	chr7	FALSE	TRUE
Ntf5	chr7	FALSE	FALSE
Fmr1	chrX	FALSE	FALSE
Prx	chr7	FALSE	TRUE
Heatr5a	chr12	FALSE	TRUE
Adgrg6	chr10	FALSE	FALSE
Siglecf	chr7	FALSE	FALSE
Neurog2	chr3	FALSE	FALSE
Hmox2	chr16	FALSE	FALSE
Nudt12	chr17	FALSE	TRUE
Chpf2	chr5	FALSE	TRUE
Ackr3	chr1	FALSE	TRUE
Chek2	chr5	FALSE	TRUE
Trem1	chr17	FALSE	FALSE
Stip1	chr19	FALSE	FALSE
Xirp2	chr2	FALSE	FALSE
Naa16	chr14	FALSE	FALSE
Nme9	chr9	FALSE	TRUE
Cox5b	chr1	FALSE	TRUE
Ehd3	chr17	FALSE	TRUE
Pold1	chr7	FALSE	FALSE
Smndc1	chr19	FALSE	FALSE
Acnat2	chr4	FALSE	FALSE
Lgi1	chr19	TRUE	TRUE
Cnnm1	chr19	FALSE	TRUE
Ndc80	chr17	FALSE	TRUE
Kdelr2	chr5	FALSE	TRUE
Prr33	chr7	FALSE	FALSE
Panx3	chr9	FALSE	FALSE
Usf3	chr16	FALSE	TRUE
Dcpp1	chr17	FALSE	FALSE
Zbtb17	chr4	FALSE	FALSE
Pglyrp2	chr17	FALSE	FALSE
Slx4	chr16	FALSE	FALSE
Garem2	chr5	FALSE	TRUE
Fkbp4	chr6	FALSE	FALSE
Marveld2	chr13	FALSE	TRUE
Slc5a7	chr17	FALSE	FALSE
Slc16a11	chr11	FALSE	TRUE
H1f1	chr13	FALSE	TRUE
Taf5	chr19	FALSE	TRUE
Atp13a2	chr4	FALSE	FALSE
Kctd15	chr7	FALSE	FALSE
Mbl1	chr14	FALSE	FALSE
Sem1	chr6	FALSE	TRUE
Akr1c21	chr13	FALSE	FALSE
Siah1a	chr8	FALSE	FALSE
Znfx1	chr2	FALSE	FALSE
Duoxa2	chr2	FALSE	TRUE
Lratd2	chr15	FALSE	TRUE
H2-M10.6	chr17	FALSE	FALSE
Myadm	chr7	FALSE	TRUE
Nipsnap3b	chr4	FALSE	TRUE
Ints14	chr9	FALSE	FALSE
Alkbh3	chr2	FALSE	TRUE
Slc17a9	chr2	FALSE	FALSE
Tmem175	chr5	FALSE	TRUE
Pcdh12	chr18	FALSE	TRUE
Arpin	chr7	FALSE	TRUE
Fkbp3	chr12	FALSE	TRUE
Lsm14a	chr7	FALSE	FALSE
Mrps5	chr2	FALSE	FALSE
Noto	chr6	FALSE	TRUE
Col20a1	chr2	FALSE	FALSE
Cfap97d1	chr11	FALSE	TRUE
Upk3b	chr5	FALSE	FALSE
Usp37	chr1	FALSE	FALSE
Ifi202b	chr1	FALSE	FALSE
Fxyd2	chr9	FALSE	TRUE
Cav3	chr6	FALSE	TRUE
Plcd4	chr1	FALSE	FALSE
Brms1	chr19	FALSE	FALSE
Msmb	chr14	FALSE	TRUE
Nudt11	chrX	FALSE	TRUE
Nlrp1b	chr11	FALSE	FALSE
Msc	chr1	FALSE	TRUE
Tmem170b	chr13	FALSE	TRUE
Tmcc2	chr1	FALSE	FALSE
Eif2a	chr3	FALSE	TRUE
Dimt1	chr13	FALSE	TRUE
Mpdz	chr4	FALSE	FALSE
Adam33	chr2	FALSE	TRUE
Slc22a17	chr14	FALSE	FALSE
Igtp	chr11	FALSE	TRUE
Arhgef5	chr6	FALSE	TRUE
Rrbp1	chr2	FALSE	TRUE
Pym1	chr10	FALSE	TRUE
Rpl7l1	chr17	FALSE	FALSE
Zfp455	chr13	FALSE	TRUE
Scgb1c1	chr7	FALSE	TRUE
Cpn1	chr19	FALSE	FALSE
Fam131a	chr16	FALSE	TRUE
Mpzl2	chr9	FALSE	FALSE
Cdx4	chrX	FALSE	TRUE
Cdc20b	chr13	FALSE	TRUE
Slc18a2	chr19	FALSE	FALSE
Slc12a4	chr8	FALSE	FALSE
Spatc1l	chr10	FALSE	FALSE
Smcr8	chr11	FALSE	FALSE
Sntb1	chr15	FALSE	FALSE
Ipo13	chr4	FALSE	TRUE
Kcng1	chr2	FALSE	FALSE
C330018D20Rik	chr18	FALSE	TRUE
Stk11	chr10	FALSE	FALSE
Glmn	chr5	FALSE	FALSE
Rnpepl1	chr1	FALSE	FALSE
Tars2	chr3	FALSE	FALSE
2610318N02Rik	chr16	FALSE	TRUE
Tekt3	chr11	FALSE	FALSE
Ctag2	chrX	FALSE	FALSE
Gcg	chr2	FALSE	FALSE
Zfp689	chr7	FALSE	TRUE
Cd9	chr6	FALSE	FALSE
Ces1h	chr8	FALSE	FALSE
Ubxn2a	chr12	FALSE	TRUE
A2ml1	chr6	FALSE	FALSE
4930449I24Rik	chr5	FALSE	FALSE
Ddx60	chr8	FALSE	FALSE
Raet1d	chr10	FALSE	FALSE
Cactin	chr10	FALSE	FALSE
Kcnd3	chr3	FALSE	TRUE
Tmem150a	chr6	FALSE	TRUE
Serpini2	chr3	FALSE	FALSE
Klkb1	chr8	FALSE	FALSE
Pkib	chr10	FALSE	TRUE
Tmem121b	chr6	FALSE	FALSE
Ddx23	chr15	FALSE	FALSE
Zfp110	chr7	FALSE	TRUE
Fastkd5	chr2	FALSE	FALSE
Prrt3	chr6	FALSE	TRUE
Fam240b	chr13	FALSE	TRUE
Dnajc10	chr2	FALSE	FALSE
Nnmt	chr9	FALSE	FALSE
Hcrtr1	chr4	FALSE	FALSE
Mrpl42	chr10	FALSE	TRUE
Cfb	chr17	FALSE	FALSE
Efcab11	chr12	FALSE	TRUE
Fgf2	chr3	FALSE	FALSE
Cela1	chr15	FALSE	TRUE
Utp14a	chrX	FALSE	TRUE
Faap100	chr11	FALSE	FALSE
Gab1	chr8	FALSE	TRUE
Mrpl35	chr6	FALSE	TRUE
Armc5	chr7	FALSE	TRUE
Ndrg2	chr14	FALSE	FALSE
Flna	chrX	FALSE	TRUE
Hepacam	chr9	FALSE	FALSE
Tmem63b	chr17	FALSE	FALSE
Dpp3	chr19	FALSE	FALSE
Btnl9	chr11	FALSE	FALSE
Ppp3r1	chr11	FALSE	FALSE
Zfp637	chr6	FALSE	TRUE
Appl2	chr10	FALSE	FALSE
Ebpl	chr14	FALSE	TRUE
Wfdc6a	chr2	FALSE	FALSE
Slc28a2	chr2	FALSE	FALSE
Tcaf2	chr6	FALSE	TRUE
Efna4	chr3	FALSE	FALSE
Stau1	chr2	FALSE	FALSE
Syngr4	chr7	FALSE	TRUE
H4c4	chr13	FALSE	TRUE
Kcnn2	chr18	FALSE	TRUE
Vmn2r87	chr10	FALSE	FALSE
Plcl2	chr17	FALSE	TRUE
Cnpy4	chr5	FALSE	TRUE
C8b	chr4	FALSE	FALSE
Adam2	chr14	FALSE	FALSE
Meox1	chr11	FALSE	FALSE
Orc3	chr4	FALSE	FALSE
1700001O22Rik	chr2	FALSE	TRUE
Prmt6	chr3	FALSE	TRUE
Lingo2	chr4	FALSE	FALSE
Smim20	chr5	FALSE	TRUE
Sugt1	chr14	FALSE	FALSE
Mfsd9	chr1	FALSE	TRUE
Mycn	chr12	FALSE	FALSE
Mustn1	chr14	FALSE	FALSE
Rab11fip2	chr19	FALSE	TRUE
Abca17	chr17	FALSE	FALSE
Cyp27a1	chr1	FALSE	FALSE
Rhot1	chr11	FALSE	FALSE
Tom1	chr8	FALSE	TRUE
Tmem158	chr9	FALSE	FALSE
Pcmtd2	chr2	FALSE	FALSE
Hpdl	chr4	FALSE	TRUE
Wfdc9	chr2	FALSE	FALSE
Kdm1b	chr13	FALSE	FALSE
Znrd2	chr19	FALSE	TRUE
Trpc2	chr7	FALSE	FALSE
Map3k11	chr19	FALSE	FALSE
Ppt2	chr17	FALSE	FALSE
Pkd1	chr17	FALSE	FALSE
Fn1	chr1	FALSE	FALSE
Hdac3	chr18	FALSE	TRUE
Nxn	chr11	FALSE	TRUE
Glb1l3	chr9	FALSE	FALSE
Dlg1	chr16	FALSE	TRUE
Mrpl21	chr19	FALSE	FALSE
Gcnt4	chr13	FALSE	TRUE
Slc10a4	chr5	FALSE	TRUE
Uhrf2	chr19	FALSE	TRUE
Gapt	chr13	FALSE	TRUE
Jade1	chr3	FALSE	TRUE
Nfs1	chr2	FALSE	FALSE
Gas2l2	chr11	FALSE	FALSE
Ap1ar	chr3	FALSE	TRUE
Fndc3b	chr3	FALSE	TRUE
Rgs11	chr17	FALSE	FALSE
Ptpn7	chr1	FALSE	TRUE
1700018B08Rik	chr8	FALSE	FALSE
Adam15	chr3	FALSE	FALSE
Lysmd2	chr9	FALSE	TRUE
Cnfn	chr7	FALSE	FALSE
Prr32	chrX	FALSE	FALSE
Glt8d1	chr14	FALSE	TRUE
Slc38a11	chr2	FALSE	FALSE
Kctd12b	chrX	FALSE	TRUE
Mrpl28	chr17	FALSE	TRUE
Arpc2	chr1	FALSE	FALSE
Pex11g	chr8	FALSE	TRUE
Kif5b	chr18	FALSE	FALSE
Polr3h	chr15	FALSE	FALSE
Mup13	chr4	FALSE	FALSE
4921524J17Rik	chr8	FALSE	TRUE
Mettl25	chr10	FALSE	TRUE
Ptpn21	chr12	FALSE	TRUE
Txndc8	chr4	FALSE	FALSE
Nxf7	chrX	FALSE	FALSE
Itga4	chr2	FALSE	TRUE
