gene_name	chr	K119ub_up	mCH_up
Pycr1	chr11	FALSE	FALSE
Cnmd	chr14	TRUE	TRUE
Dhdds	chr4	FALSE	TRUE
Klk10	chr7	FALSE	FALSE
Bpifa2	chr2	FALSE	FALSE
Cpeb4	chr11	FALSE	TRUE
Tas2r126	chr6	FALSE	FALSE
Ccl22	chr8	FALSE	FALSE
Lage3	chrX	TRUE	FALSE
Pfdn2	chr1	TRUE	FALSE
Zranb2	chr3	FALSE	TRUE
Hk3	chr13	FALSE	FALSE
Lyve1	chr7	TRUE	FALSE
Scimp	chr11	FALSE	TRUE
Mcpt4	chr14	TRUE	FALSE
Taldo1	chr7	TRUE	TRUE
Dynlt1b	chr17	TRUE	FALSE
Usf2	chr7	FALSE	FALSE
Frmd3	chr4	TRUE	TRUE
Slc35a4	chr18	TRUE	FALSE
Atpaf1	chr4	FALSE	TRUE
Wtip	chr7	FALSE	TRUE
St6galnac1	chr11	FALSE	FALSE
Ncapd3	chr9	FALSE	TRUE
Plcxd2	chr16	TRUE	TRUE
Gpr141	chr13	FALSE	TRUE
Nutf2	chr8	TRUE	TRUE
Enpp1	chr10	FALSE	TRUE
Rab15	chr12	TRUE	TRUE
Sgk1	chr10	TRUE	TRUE
Pim3	chr15	FALSE	FALSE
Wdtc1	chr4	FALSE	TRUE
Sars2	chr7	FALSE	FALSE
Szrd1	chr4	FALSE	TRUE
Prpsap1	chr11	FALSE	TRUE
Rnaseh2c	chr19	FALSE	TRUE
Lyzl6	chr11	FALSE	FALSE
Snapc1	chr12	TRUE	TRUE
Dhx40	chr11	FALSE	TRUE
Dpysl4	chr7	FALSE	TRUE
Aadat	chr8	TRUE	TRUE
2310011J03Rik	chr10	TRUE	TRUE
Cyp1a2	chr9	FALSE	FALSE
Ddx27	chr2	FALSE	TRUE
Tafa4	chr6	FALSE	TRUE
Mex3c	chr18	TRUE	TRUE
Sox9	chr11	FALSE	FALSE
Nup107	chr10	TRUE	TRUE
Tmem183a	chr1	FALSE	FALSE
Dnmt3b	chr2	FALSE	TRUE
Tex55	chr16	TRUE	FALSE
Chsy1	chr7	TRUE	FALSE
Slc25a53	chrX	TRUE	FALSE
Larp7	chr3	TRUE	FALSE
Pi15	chr1	FALSE	TRUE
Slurp2	chr15	TRUE	TRUE
Adam9	chr8	FALSE	TRUE
Kmo	chr1	TRUE	TRUE
Nt5c1b	chr12	TRUE	TRUE
Slc25a39	chr11	FALSE	TRUE
Hsd11b1	chr1	TRUE	TRUE
Tsn	chr1	TRUE	TRUE
Atf5	chr7	TRUE	FALSE
Scamp1	chr13	TRUE	TRUE
Bcl9l	chr9	FALSE	FALSE
Ldb3	chr14	TRUE	TRUE
Senp1	chr15	FALSE	TRUE
Taf6	chr5	FALSE	FALSE
Ndufa12	chr10	FALSE	TRUE
Sema4f	chr6	TRUE	TRUE
Fbxo43	chr15	TRUE	FALSE
Pkdrej	chr15	TRUE	FALSE
Amer1	chrX	FALSE	FALSE
Kcnrg	chr14	FALSE	FALSE
Clec1b	chr6	TRUE	TRUE
Ajap1	chr4	FALSE	TRUE
Engase	chr11	FALSE	FALSE
Spata33	chr8	TRUE	FALSE
Gm8978	chr19	FALSE	FALSE
Cldn13	chr5	FALSE	FALSE
Cwh43	chr5	TRUE	TRUE
Tgm1	chr14	FALSE	FALSE
Ccl20	chr1	TRUE	TRUE
C2	chr17	FALSE	FALSE
Sdhb	chr4	FALSE	FALSE
Prelid2	chr18	FALSE	TRUE
Tmem222	chr4	FALSE	FALSE
Cpsf4	chr5	FALSE	FALSE
Car2	chr3	TRUE	TRUE
Gdpd3	chr7	FALSE	FALSE
Cd63	chr10	TRUE	FALSE
Miga2	chr2	FALSE	TRUE
Tmem37	chr1	TRUE	FALSE
Col10a1	chr10	FALSE	FALSE
Lypd3	chr7	FALSE	FALSE
Gcm1	chr9	FALSE	FALSE
Lce3f	chr3	FALSE	FALSE
Zbtb8b	chr4	TRUE	TRUE
Gnpat	chr8	FALSE	TRUE
Rab11b	chr17	FALSE	FALSE
Atp1b3	chr9	TRUE	TRUE
Gpr62	chr9	TRUE	FALSE
Hoxb9	chr11	FALSE	TRUE
Creb3l3	chr10	FALSE	FALSE
Slc15a3	chr19	FALSE	FALSE
Hmgxb4	chr8	TRUE	TRUE
Smbd1	chr16	TRUE	FALSE
Sult1c2	chr17	TRUE	FALSE
Ogt	chrX	FALSE	FALSE
Krt90	chr15	FALSE	FALSE
Atmin	chr8	TRUE	TRUE
Ly6g2	chr15	FALSE	FALSE
Kcne4	chr1	TRUE	TRUE
Eif1ad	chr19	FALSE	FALSE
Mrps34	chr17	FALSE	FALSE
Gas2l3	chr10	TRUE	TRUE
Det1	chr7	FALSE	TRUE
Clec12a	chr6	FALSE	TRUE
Twist2	chr1	FALSE	TRUE
Cybb	chrX	FALSE	TRUE
Krtap4-7	chr11	TRUE	TRUE
Mtch1	chr17	FALSE	FALSE
Ccl8	chr11	FALSE	TRUE
Adamts15	chr9	FALSE	TRUE
Ccdc102a	chr8	FALSE	FALSE
Cenpi	chrX	TRUE	TRUE
Il10rb	chr16	FALSE	TRUE
Mmab	chr5	TRUE	TRUE
Tbccd1	chr16	TRUE	TRUE
Proser1	chr3	FALSE	TRUE
Star	chr8	FALSE	TRUE
Acr	chr15	FALSE	FALSE
Serpina1d	chr12	FALSE	FALSE
Sptssa	chr12	TRUE	FALSE
Ppat	chr5	TRUE	TRUE
Gpr141b	chr13	FALSE	FALSE
Rtn4r	chr16	FALSE	TRUE
Slc4a1	chr11	TRUE	FALSE
Rgs1	chr1	FALSE	FALSE
Sft2d3	chr18	TRUE	TRUE
Tle6	chr10	TRUE	FALSE
Ccdc87	chr19	TRUE	FALSE
H2-T3	chr17	FALSE	TRUE
Slc9c1	chr16	FALSE	TRUE
Gm3383	chr14	TRUE	FALSE
Larp4	chr15	FALSE	TRUE
Wdr46	chr17	TRUE	TRUE
Rfesd	chr13	TRUE	TRUE
Fam110b	chr4	TRUE	TRUE
Maoa	chrX	TRUE	TRUE
Phgdh	chr3	FALSE	TRUE
Grem1	chr2	FALSE	FALSE
Yif1b	chr7	FALSE	TRUE
Aspn	chr13	FALSE	TRUE
Adat1	chr8	TRUE	TRUE
Gm4922	chr10	FALSE	FALSE
Nus1	chr10	TRUE	TRUE
Idua	chr5	TRUE	FALSE
Ttc16	chr2	FALSE	TRUE
Trib3	chr2	TRUE	TRUE
Gpr27	chr6	TRUE	TRUE
Lrrc41	chr4	FALSE	FALSE
Gm5460	chr14	TRUE	TRUE
Tkt	chr14	TRUE	FALSE
Sidt2	chr9	FALSE	FALSE
Hpf1	chr8	TRUE	TRUE
Ppp1r3f	chrX	FALSE	TRUE
Ccdc126	chr6	TRUE	FALSE
Cd300ld	chr11	TRUE	FALSE
Suv39h2	chr2	TRUE	TRUE
Hspa12b	chr2	FALSE	FALSE
Defb42	chr14	TRUE	TRUE
Dnaaf3	chr7	TRUE	FALSE
Elfn2	chr15	FALSE	FALSE
Ccdc28b	chr4	TRUE	TRUE
Rfc5	chr5	FALSE	FALSE
Mrps15	chr4	TRUE	FALSE
Bean1	chr8	FALSE	TRUE
Gar1	chr3	TRUE	TRUE
Ro60	chr1	TRUE	TRUE
Serpinb13	chr1	FALSE	FALSE
Entpd3	chr9	FALSE	TRUE
Fbn2	chr18	FALSE	TRUE
Mecr	chr4	FALSE	FALSE
Pgr15l	chrX	FALSE	TRUE
Nhlh2	chr3	TRUE	TRUE
Ctnnb1	chr9	FALSE	FALSE
Ankrd7	chr6	TRUE	TRUE
Gpsm1	chr2	FALSE	TRUE
Ghdc	chr11	TRUE	FALSE
Traf3ip2	chr10	TRUE	TRUE
Pdik1l	chr4	FALSE	FALSE
Xrcc2	chr5	TRUE	FALSE
Tcn2	chr11	TRUE	FALSE
Hnrnpab	chr11	TRUE	FALSE
Btla	chr16	FALSE	TRUE
Ear6	chr14	FALSE	FALSE
Ppp1r7	chr1	FALSE	TRUE
Inpp5j	chr11	TRUE	FALSE
Smn1	chr13	TRUE	TRUE
Fbll1	chr11	TRUE	TRUE
AU021092	chr16	FALSE	FALSE
Henmt1	chr3	TRUE	TRUE
Prlhr	chr19	TRUE	FALSE
Oasl1	chr5	FALSE	FALSE
Aga	chr8	TRUE	TRUE
Naa35	chr13	FALSE	TRUE
Kiss1r	chr10	TRUE	FALSE
Spaca9	chr2	FALSE	FALSE
Gng2	chr14	TRUE	TRUE
Mul1	chr4	FALSE	FALSE
Marchf1	chr8	FALSE	TRUE
Lancl1	chr1	FALSE	FALSE
Nlrp12	chr7	FALSE	TRUE
Echdc1	chr10	TRUE	TRUE
Gal3st4	chr5	FALSE	TRUE
Smad9	chr3	TRUE	TRUE
Plagl2	chr2	TRUE	FALSE
Elp5	chr11	FALSE	FALSE
Glyatl3	chr17	TRUE	FALSE
Vamp8	chr6	TRUE	TRUE
Pla2g4d	chr2	TRUE	FALSE
Trim16	chr11	FALSE	TRUE
Nif3l1	chr1	TRUE	TRUE
Armcx4	chrX	FALSE	FALSE
Spdef	chr17	TRUE	FALSE
Cul4a	chr8	FALSE	TRUE
Cdkn2d	chr9	TRUE	TRUE
Slc12a2	chr18	TRUE	TRUE
Pes1	chr11	FALSE	FALSE
Ccdc159	chr9	TRUE	TRUE
Rbm4	chr19	FALSE	TRUE
Ntsr2	chr12	TRUE	FALSE
Abcc9	chr6	FALSE	TRUE
Nrip2	chr6	FALSE	TRUE
C1galt1c1	chrX	TRUE	FALSE
Dbf4	chr5	TRUE	TRUE
Kif18b	chr11	FALSE	FALSE
Dcaf11	chr14	TRUE	FALSE
Srsf11	chr3	TRUE	TRUE
Iffo1	chr6	FALSE	FALSE
Tcf15	chr2	FALSE	FALSE
Wdr1	chr5	TRUE	FALSE
Tnfsf4	chr1	FALSE	TRUE
Oscar	chr7	TRUE	FALSE
Tc2n	chr12	FALSE	TRUE
Hcar2	chr5	FALSE	FALSE
Uck1	chr2	FALSE	FALSE
Map3k10	chr7	FALSE	FALSE
Klhl24	chr16	FALSE	TRUE
Cyp51	chr5	TRUE	TRUE
E2f6	chr12	TRUE	TRUE
Nox3	chr17	TRUE	TRUE
Slc17a5	chr9	TRUE	TRUE
Slc7a4	chr16	TRUE	FALSE
Gpr137	chr19	TRUE	TRUE
Gprc6a	chr10	FALSE	TRUE
Nr2f6	chr8	TRUE	FALSE
Tnfsf13b	chr8	TRUE	FALSE
Ifitm1	chr7	FALSE	TRUE
Nupr1	chr7	FALSE	FALSE
Lrrc63	chr14	TRUE	TRUE
Omd	chr13	FALSE	FALSE
Tnfrsf26	chr7	FALSE	FALSE
Ppp1r3c	chr19	TRUE	FALSE
Prrg4	chr2	TRUE	FALSE
Paqr3	chr5	FALSE	TRUE
Tmem106c	chr15	TRUE	TRUE
Psg22	chr7	FALSE	FALSE
Gpr143	chrX	FALSE	TRUE
Scg3	chr9	TRUE	TRUE
Tnfrsf1a	chr6	FALSE	FALSE
Apoa5	chr9	TRUE	FALSE
Des	chr1	TRUE	TRUE
Zswim3	chr2	TRUE	TRUE
Rflnb	chr11	TRUE	TRUE
Aaas	chr15	TRUE	TRUE
Zfp82	chr7	FALSE	TRUE
Myl12b	chr17	TRUE	FALSE
Tsga10	chr1	TRUE	TRUE
Ptpa	chr2	FALSE	TRUE
Dcaf10	chr4	FALSE	TRUE
Pdp1	chr4	TRUE	TRUE
Gc	chr5	FALSE	TRUE
Inhbb	chr1	FALSE	FALSE
Fads2	chr19	FALSE	TRUE
Wnt8a	chr18	TRUE	FALSE
Doc2a	chr7	FALSE	FALSE
Shld2	chr14	TRUE	TRUE
Tma7	chr9	TRUE	TRUE
Mgst3	chr1	TRUE	FALSE
Gnat3	chr5	FALSE	TRUE
Hsp90ab1	chr17	FALSE	FALSE
Zfp454	chr11	TRUE	FALSE
Atp6v1b1	chr6	FALSE	TRUE
Nrk	chrX	FALSE	TRUE
Bloc1s5	chr13	TRUE	FALSE
Inafm2	chr2	TRUE	TRUE
Lrrc9	chr12	TRUE	TRUE
F11	chr8	FALSE	FALSE
Rdh7	chr10	FALSE	FALSE
Rpl26	chr11	FALSE	FALSE
Cyp46a1	chr12	TRUE	FALSE
Gps2	chr11	FALSE	FALSE
Map9	chr3	TRUE	TRUE
Ythdf2	chr4	FALSE	TRUE
Klrc3	chr6	FALSE	TRUE
Lgi4	chr7	FALSE	FALSE
Septin14	chr5	FALSE	TRUE
Vmn1r50	chr6	FALSE	FALSE
Cpne4	chr9	FALSE	TRUE
Pagr1a	chr7	FALSE	FALSE
Fam76a	chr4	FALSE	FALSE
Gdi2	chr13	FALSE	TRUE
Selenoi	chr5	TRUE	TRUE
Strip1	chr3	FALSE	TRUE
Zfp872	chr9	FALSE	FALSE
Rundc1	chr11	TRUE	FALSE
Ttc24	chr3	TRUE	TRUE
Tlr11	chr14	FALSE	TRUE
Bccip	chr7	FALSE	TRUE
Zfp949	chr9	TRUE	TRUE
Ccdc25	chr14	FALSE	FALSE
Sema3d	chr5	TRUE	TRUE
Cypt1	chrX	TRUE	TRUE
1110038F14Rik	chr15	TRUE	TRUE
Styk1	chr6	FALSE	TRUE
Rin1	chr19	TRUE	FALSE
Wap	chr11	FALSE	FALSE
Sh3glb2	chr2	FALSE	TRUE
Cyp8b1	chr9	FALSE	TRUE
Reg3d	chr6	FALSE	FALSE
Mas1	chr17	TRUE	TRUE
Zfp518a	chr19	TRUE	TRUE
Aqp2	chr15	TRUE	FALSE
Ift172	chr5	FALSE	TRUE
Ccne2	chr4	TRUE	TRUE
Rb1cc1	chr1	FALSE	TRUE
Abcb1a	chr5	FALSE	TRUE
Imp4	chr1	TRUE	FALSE
Zfp708	chr13	TRUE	TRUE
Fetub	chr16	FALSE	FALSE
Large2	chr2	TRUE	FALSE
Slc26a11	chr11	FALSE	FALSE
Sp1	chr15	FALSE	TRUE
Tspo	chr15	FALSE	FALSE
Bpifb4	chr2	TRUE	TRUE
Baz2a	chr10	FALSE	TRUE
Orai3	chr7	TRUE	FALSE
Asic3	chr5	TRUE	FALSE
Rhobtb2	chr14	TRUE	FALSE
Vwa5a	chr9	FALSE	TRUE
Zc4h2	chrX	TRUE	FALSE
Cyp2t4	chr7	FALSE	FALSE
Zbtb49	chr5	FALSE	TRUE
Mtpn	chr6	TRUE	FALSE
F7	chr8	FALSE	FALSE
Il18	chr9	FALSE	TRUE
Trpc6	chr9	TRUE	TRUE
Krt26	chr11	FALSE	TRUE
Mrpl12	chr11	TRUE	FALSE
Apbb1ip	chr2	FALSE	TRUE
Mylk4	chr13	FALSE	TRUE
Rasd2	chr8	TRUE	FALSE
Pcbp4	chr9	TRUE	TRUE
Cct5	chr15	TRUE	TRUE
Ciapin1	chr8	FALSE	TRUE
Zxdb	chrX	TRUE	FALSE
Pomc	chr12	TRUE	TRUE
Fbxo8	chr8	FALSE	TRUE
Mfsd6l	chr11	FALSE	FALSE
Snx31	chr15	FALSE	TRUE
Dnajb1	chr8	TRUE	FALSE
4930503L19Rik	chr18	TRUE	TRUE
Cfap73	chr5	FALSE	FALSE
Rgs19	chr2	TRUE	FALSE
Tsks	chr7	FALSE	TRUE
Uck2	chr1	TRUE	TRUE
Tbx18	chr9	FALSE	TRUE
Mpst	chr15	TRUE	TRUE
Nr2c2ap	chr8	TRUE	FALSE
Arl8a	chr1	TRUE	FALSE
Sirt5	chr13	TRUE	TRUE
Chga	chr12	TRUE	FALSE
Dync1i2	chr2	TRUE	TRUE
Pcdh1	chr18	FALSE	TRUE
Ppp1r27	chr11	TRUE	FALSE
Wnt5b	chr6	TRUE	TRUE
Gna12	chr5	TRUE	TRUE
Drd1	chr13	TRUE	TRUE
Abca14	chr7	TRUE	TRUE
Osr2	chr15	FALSE	FALSE
Cyp2e1	chr7	FALSE	TRUE
Dnd1	chr18	TRUE	TRUE
Ccdc12	chr9	FALSE	FALSE
Entpd6	chr2	TRUE	FALSE
Kdm4a	chr4	TRUE	TRUE
T	chr17	FALSE	FALSE
Endou	chr15	FALSE	FALSE
Irak4	chr15	TRUE	TRUE
Rab35	chr5	FALSE	FALSE
Tcaf3	chr6	FALSE	FALSE
Fbxo28	chr1	FALSE	TRUE
Cdc25c	chr18	TRUE	FALSE
Klhdc8a	chr1	TRUE	FALSE
Abca2	chr2	FALSE	TRUE
Cog1	chr11	TRUE	TRUE
Esrrg	chr1	TRUE	TRUE
Tubb6	chr18	FALSE	FALSE
Zfp300	chrX	TRUE	FALSE
Taar7e	chr10	FALSE	FALSE
Fam204a	chr19	TRUE	FALSE
Rcc1l	chr5	FALSE	TRUE
Col3a1	chr1	FALSE	TRUE
Acp4	chr7	FALSE	TRUE
Hspa5	chr2	FALSE	TRUE
Gpat4	chr8	TRUE	TRUE
Rnf139	chr15	TRUE	TRUE
Ptprr	chr10	TRUE	TRUE
Cspg4	chr9	TRUE	FALSE
Mup9	chr4	FALSE	TRUE
Tas2r135	chr6	FALSE	FALSE
Cep44	chr8	TRUE	TRUE
Top2a	chr11	TRUE	TRUE
Zik1	chr7	TRUE	FALSE
Il27	chr7	FALSE	FALSE
Atp2c1	chr9	TRUE	TRUE
Polr2b	chr5	FALSE	TRUE
Ngb	chr12	FALSE	FALSE
Cd209f	chr8	FALSE	TRUE
Luc7l2	chr6	FALSE	TRUE
Cxcl16	chr11	TRUE	FALSE
Klk1b16	chr7	FALSE	FALSE
5530400C23Rik	chr6	TRUE	TRUE
Adgrg5	chr8	FALSE	FALSE
Caprin1	chr2	FALSE	TRUE
Tex101	chr7	FALSE	TRUE
Slc6a4	chr11	FALSE	TRUE
Zmat3	chr3	TRUE	FALSE
Kifc1	chr17	TRUE	FALSE
Slc25a27	chr17	TRUE	TRUE
Fzd8	chr18	TRUE	TRUE
Cep85	chr4	FALSE	TRUE
Hadhb	chr5	FALSE	TRUE
Kif15	chr9	FALSE	TRUE
Ndufb10	chr17	FALSE	TRUE
Rxrg	chr1	FALSE	TRUE
Pate8	chr9	FALSE	TRUE
Rab5a	chr17	FALSE	TRUE
Usp53	chr3	TRUE	TRUE
Rras	chr7	TRUE	FALSE
Ugp2	chr11	TRUE	TRUE
Ggt6	chr11	TRUE	FALSE
Lrrc18	chr14	TRUE	TRUE
Zfp106	chr2	FALSE	TRUE
Mcrip1	chr11	FALSE	FALSE
Lacc1	chr14	TRUE	FALSE
Krtap9-5	chr11	TRUE	TRUE
Siah1b	chrX	TRUE	FALSE
Entpd1	chr19	TRUE	TRUE
Slc35e4	chr11	TRUE	TRUE
Apob	chr12	FALSE	TRUE
Tas2r136	chr6	TRUE	FALSE
Apon	chr10	FALSE	FALSE
Serpina3m	chr12	FALSE	TRUE
Trim50	chr5	FALSE	TRUE
H2-M11	chr17	FALSE	FALSE
Ccl5	chr11	FALSE	FALSE
Ppp1r2	chr16	TRUE	TRUE
Maml2	chr9	TRUE	TRUE
Ppm1n	chr7	TRUE	FALSE
Rsph4a	chr10	FALSE	FALSE
Lcn11	chr2	FALSE	FALSE
Zpld2	chr4	FALSE	FALSE
Ak6	chr13	TRUE	FALSE
Ckap2l	chr2	TRUE	TRUE
U2surp	chr9	FALSE	TRUE
Hsd17b14	chr7	TRUE	FALSE
Trnau1ap	chr4	FALSE	TRUE
Fhod3	chr18	TRUE	TRUE
Oxnad1	chr14	TRUE	TRUE
Lypd11	chr7	FALSE	FALSE
1700001F09Rik	chr14	FALSE	FALSE
Tmem47	chrX	TRUE	TRUE
Ptdss2	chr7	TRUE	TRUE
Ambp	chr4	FALSE	FALSE
Dcaf15	chr8	FALSE	FALSE
Flvcr2	chr12	FALSE	TRUE
Zfp62	chr11	FALSE	TRUE
Tmprss11c	chr5	FALSE	TRUE
Gng8	chr7	TRUE	FALSE
Agpat1	chr17	TRUE	FALSE
Prss30	chr17	FALSE	TRUE
Zbtb3	chr19	TRUE	FALSE
Krtap4-6	chr11	FALSE	FALSE
Pcnx4	chr12	TRUE	TRUE
Ddx55	chr5	FALSE	TRUE
Fat1	chr8	TRUE	TRUE
Ube2d1	chr10	TRUE	TRUE
Pot1b	chr17	FALSE	TRUE
Tmem126b	chr7	TRUE	TRUE
Hyal6	chr6	FALSE	TRUE
Cpne7	chr8	FALSE	FALSE
Zscan22	chr7	TRUE	FALSE
Dock1	chr7	TRUE	TRUE
Crybb2	chr5	TRUE	TRUE
Ficd	chr5	FALSE	TRUE
Gcsam	chr16	FALSE	FALSE
2810004N23Rik	chr8	FALSE	TRUE
Speer3	chr5	TRUE	FALSE
Cyp4f16	chr17	FALSE	FALSE
Ptdss1	chr13	FALSE	TRUE
Vmn1r39	chr6	FALSE	FALSE
Tram1l1	chr3	TRUE	TRUE
Lmbrd2	chr15	TRUE	TRUE
Lzts2	chr19	TRUE	TRUE
Irf9	chr14	TRUE	FALSE
Zranb3	chr1	TRUE	TRUE
Pstpip2	chr18	TRUE	TRUE
Eif4ebp1	chr8	FALSE	TRUE
Apold1	chr6	TRUE	FALSE
Alox8	chr11	FALSE	FALSE
Vmn1r18	chr6	FALSE	TRUE
Klhl35	chr7	TRUE	FALSE
P2rx5	chr11	FALSE	TRUE
Hnrnpul1	chr7	FALSE	TRUE
Fnd3c2	chrX	FALSE	TRUE
Ecm2	chr13	FALSE	TRUE
Rangap1	chr15	FALSE	TRUE
Meaf6	chr4	FALSE	TRUE
Fbxl19	chr7	FALSE	TRUE
Glra3	chr8	FALSE	TRUE
Prss40	chr1	TRUE	TRUE
Fam131c	chr4	FALSE	FALSE
Arhgap19	chr19	TRUE	TRUE
Gm13199	chr2	FALSE	TRUE
Add3	chr19	TRUE	TRUE
Serpinf1	chr11	FALSE	TRUE
Frrs1	chr3	TRUE	TRUE
Bpifc	chr10	FALSE	TRUE
Prr29	chr11	FALSE	FALSE
Wfdc1	chr8	FALSE	FALSE
Pianp	chr6	FALSE	TRUE
Birc7	chr2	FALSE	FALSE
Cmtr2	chr8	TRUE	TRUE
Armcx6	chrX	TRUE	FALSE
Rabggtb	chr3	TRUE	FALSE
Reg4	chr3	FALSE	FALSE
Nudcd2	chr11	TRUE	FALSE
Xlr4a	chrX	TRUE	FALSE
Frmd7	chrX	FALSE	TRUE
Prss52	chr14	TRUE	FALSE
Icam1	chr9	FALSE	FALSE
Ocrl	chrX	FALSE	TRUE
Kif3c	chr12	TRUE	TRUE
Dok2	chr14	FALSE	FALSE
Adnp2	chr18	TRUE	FALSE
Nampt	chr12	TRUE	TRUE
Gmip	chr8	TRUE	FALSE
Krt88	chr15	TRUE	FALSE
Rfx5	chr3	FALSE	FALSE
Cfap36	chr11	TRUE	TRUE
Apoc3	chr9	FALSE	FALSE
Zpld1	chr16	FALSE	TRUE
Krt1	chr15	FALSE	FALSE
Krt87	chr15	TRUE	FALSE
Mael	chr1	FALSE	TRUE
Lrrc74a	chr12	TRUE	FALSE
Tril	chr6	FALSE	FALSE
Pdcl2	chr5	FALSE	TRUE
Oas1c	chr5	FALSE	FALSE
Tmem40	chr6	FALSE	FALSE
Egr1	chr18	TRUE	TRUE
Pou3f4	chrX	FALSE	TRUE
AI597479	chr1	TRUE	TRUE
Lcn6	chr2	FALSE	FALSE
Gpr161	chr1	FALSE	TRUE
Agbl3	chr6	TRUE	TRUE
Col1a2	chr6	FALSE	TRUE
P2rx7	chr5	TRUE	TRUE
Mup20	chr4	FALSE	TRUE
Adprhl1	chr8	FALSE	TRUE
Ssb	chr2	TRUE	TRUE
Gtf2e2	chr8	TRUE	TRUE
Klhl42	chr6	FALSE	TRUE
Ppp2r3d	chr9	TRUE	TRUE
Wdr49	chr3	FALSE	TRUE
AY074887	chr9	TRUE	TRUE
Tnfrsf10b	chr14	TRUE	TRUE
Actrt2	chr4	FALSE	FALSE
Serpinb3a	chr1	FALSE	FALSE
Sec22c	chr9	TRUE	FALSE
1700017B05Rik	chr9	TRUE	FALSE
Siglecg	chr7	FALSE	FALSE
Tnp2	chr16	FALSE	FALSE
Lipg	chr18	TRUE	FALSE
Srpx2	chrX	FALSE	TRUE
Nkiras1	chr14	TRUE	FALSE
Gjb1	chrX	TRUE	FALSE
Akr1c19	chr13	FALSE	TRUE
Immt	chr6	FALSE	TRUE
Muc13	chr16	TRUE	TRUE
Dppa5a	chr9	FALSE	TRUE
Map3k14	chr11	TRUE	FALSE
Natd1	chr11	FALSE	FALSE
Psmg1	chr16	TRUE	FALSE
Diablo	chr5	FALSE	FALSE
Cers5	chr15	TRUE	TRUE
Gask1a	chr9	TRUE	TRUE
Idh3b	chr2	FALSE	TRUE
Samd13	chr3	TRUE	TRUE
Bard1	chr1	FALSE	TRUE
Slc19a2	chr1	TRUE	TRUE
Crabp2	chr3	FALSE	FALSE
Clcn2	chr16	FALSE	FALSE
Hoxc5	chr15	FALSE	TRUE
Setd6	chr8	TRUE	TRUE
BC005624	chr2	TRUE	FALSE
Lipt2	chr7	TRUE	TRUE
Mapk12	chr15	TRUE	FALSE
Tfap2e	chr4	FALSE	FALSE
Flacc1	chr1	TRUE	TRUE
Prss58	chr6	FALSE	FALSE
Ankrd54	chr15	TRUE	FALSE
Krtap6-3	chr16	FALSE	TRUE
Mrpl55	chr11	TRUE	FALSE
Fam174a	chr1	TRUE	TRUE
Rspo4	chr2	FALSE	TRUE
Cox8c	chr12	TRUE	FALSE
Tcta	chr9	TRUE	FALSE
Adad2	chr8	FALSE	TRUE
Cox17	chr16	TRUE	FALSE
Lias	chr5	FALSE	TRUE
Zfp39	chr11	FALSE	FALSE
Trim11	chr11	FALSE	FALSE
Bdh2	chr3	FALSE	FALSE
Mxd3	chr13	TRUE	TRUE
Gss	chr2	FALSE	TRUE
Tnfsf15	chr4	TRUE	FALSE
Qrfp	chr2	FALSE	FALSE
Mocos	chr18	TRUE	TRUE
Dusp19	chr2	TRUE	TRUE
Mst1	chr9	TRUE	TRUE
Vnn3	chr10	FALSE	TRUE
Pcnx3	chr19	FALSE	TRUE
Lrsam1	chr2	FALSE	TRUE
Slc52a2	chr15	TRUE	TRUE
Adh6a	chr3	FALSE	TRUE
Ipo9	chr1	FALSE	TRUE
Rnasel	chr1	TRUE	FALSE
Gzmk	chr13	FALSE	TRUE
Crp	chr1	FALSE	TRUE
Zfp810	chr9	TRUE	TRUE
Itfg2	chr6	FALSE	TRUE
Zfp157	chr5	FALSE	FALSE
Pomgnt2	chr9	TRUE	FALSE
Cdh18	chr15	TRUE	TRUE
Galnt6	chr15	FALSE	FALSE
Fam229b	chr10	TRUE	TRUE
Rhobtb1	chr10	TRUE	TRUE
Ankrd13d	chr19	FALSE	FALSE
Ctbs	chr3	TRUE	FALSE
Trpt1	chr19	TRUE	FALSE
Defa27	chr8	TRUE	FALSE
Cnot11	chr1	TRUE	FALSE
Anxa3	chr5	FALSE	TRUE
Acot11	chr4	TRUE	TRUE
Phkg2	chr7	FALSE	TRUE
Nol6	chr4	TRUE	TRUE
Aimp2	chr5	TRUE	TRUE
Mobp	chr9	TRUE	TRUE
Nfkbiz	chr16	TRUE	TRUE
Man1b1	chr2	FALSE	TRUE
Kcna1	chr6	FALSE	FALSE
Rbbp6	chr7	FALSE	TRUE
Mief1	chr15	TRUE	FALSE
Dennd2d	chr3	FALSE	FALSE
Zswim1	chr2	TRUE	FALSE
Kdm8	chr7	TRUE	FALSE
Cmtm2a	chr8	TRUE	TRUE
Slc25a35	chr11	TRUE	TRUE
Tnfrsf17	chr16	TRUE	TRUE
Isl2	chr9	FALSE	TRUE
Nvl	chr1	FALSE	TRUE
Arhgef25	chr10	FALSE	FALSE
Fth1	chr19	TRUE	TRUE
Fsd1l	chr4	TRUE	TRUE
Pdilt	chr7	FALSE	TRUE
Mblac2	chr13	TRUE	TRUE
Cdx2	chr5	FALSE	FALSE
Bclaf1	chr10	FALSE	TRUE
Ppp1r1c	chr2	FALSE	TRUE
Ift52	chr2	FALSE	TRUE
Srsf3	chr17	FALSE	TRUE
