gene_name	chr	mch_hyper	atac_gained
Pdlim5	chr3	FALSE	TRUE
Eef1a1	chr9	TRUE	FALSE
Ak5	chr3	FALSE	TRUE
Mki67	chr7	FALSE	TRUE
Zfhx3	chr8	FALSE	TRUE
Cast	chr13	FALSE	TRUE
As3mt	chr19	FALSE	TRUE
Tnni3k	chr3	TRUE	FALSE
Fbln7	chr2	FALSE	TRUE
Tmem161b	chr13	FALSE	FALSE
Lef1	chr3	FALSE	TRUE
Dkk2	chr3	TRUE	TRUE
Map1b	chr13	FALSE	TRUE
Amotl1	chr9	FALSE	TRUE
Plcd1	chr9	FALSE	TRUE
Mme	chr3	FALSE	TRUE
Gpr37	chr6	FALSE	TRUE
Fgf4	chr7	FALSE	TRUE
Cnn3	chr3	FALSE	TRUE
Plcg1	chr2	FALSE	TRUE
Casp7	chr19	FALSE	TRUE
Map3k3	chr11	FALSE	FALSE
Dtx3l	chr16	FALSE	TRUE
Dlgap2	chr8	TRUE	TRUE
Adamtsl5	chr10	FALSE	TRUE
Stam2	chr2	FALSE	TRUE
Liph	chr16	FALSE	TRUE
Sgk3	chr1	FALSE	TRUE
Rhoj	chr12	FALSE	TRUE
St3gal1	chr15	FALSE	TRUE
B3gat1	chr9	FALSE	TRUE
Btg3	chr16	FALSE	TRUE
Chrm3	chr13	TRUE	TRUE
B3gnt7	chr1	FALSE	TRUE
Gcnt2	chr13	FALSE	TRUE
Dab1	chr4	TRUE	TRUE
Sfmbt2	chr2	FALSE	TRUE
Kitl	chr10	FALSE	TRUE
Tpd52l1	chr10	FALSE	TRUE
Pde8b	chr13	FALSE	TRUE
Crym	chr7	TRUE	TRUE
Phkb	chr8	FALSE	FALSE
Ctsz	chr2	FALSE	TRUE
Slco4a1	chr2	FALSE	TRUE
Lrrc52	chr1	FALSE	FALSE
Morc2a	chr11	FALSE	FALSE
Epn3	chr11	FALSE	TRUE
Galnt14	chr17	FALSE	TRUE
E130114P18Rik	chr4	TRUE	TRUE
Sis	chr3	FALSE	TRUE
Bend6	chr1	FALSE	TRUE
D930020B18Rik	chr10	TRUE	TRUE
Gpat3	chr5	FALSE	TRUE
Pla2g3	chr11	FALSE	TRUE
Mstn	chr1	TRUE	FALSE
Gm5901	chr7	FALSE	FALSE
A830018L16Rik	chr1	FALSE	TRUE
Ntsr1	chr2	FALSE	TRUE
Gdnf	chr15	TRUE	TRUE
Ntng2	chr2	FALSE	TRUE
Htr6	chr4	FALSE	TRUE
Fignl2	chr15	FALSE	TRUE
St8sia4	chr1	FALSE	TRUE
Hspb7	chr4	FALSE	TRUE
Lrp2	chr2	FALSE	TRUE
A930009A15Rik	chr10	TRUE	TRUE
Efnb2	chr8	FALSE	TRUE
Lama3	chr18	TRUE	TRUE
Fcmr	chr1	FALSE	TRUE
Wnt7a	chr6	FALSE	TRUE
Htatip2	chr7	TRUE	TRUE
Lhx2	chr2	FALSE	TRUE
Ifitm10	chr7	FALSE	TRUE
Hadha	chr5	FALSE	TRUE
Cdsn	chr17	FALSE	FALSE
Zfp935	chr13	FALSE	TRUE
Panx1	chr9	FALSE	TRUE
Abi3bp	chr16	FALSE	FALSE
Camkk2	chr5	FALSE	TRUE
Abca9	chr11	FALSE	TRUE
Gem	chr4	FALSE	TRUE
Majin	chr19	FALSE	FALSE
Tmem190	chr7	TRUE	FALSE
Fhdc1	chr3	TRUE	TRUE
Slco4c1	chr1	FALSE	TRUE
Ildr1	chr16	FALSE	TRUE
Pappa	chr4	FALSE	TRUE
Ppic	chr18	FALSE	TRUE
Rassf4	chr6	FALSE	TRUE
Slc1a5	chr7	FALSE	TRUE
Pcare	chr17	FALSE	TRUE
Adamts3	chr5	FALSE	TRUE
Cfap46	chr7	FALSE	TRUE
Rtl4	chrX	FALSE	TRUE
Cyp3a13	chr5	FALSE	FALSE
Agbl2	chr2	TRUE	TRUE
Mmp15	chr8	FALSE	TRUE
Pom121l2	chr13	FALSE	TRUE
Exoc3l4	chr12	FALSE	TRUE
Rnf125	chr18	FALSE	TRUE
Fam167a	chr14	FALSE	TRUE
Kcns1	chr2	FALSE	FALSE
Far2	chr6	FALSE	TRUE
Abcg8	chr17	FALSE	TRUE
Tnfrsf11a	chr1	FALSE	TRUE
Plppr1	chr4	FALSE	TRUE
Smpdl3a	chr10	FALSE	TRUE
Rflna	chr5	FALSE	TRUE
Bmp5	chr9	FALSE	FALSE
Csgalnact1	chr8	FALSE	TRUE
Pcdh19	chrX	TRUE	TRUE
Eomes	chr9	TRUE	FALSE
Pabpc4	chr4	FALSE	TRUE
Slc8a1	chr17	FALSE	TRUE
Kcnj4	chr15	FALSE	TRUE
Tet1	chr10	FALSE	TRUE
Fkbp9	chr6	FALSE	TRUE
Slc14a1	chr18	FALSE	TRUE
Asb18	chr1	FALSE	TRUE
Fndc1	chr17	FALSE	TRUE
Il1rap	chr16	FALSE	TRUE
Cyp4f39	chr17	FALSE	FALSE
Metrnl	chr11	FALSE	TRUE
Ccbe1	chr18	TRUE	TRUE
Slco1c1	chr6	FALSE	TRUE
Sncaip	chr18	TRUE	TRUE
Prepl	chr17	FALSE	TRUE
Ntn1	chr11	FALSE	TRUE
Palld	chr8	FALSE	TRUE
Slco2b1	chr7	FALSE	FALSE
Elfn1	chr5	FALSE	TRUE
Grin2b	chr6	FALSE	TRUE
Neurod6	chr6	FALSE	TRUE
D130043K22Rik	chr13	FALSE	TRUE
Fermt1	chr2	FALSE	TRUE
Serhl	chr15	FALSE	TRUE
Rab25	chr3	TRUE	FALSE
Dok4	chr8	FALSE	TRUE
Grm3	chr5	FALSE	TRUE
Bmp8b	chr4	FALSE	FALSE
Ptprm	chr17	FALSE	TRUE
Efna1	chr3	TRUE	FALSE
Stab1	chr14	FALSE	TRUE
Ets1	chr9	FALSE	TRUE
Pou4f2	chr8	FALSE	TRUE
