alist_set	blist_set	permutation	permuted_overlaps	test_id
mCH Hyper gene bodies	ATAC Down	2227	181	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2228	142	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2229	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2230	166	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2231	165	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2232	173	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2233	178	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2234	168	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2235	207	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2236	172	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2237	133	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2238	195	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2239	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2240	154	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2241	161	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2242	159	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2243	144	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2244	206	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2245	146	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2246	147	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2247	154	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2248	160	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2249	177	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2250	188	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2251	116	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2252	140	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2253	119	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2254	187	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2255	166	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2256	187	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2257	143	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2258	156	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2259	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2260	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2261	167	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2262	130	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2263	172	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2264	174	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2265	181	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2266	180	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2267	165	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2268	197	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2269	161	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2270	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2271	140	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2272	212	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2273	130	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2274	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2275	172	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2276	138	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2277	257	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2278	172	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2279	146	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2280	199	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2281	192	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2282	135	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2283	188	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2284	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2285	175	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2286	144	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2287	137	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2288	151	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2289	174	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2290	169	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2291	161	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2292	192	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2293	148	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2294	144	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2295	141	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2296	176	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2297	193	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2298	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2299	152	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2300	147	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2301	118	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2302	163	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2303	165	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2304	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2305	212	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2306	180	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2307	154	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2308	177	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2309	199	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2310	126	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2311	202	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2312	144	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2313	114	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2314	178	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2315	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2316	181	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2317	133	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2318	154	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2319	211	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2320	161	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2321	142	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2322	140	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2323	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2324	166	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2325	139	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2326	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2327	161	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2328	186	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2329	136	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2330	152	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2331	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2332	137	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2333	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2334	126	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2335	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2336	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2337	149	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2338	196	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2339	167	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2340	182	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2341	182	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2342	145	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2343	119	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2344	151	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2345	197	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2346	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2347	173	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2348	202	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2349	160	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2350	152	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2351	126	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2352	173	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2353	184	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2354	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2355	174	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2356	125	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2357	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2358	187	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2359	182	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2360	186	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2361	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2362	162	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2363	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2364	127	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2365	137	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2366	167	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2367	147	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2368	162	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2369	149	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2370	216	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2371	198	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2372	166	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2373	199	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2374	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2375	189	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2376	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2377	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2378	180	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2379	156	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2380	193	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2381	194	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2382	138	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2383	185	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2384	189	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2385	233	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2386	133	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2387	161	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2388	221	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2389	160	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2390	207	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2391	197	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2392	185	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2393	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2394	145	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2395	172	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2396	110	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2397	169	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2398	206	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2399	157	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2400	146	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2401	206	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2402	141	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2403	169	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2404	151	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2405	130	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2406	134	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2407	140	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2408	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2409	135	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2410	172	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2411	167	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2412	162	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2413	119	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2414	199	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2415	164	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2416	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2417	178	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2418	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2419	151	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2420	159	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2421	194	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2422	120	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2423	157	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2424	192	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2425	203	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2426	179	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2427	157	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2428	192	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2429	173	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2430	184	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2431	186	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2432	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2433	103	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2434	127	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2435	220	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2436	141	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2437	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2438	142	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2439	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2440	184	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2441	142	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2442	125	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2443	138	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2444	185	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2445	173	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2446	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2447	156	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2448	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2449	174	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2450	154	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2451	199	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2452	148	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2453	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2454	160	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2455	125	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2456	168	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2457	134	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2458	128	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2459	202	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2460	160	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2461	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2462	175	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2463	216	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2464	162	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2465	184	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2466	183	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2467	173	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2468	200	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2469	164	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2470	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2471	137	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2472	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2473	177	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2474	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2475	126	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2476	197	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2477	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2478	193	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2479	146	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2480	278	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2481	147	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2482	178	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2483	185	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2484	129	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2485	159	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2486	150	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2487	185	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2488	135	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2489	196	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2490	201	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2491	154	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2492	208	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2493	145	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2494	195	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2495	145	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2496	196	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2497	198	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2498	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2499	193	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2500	132	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2501	144	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2502	174	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2503	191	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2504	188	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2505	159	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2506	146	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2507	144	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2508	125	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2509	151	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2510	141	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2511	188	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2512	206	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2513	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2514	140	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2515	127	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2516	145	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2517	157	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2518	170	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2519	171	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2520	158	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2521	179	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2522	145	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2523	164	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2524	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2525	159	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2526	180	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2527	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2528	149	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2529	178	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2530	143	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2531	179	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2532	167	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2533	169	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2534	186	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2535	155	mCH Hyper gene bodies x ATAC Down
mCH Hyper gene bodies	ATAC Down	2536	166	mCH Hyper gene bodies x ATAC Down
