"peak_id","h2a_Fold","h2a_FDR","SYMBOL"
"h2a_peak_4713",1.228141294,1.85e-18,"Rnf146"
"h2a_peak_4714",0.045093201,0.765950274,"Anks1b"
"h2a_peak_4715",0.43730138,0.001893145,"Epm2a"
"h2a_peak_4718",0.379548526,0.005237648,"Inhbe"
"h2a_peak_4720",0.866137742,6.65e-13,"Ccdc162"
"h2a_peak_4721",0.317207503,0.022237455,"Col13a1"
"h2a_peak_4723",0.186082617,0.18692167,"Akap12"
"h2a_peak_4724",0.255824645,0.087166327,"Anks1b"
"h2a_peak_4725",-0.3540829,0.007129688,"Cdh23"
"h2a_peak_4726",-0.17119139,0.22881006,"Arid5b"
"h2a_peak_4729",0.522715244,2.01e-05,"Ddt"
"h2a_peak_4729",0.522715244,2.01e-05,"Gm20441"
"h2a_peak_4732",0.326004087,0.020973421,"Hmg20b"
"h2a_peak_4737",0.097743008,0.499634897,"L3mbtl3"
"h2a_peak_4739",0.657837596,2.71e-08,"Ust"
"h2a_peak_4741",0.374535933,0.152375593,"Fbxo5"
"h2a_peak_4745",0.468515272,0.000312167,"Cdh23"
"h2a_peak_4746",0.06463961,0.642907108,"Plagl1"
"h2a_peak_4747",-0.023333677,0.867060225,"Pawr"
"h2a_peak_4749",0.653370262,4.91e-08,"Tmcc3"
"h2a_peak_4750",0.019280585,0.88644066,"Npffr1"
"h2a_peak_4751",-0.315828498,0.010783317,"Phactr2"
"h2a_peak_4755",0.230600177,0.071884539,"Tmcc3"
"h2a_peak_4756",0.623404434,1.18e-07,"Micu1"
"h2a_peak_4760",0.345446627,0.010572928,"Taar5"
"h2a_peak_4761",1.276526614,5.21e-25,"Syt1"
"h2a_peak_4762",0.62121464,6.3e-08,"Smpdl3a"
"h2a_peak_4764",-0.102678449,0.436352777,"Cnn2"
"h2a_peak_4765",0.324907023,0.017568618,"Nhsl1"
"h2a_peak_4767",0.295026978,0.018156136,"Fyn"
"h2a_peak_4768",0.562924959,2.16e-05,"Tbpl1"
"h2a_peak_4768",0.562924959,2.16e-05,"AC166256.1"
"h2a_peak_4769",-0.060136733,0.685888011,"Jmjd1c"
"h2a_peak_4770",0.561405458,5.41e-05,"Ado"
"h2a_peak_4771",1.147618477,5.56e-20,"Ctnna3"
"h2a_peak_4772",0.125515889,0.315793438,"Sash1"
"h2a_peak_4773",0.561261164,4.89e-06,"Ascl4"
"h2a_peak_4774",0.225245641,0.078636144,"Ppm1h"
"h2a_peak_4775",0.663193228,1.84e-08,"Pcdh15"
"h2a_peak_4777",0.128222758,0.349384086,"Col13a1"
"h2a_peak_4779",0.150648061,0.241067138,"Fyn"
"h2a_peak_4780",0.106071827,0.481313836,"Cdh23"
"h2a_peak_4784",-0.075381256,0.541583865,"Agpat3"
"h2a_peak_4784",-0.075381256,0.541583865,"AC160405.1"
"h2a_peak_4786",-0.529086494,3.08e-06,"Btbd11"
"h2a_peak_4788",0.313530472,0.014701091,"Pcbp3"
"h2a_peak_4792",0.618681336,6.22e-07,"Themis"
"h2a_peak_4793",0.151895001,0.506198317,"Ppp1r14c"
"h2a_peak_4795",-0.201160867,0.168110827,"Pip5k1c"
"h2a_peak_4796",0.528188773,1.01e-05,"Nhsl1"
"h2a_peak_4797",-0.091675938,0.494011753,"Oit3"
"h2a_peak_4798",0.328439802,0.006501113,"Col18a1"
"h2a_peak_4799",-0.32405781,0.016807891,"Btbd11"
"h2a_peak_4800",-0.380827402,0.001810535,"Rsph14"
"h2a_peak_4800",-0.380827402,0.001810535,"Gnaz"
"h2a_peak_4801",1.049100418,1.38e-17,"Hdac2"
"h2a_peak_4802",0.140608215,0.334364539,"Sobp"
"h2a_peak_4803",0.019143499,0.897223264,"Chst3"
"h2a_peak_4804",0.205257767,0.102332105,"Tmcc3"
"h2a_peak_4805",0.542144153,1.97e-06,"Mif"
"h2a_peak_4806",-0.022253673,0.882380211,"Adarb1"
"h2a_peak_4807",-0.461164412,0.001023791,"Tmem200a"
"h2a_peak_4808",0.608086729,2.38e-07,"Abracl"
"h2a_peak_4809",1.305099581,2.55e-21,"Ccdc6"
"h2a_peak_4810",1.105968583,2.22e-18,"Nav3"
"h2a_peak_4811",0.058853325,0.663325705,"Traf3ip2"
"h2a_peak_4813",0.120584933,0.362388175,"Tmcc3"
"h2a_peak_4814",-0.141166337,0.241316066,"Unc5b"
"h2a_peak_4815",-0.205552545,0.117336378,"Arid3a"
"h2a_peak_4816",0.801920622,1.05e-12,"Ncoa7"
"h2a_peak_4818",0.027651362,0.850964346,"Fyn"
"h2a_peak_4819",0.401703604,0.001773922,"Tmcc3"
"h2a_peak_4820",0.249859468,0.040394815,"Ilvbl"
"h2a_peak_4820",0.249859468,0.040394815,"Syde1"
"h2a_peak_4821",-0.085681544,0.503039736,"Bcr"
"h2a_peak_4822",0.549861986,1.44e-05,"Mettl24"
"h2a_peak_4823",0.278104169,0.048902747,"Ppp1r14c"
"h2a_peak_4824",0.626142103,1.36e-07,"Nav3"
"h2a_peak_4827",0.558061641,1.25e-06,"Cirbp"
"h2a_peak_4828",0.454036099,0.000498639,"Pcdh15"
"h2a_peak_4829",0.997391702,4.4e-16,"Lin7a"
"h2a_peak_4831",0.309850774,0.00926928,"Grm1"
"h2a_peak_4833",1.30690053,1.98e-29,"Ank3"
"h2a_peak_4834",0.242639183,0.043937334,"Sobp"
"h2a_peak_4835",0.501194713,8.4e-05,"Fbxo7"
"h2a_peak_4836",0.446841156,3.94e-05,"Pcdh15"
"h2a_peak_4837",0.004705437,0.973027964,"Bsg"
"h2a_peak_4838",0.314255474,0.005830292,"Dcbld1"
"h2a_peak_4840",0.295813184,0.01745911,"Agpat3"
"h2a_peak_4841",-0.382645652,0.001550829,"Appl2"
"h2a_peak_4842",0.725123807,3.86e-10,"Ctnna3"
"h2a_peak_4845",0.147780471,0.2359104,"1700020N01Rik"
"h2a_peak_4849",0.207991187,0.191520395,"Lrrc20"
"h2a_peak_4850",0.524554778,1.04e-05,"Rfx4"
"h2a_peak_4851",0.21592672,0.142329733,"Stat6"
"h2a_peak_4853",0.481899226,9.46e-05,"Slc16a10"
"h2a_peak_4854",0.686028012,1.04e-08,"Aig1"
"h2a_peak_4855",-0.066277606,0.600933223,"Unc5b"
"h2a_peak_4857",0.219811722,0.137743033,"Grip1"
"h2a_peak_4862",0.372886632,0.010020549,"Col18a1"
"h2a_peak_4864",0.742275363,1.63e-09,"Cfap54"
"h2a_peak_4865",1.106488911,3.75e-21,"Epyc"
"h2a_peak_4866",0.999077511,5.08e-18,"Nhsl1"
"h2a_peak_4867",-0.079251395,0.533687916,"Col6a2"
"h2a_peak_4868",0.838067479,1.85e-10,"Tmtc2"
"h2a_peak_4869",-0.021630468,0.884714427,"Gucd1"
"h2a_peak_4869",-0.021630468,0.884714427,"Upb1"
"h2a_peak_4870",0.551650433,7.88e-06,"Mthfd1l"
"h2a_peak_4871",0.763520277,0.000803398,"Tmtc3"
"h2a_peak_4871",0.763520277,0.000803398,"Cep290"
"h2a_peak_4872",-0.428609335,0.003609202,"Nfic"
"h2a_peak_4875",0.291863912,0.018709,"Gucd1"
"h2a_peak_4875",0.291863912,0.018709,"Upb1"
"h2a_peak_4877",-0.584823257,4.53e-07,"Hmga2"
"h2a_peak_4881",0.541961869,2.73e-06,"Ctnna3"
"h2a_peak_4882",-0.242436629,0.031042235,"Adamts14"
"h2a_peak_4884",0.453399077,0.00015085,"Map3k5"
"h2a_peak_4885",-0.08781038,0.488719039,"Col13a1"
"h2a_peak_4886",0.609553633,5.01e-06,"Dyrk2"
"h2a_peak_4888",0.588881947,5.87e-07,"Grm1"
"h2a_peak_4889",1.000297359,3.72e-11,"Cdk19"
"h2a_peak_4890",0.168451283,0.233746013,"Ctnna3"
"h2a_peak_4890",0.168451283,0.233746013,"Lrrtm3"
"h2a_peak_4893",0.471549902,0.000273779,"Aldh1l2"
"h2a_peak_4897",0.795047123,5.95e-10,"Bbs10"
"h2a_peak_4899",-0.138425109,0.273280271,"Col13a1"
"h2a_peak_4901",0.418466835,0.001675578,"Sh3rf3"
"h2a_peak_4904",0.789350857,2.12e-10,"Ptprb"
"h2a_peak_4906",0.422972324,0.000788964,"Tmcc3"
"h2a_peak_4909",1.400447597,4.58e-30,"Tmtc2"
"h2a_peak_4910",0.718515851,6.37e-08,"Gm5134"
"h2a_peak_4911",-0.278124241,0.016508982,"Aire"
"h2a_peak_4911",-0.278124241,0.016508982,"Dnmt3l"
"h2a_peak_4912",0.323422704,0.005381171,"Cdk17"
"h2a_peak_4912",0.323422704,0.005381171,"Elk3"
"h2a_peak_4914",0.594483645,6.01e-06,"Plxnc1"
"h2a_peak_4915",0.465270665,4.3e-05,"Traf3ip2"
"h2a_peak_4917",-0.203000493,0.174994262,"Trpm2"
"h2a_peak_4918",0.997176938,1.38e-16,"Osbpl8"
"h2a_peak_4919",-0.566074464,4.9e-05,"Adamts14"
"h2a_peak_4922",0.182224842,0.168465074,"Chst11"
"h2a_peak_4924",0.086867986,0.523007192,"Bend3"
"h2a_peak_4928",0.421448827,0.000330747,"Gm20441"
"h2a_peak_4928",0.421448827,0.000330747,"Gstt3"
"h2a_peak_4930",0.623440024,5.27e-08,"Ppfia2"
"h2a_peak_4932",-0.243493013,0.060927081,"Adamts14"
"h2a_peak_4933",0.133842775,0.264955444,"Tspan15"
"h2a_peak_4934",-0.401754003,0.000310658,"Wdr18"
"h2a_peak_4936",1.02321777,1.15e-20,"Pkib"
"h2a_peak_4938",0.263314279,0.079887737,"Cand1"
"h2a_peak_4939",0.222548218,0.087048021,"Fyn"
"h2a_peak_4940",-0.097429352,0.455210887,"Septin10"
"h2a_peak_4941",0.027444577,0.842941682,"Theg"
"h2a_peak_4942",0.524238656,3.17e-05,"Syt1"
"h2a_peak_4944",0.339282598,0.004478223,"Mcu"
"h2a_peak_4947",0.016339251,0.917559147,"Gm49358"
"h2a_peak_4947",0.016339251,0.917559147,"Nt5dc3"
"h2a_peak_4951",-0.463172724,0.00047368,"Ostm1"
"h2a_peak_4954",0.294424791,0.03683059,"Nus1"
"h2a_peak_4956",0.274522455,0.213321897,"Mtrf1l"
"h2a_peak_4956",0.274522455,0.213321897,"Rgs17"
"h2a_peak_4959",0.018699099,0.888559701,"Fyn"
"h2a_peak_4960",-0.125441604,0.335246418,"Sobp"
"h2a_peak_4961",0.460406334,0.000275646,"Ppfia2"
"h2a_peak_4962",0.265771466,0.020793415,"Nhsl1"
"h2a_peak_4965",-0.049714241,0.700717018,"Btbd11"
"h2a_peak_4966",0.025487994,0.871566672,"Col18a1"
"h2a_peak_4969",-0.028207505,0.85433201,"Sh3rf3"
"h2a_peak_4970",0.270486594,0.032495819,"Pcbp3"
"h2a_peak_4971",0.740598573,3.16e-11,"Nav3"
"h2a_peak_4973",1.460097664,3.33e-38,"Lims1"
"h2a_peak_4974",-0.151862737,0.267024933,"Chst11"
"h2a_peak_4975",0.070708413,0.605485877,"Plxnc1"
"h2a_peak_4976",-0.340008501,0.008948443,"Igf1"
"h2a_peak_4978",0.406825089,0.001116729,"R3hdm4"
"h2a_peak_4978",0.406825089,0.001116729,"Kiss1r"
"h2a_peak_4980",-0.028978314,0.8282017,"Tet1"
"h2a_peak_4982",-0.285848865,0.026130377,"Pald1"
"h2a_peak_4983",0.340726215,0.001700399,"Rab32"
"h2a_peak_4988",0.817383001,2.66e-10,"Ddo"
"h2a_peak_4989",-0.050676547,0.724883649,"Anks1b"
"h2a_peak_4990",0.454624494,0.000346394,"Cdk17"
"h2a_peak_4990",0.454624494,0.000346394,"Elk3"
"h2a_peak_4991",0.208080664,0.105461493,"Msrb3"
"h2a_peak_4992",0.011896887,0.929369613,"Atp2b1"
"h2a_peak_4993",0.414142246,0.000472409,"Rfx4"
"h2a_peak_4994",0.333335467,0.007516915,"Atp5b"
"h2a_peak_4994",0.333335467,0.007516915,"Baz2a"
"h2a_peak_4995",0.107280332,0.407573653,"Map3k5"
"h2a_peak_4999",0.592637413,1.98e-06,"Cdk1"
"h2a_peak_5000",0.191754621,0.11667386,"Dot1l"
"h2a_peak_5003",0.615568163,1.78e-07,"Mfsd4b5"
"h2a_peak_5004",0.236702522,0.077570584,"Prdm1"
"h2a_peak_5005",0.788105245,9.29e-13,"Map3k5"
"h2a_peak_5006",1.117836987,5.34e-17,"Ncoa7"
"h2a_peak_5007",-0.002678734,0.984244865,"Nhsl1"
"h2a_peak_5009",0.76312367,5.4e-09,"Sgk1"
"h2a_peak_5013",0.760210383,5.08e-10,"Hs3st5"
"h2a_peak_5014",0.705685032,6.38e-10,"Gatd3a"
"h2a_peak_5014",0.705685032,6.38e-10,"Pwp2"
"h2a_peak_5015",0.237119622,0.095899827,"Tbc1d30"
"h2a_peak_5016",0.242345707,0.053075671,"Arid5b"
"h2a_peak_5018",0.020517838,0.896601346,"Syn3"
"h2a_peak_5019",0.37467109,0.005525603,"Rnf217"
"h2a_peak_5020",0.505917759,4.22e-06,"Tbata"
"h2a_peak_5021",0.029223232,0.845008837,"Vgll2"
"h2a_peak_5022",-0.321601835,0.002907965,"Col18a1"
"h2a_peak_5023",-0.050047662,0.71057288,"Bicc1"
"h2a_peak_5025",0.495341437,1.19e-05,"Rsph14"
"h2a_peak_5025",0.495341437,1.19e-05,"Gnaz"
"h2a_peak_5026",-0.065846975,0.60290624,"Syn3"
"h2a_peak_5027",-0.425110768,0.000424034,"Specc1l"
"h2a_peak_5030",-0.168549575,0.140686626,"Thop1"
"h2a_peak_5031",0.470263624,5.56e-05,"Ptprk"
"h2a_peak_5033",0.350431957,0.005132399,"Lin7a"
"h2a_peak_5038",0.387711894,0.000367283,"Lama4"
"h2a_peak_5039",-0.034849959,0.833596465,"Nfic"
"h2a_peak_5040",0.093963568,0.435850765,"Agpat3"
"h2a_peak_5041",0.681809136,7.36e-09,"Atg5"
"h2a_peak_5043",0.893023532,6.42e-14,"Cd164"
"h2a_peak_5044",0.737496263,1.15e-09,"Mthfd1l"
"h2a_peak_5046",-0.019591026,0.886618912,"Ptprb"
"h2a_peak_5050",0.074411952,0.619549004,"Esyt1"
"h2a_peak_5051",0.858009158,3.43e-13,"Tmtc2"
"h2a_peak_5054",0.260731911,0.01875731,"Bcr"
"h2a_peak_5058",0.678109637,9.93e-08,"Pkib"
"h2a_peak_5059",-0.749553497,2.77e-13,"Nr2e1"
"h2a_peak_5065",0.497451666,8.04e-06,"Kcnmb4"
"h2a_peak_5067",-0.190251526,0.138084445,"Foxo3"
"h2a_peak_5070",1.155487967,1.6e-20,"Dgka"
"h2a_peak_5071",0.500381284,2.04e-06,"Pdxk"
"h2a_peak_5073",-0.162749106,0.127425372,"Mfsd12"
"h2a_peak_5073",-0.162749106,0.127425372,"4930404N11Rik"
"h2a_peak_5073",-0.162749106,0.127425372,"Fzr1"
"h2a_peak_5074",-0.032536289,0.808335037,"Cradd"
"h2a_peak_5075",0.182229319,0.128939942,"Mmp11"
"h2a_peak_5076",0.115363253,0.336949982,"Chst3"
"h2a_peak_5078",0.419960399,0.003568267,"Slc35f1"
"h2a_peak_5079",1.142193204,7.35e-22,"Ptprk"
"h2a_peak_5082",-0.049830326,0.69820178,"Adora2a"
"h2a_peak_5083",0.174780315,0.130534491,"Ccdc162"
"h2a_peak_5085",0.256551253,0.044158593,"Msrb3"
"h2a_peak_5086",-0.140663853,0.226035069,"Plpp2"
"h2a_peak_5088",0.395748676,0.000235615,"Nt5dc1"
"h2a_peak_5088",0.395748676,0.000235615,"Tspyl4"
"h2a_peak_5090",0.531111268,6.9e-06,"Slc2a12"
"h2a_peak_5090",0.531111268,6.9e-06,"Tbpl1"
"h2a_peak_5093",0.131936036,0.346683937,"Pwwp3a"
"h2a_peak_5094",-0.224007394,0.060713561,"Pald1"
"h2a_peak_5095",1.397470566,7.19e-32,"Nav3"
"h2a_peak_5096",0.270614729,0.010677416,"Pcbp3"
"h2a_peak_5098",1.235327914,2.32e-31,"Nav3"
"h2a_peak_5100",1.957173598,3.15e-52,"Syt1"
"h2a_peak_5102",0.35541866,0.00270494,"Ppm1h"
"h2a_peak_5103",1.244064003,1.27e-33,"Nav3"
"h2a_peak_5105",0.306887542,0.190840186,"Hsp90b1"
"h2a_peak_5105",0.306887542,0.190840186,"Ttc41"
"h2a_peak_5107",0.4665961,0.000188643,"Sobp"
"h2a_peak_5108",0.465888406,0.000309685,"Nfic"
"h2a_peak_5109",-0.286605028,0.016628242,"Nfic"
"h2a_peak_5113",0.108369448,0.485038283,"Rxylt1"
"h2a_peak_5114",0.544105957,4.03e-06,"Tph2"
"h2a_peak_5115",0.291690148,0.00592443,"Fyn"
"h2a_peak_5118",0.688502016,2.61e-11,"Sobp"
"h2a_peak_5119",0.155158293,0.1422454,"Chst11"
"h2a_peak_5120",-0.229127407,0.048059837,"Btbd11"
"h2a_peak_5121",-0.150709352,0.238786517,"Ankrd52"
"h2a_peak_5121",-0.150709352,0.238786517,"Slc39a5"
"h2a_peak_5121",-0.150709352,0.238786517,"Nabp2"
"h2a_peak_5123",1.341040337,7.22e-32,"Tph2"
"h2a_peak_5125",-0.014513457,0.917804172,"Nkain2"
"h2a_peak_5126",0.082691634,0.498366064,"Dyrk2"
"h2a_peak_5127",-0.421587386,0.000269613,"Hmga2"
"h2a_peak_5128",0.154812398,0.157165401,"Ascc3"
"h2a_peak_5129",0.075027643,0.558662389,"Prtn3"
"h2a_peak_5130",1.082915282,1.92e-20,"Utrn"
"h2a_peak_5131",-0.21758461,0.037815482,"Adarb1"
"h2a_peak_5132",-0.042497859,0.749997273,"Shc2"
"h2a_peak_5132",-0.042497859,0.749997273,"Odf3l2"
"h2a_peak_5133",0.265756835,0.035520834,"Cradd"
"h2a_peak_5135",-0.134725069,0.2689126,"B4galnt1"
"h2a_peak_5138",0.589982389,2.96e-07,"Nav3"
"h2a_peak_5139",0.046770386,0.688182894,"Ppm1h"
"h2a_peak_5140",0.519969545,2.8e-07,"Ctnna3"
"h2a_peak_5141",-0.118226121,0.312470191,"Anks1b"
"h2a_peak_5142",-0.355196811,0.003280772,"Adamts14"
"h2a_peak_5143",0.905692647,2.47e-13,"Poc1b"
"h2a_peak_5143",0.905692647,2.47e-13,"Galnt4"
"h2a_peak_5144",0.269758592,0.030421658,"Cdk17"
"h2a_peak_5144",0.269758592,0.030421658,"Elk3"
"h2a_peak_5145",0.585601962,5.82e-08,"Tle2"
"h2a_peak_5147",0.543588463,1.98e-07,"Mettl24"
"h2a_peak_5149",0.687608537,2.1e-10,"Mfsd4b1"
"h2a_peak_5151",-0.256328407,0.042041571,"Cpm"
"h2a_peak_5153",1.112022994,7.68e-26,"Ctnna3"
"h2a_peak_5154",0.667331817,4.02e-09,"Slc2a12"
"h2a_peak_5156",0.659940765,4.69e-11,"Tmtc2"
"h2a_peak_5157",-0.029562267,0.814490796,"Hal"
"h2a_peak_5158",0.61618021,7.72e-08,"Epyc"
"h2a_peak_5159",0.724637996,4.29e-13,"Pdss2"
"h2a_peak_5161",-0.295081255,0.003594888,"Bcr"
"h2a_peak_5162",-0.30103848,0.011593664,"Nfic"
"h2a_peak_5163",0.281820366,0.014410381,"Srgap1"
"h2a_peak_5165",0.754028333,3.34e-11,"Syt1"
"h2a_peak_5166",0.467058176,8.32e-06,"Hk1"
"h2a_peak_5167",0.431613422,1.36e-05,"Abracl"
"h2a_peak_5169",-0.01094956,0.940048784,"Ppp1r14c"
"h2a_peak_5170",0.168216551,0.169450705,"Scml4"
"h2a_peak_5171",-0.45433958,6.99e-06,"Dot1l"
"h2a_peak_5172",-0.091513397,0.46577871,"Sbno2"
"h2a_peak_5173",0.174542297,0.112889823,"Fyn"
"h2a_peak_5175",0.485755355,3.75e-06,"Grm1"
"h2a_peak_5179",0.447834765,4.63e-05,"Trhde"
"h2a_peak_5181",0.061752234,0.630564965,"Slc16a9"
"h2a_peak_5182",0.339608981,0.008815738,"D930020B18Rik"
"h2a_peak_5183",-0.025557828,0.837161995,"Cdh23"
"h2a_peak_5183",-0.025557828,0.837161995,"Vsir"
"h2a_peak_5185",-0.326054726,0.003793872,"Stk11"
"h2a_peak_5185",-0.326054726,0.003793872,"Cbarp"
"h2a_peak_5191",0.544486988,1.13e-08,"Ccdc162"
"h2a_peak_5192",0.249538842,0.015112991,"Ctnna3"
"h2a_peak_5193",0.707688336,1.34e-12,"Tph2"
"h2a_peak_5195",0.168759682,0.155507173,"Ppm1h"
"h2a_peak_5196",0.283956505,0.0148929,"Syde1"
"h2a_peak_5197",0.006888021,0.963960456,"Appl2"
"h2a_peak_5199",0.735471913,7.3e-09,"Cradd"
"h2a_peak_5200",0.668077294,1.88e-10,"Ctnna3"
"h2a_peak_5202",0.515922681,1.2e-05,"Vezt"
"h2a_peak_5202",0.515922681,1.2e-05,"Fgd6"
"h2a_peak_5203",1.3744367,1.01e-40,"Ptprb"
"h2a_peak_5204",1.037017099,5.17e-24,"Ptprk"
"h2a_peak_5206",0.38603051,0.000509508,"Syn3"
"h2a_peak_5206",0.38603051,0.000509508,"Timp3"
"h2a_peak_5207",0.464580439,0.000139513,"Ifngr1"
"h2a_peak_5209",0.63403109,1.6e-07,"Mcu"
"h2a_peak_5210",-0.143666156,0.216072432,"Arhgef25"
"h2a_peak_5210",-0.143666156,0.216072432,"Dtx3"
"h2a_peak_5212",0.652705319,5.9e-09,"Lrp11"
"h2a_peak_5213",-0.530956179,6.63e-06,"Ptbp1"
"h2a_peak_5213",-0.530956179,6.63e-06,"Plppr3"
"h2a_peak_5214",0.586266854,1.08e-09,"Map7"
"h2a_peak_5215",-0.264836102,0.011085067,"Chst3"
"h2a_peak_5216",-0.074267682,0.579950613,"Ddit4"
"h2a_peak_5217",-0.138460466,0.27144229,"Nhsl1"
"h2a_peak_5218",0.199664282,0.082396888,"Agpat3"
"h2a_peak_5219",0.255240199,0.011210704,"Ano4"
"h2a_peak_5222",-0.130327587,0.315724947,"Edar"
"h2a_peak_5223",-0.426122546,0.00014361,"Agap2"
"h2a_peak_5224",0.435066674,3.65e-05,"Mettl24"
"h2a_peak_5225",-0.234524088,0.050483563,"Gatd3a"
"h2a_peak_5226",0.150830877,0.209502684,"Arhgap18"
"h2a_peak_5227",-0.05423285,0.627668757,"Pald1"
"h2a_peak_5228",-0.331192798,0.096443459,"Hmga2"
"h2a_peak_5229",-0.164551089,0.164419771,"Hmga2"
"h2a_peak_5230",0.52497723,1.75e-06,"Phyhipl"
"h2a_peak_5231",0.032435116,0.783249863,"Syn3"
"h2a_peak_5231",0.032435116,0.783249863,"Timp3"
"h2a_peak_5232",0.940455704,2.87e-22,"Tmtc2"
"h2a_peak_5234",-0.251968339,0.027417574,"Fyn"
"h2a_peak_5235",0.061312325,0.650487724,"Nr1h4"
"h2a_peak_5238",-0.390619296,0.001115491,"Cradd"
"h2a_peak_5239",0.49376358,1.38e-07,"Nhsl1"
"h2a_peak_5240",0.134603687,0.235213067,"Chst3"
"h2a_peak_5241",0.145480254,0.198030106,"Spock2"
"h2a_peak_5242",1.42683563,1.6e-34,"Ptprk"
"h2a_peak_5244",-0.248758743,0.017249834,"Rfx4"
"h2a_peak_5245",0.739470895,1.94e-12,"E2f7"
"h2a_peak_5246",1.573199389,3.3e-51,"Syt1"
"h2a_peak_5248",0.812139299,4.36e-17,"Nav3"
"h2a_peak_5253",-0.045778473,0.731471807,"Phactr2"
"h2a_peak_5254",0.230532556,0.032178125,"Cdh23"
"h2a_peak_5255",0.243287332,0.037684031,"Rdh1"
"h2a_peak_5255",0.243287332,0.037684031,"Rdh16f1"
"h2a_peak_5257",-0.261820864,0.011817843,"Icosl"
"h2a_peak_5258",0.451752404,1.49e-05,"Sash1"
"h2a_peak_5260",-0.144709264,0.221082583,"Col13a1"
"h2a_peak_5262",0.816084665,3.56e-17,"Fam184a"
"h2a_peak_5264",0.332572701,0.001320016,"Lgr5"
"h2a_peak_5266",0.425046099,2.38e-05,"Arfgef3"
"h2a_peak_5267",-0.53357343,6.73e-06,"Cdh23"
"h2a_peak_5267",-0.53357343,6.73e-06,"Vsir"
"h2a_peak_5268",0.459698827,0.000191676,"Pcbp3"
"h2a_peak_5269",0.190000945,0.13984112,"Edar"
"h2a_peak_5271",0.803917051,1.37e-13,"Mdm1"
"h2a_peak_5272",-0.169874046,0.119029563,"Hmga2"
"h2a_peak_5274",0.514706596,2.66e-06,"Wif1"
"h2a_peak_5275",0.331362088,0.003543456,"Hebp2"
"h2a_peak_5276",-0.415259414,0.000132169,"Unc5b"
"h2a_peak_5277",0.706470102,1.67e-11,"Fabp7"
"h2a_peak_5278",0.851483052,4.4e-13,"Cdc40"
"h2a_peak_5279",0.161404273,0.119843666,"Gatd3a"
"h2a_peak_5280",0.028203727,0.830258353,"Fam13c"
"h2a_peak_5281",0.152543391,0.129111747,"Tmcc3"
"h2a_peak_5284",-0.217944346,0.0367549,"Lin28b"
"h2a_peak_5285",0.05251311,0.718685598,"Cradd"
"h2a_peak_5287",0.136787254,0.319576169,"Stx11"
"h2a_peak_5289",0.89176451,1.55e-20,"Ptprk"
"h2a_peak_5291",0.057180335,0.625739227,"Moxd1"
"h2a_peak_5293",-0.22288777,0.03080914,"Sppl2b"
"h2a_peak_5294",-0.307364921,0.001425887,"Nodal"
"h2a_peak_5295",-0.173418611,0.08861075,"Pawr"
"h2a_peak_5296",0.547989185,2.14e-07,"Itga7"
"h2a_peak_5297",-0.307844931,0.005943562,"Npffr1"
"h2a_peak_5298",-0.141826608,0.229649925,"Edar"
"h2a_peak_5299",1.09651783,2.2e-27,"Ptprk"
"h2a_peak_5301",0.703736762,2.27e-11,"Myrfl"
"h2a_peak_5303",0.171227345,0.097124179,"1700113H08Rik"
"h2a_peak_5304",0.519882782,2.07e-07,"Tbc1d32"
"h2a_peak_5304",0.519882782,2.07e-07,"Msl3l2"
"h2a_peak_5305",-0.580894614,1.65e-09,"Onecut3"
"h2a_peak_5306",0.129542039,0.231265586,"Ascl1"
"h2a_peak_5307",-0.172640583,0.110158791,"Enpp1"
"h2a_peak_5308",0.070308458,0.571620977,"Bcr"
"h2a_peak_5309",0.418311413,0.000127786,"Slc2a12"
"h2a_peak_5310",0.090831767,0.42266483,"Zc3h12d"
"h2a_peak_5311",0.138436491,0.179265392,"Tbc1d30"
"h2a_peak_5312",-0.301913579,0.004708494,"Rfx6"
"h2a_peak_5313",0.022463394,0.859055091,"Epb41l2"
"h2a_peak_5314",-0.137079089,0.192233439,"Il20ra"
"h2a_peak_5315",-0.188752443,0.060244164,"Derl3"
"h2a_peak_5315",-0.188752443,0.060244164,"Smarcb1"
"h2a_peak_5318",0.785939312,2.1e-12,"Rdh5"
"h2a_peak_5318",0.785939312,2.1e-12,"Bloc1s1"
"h2a_peak_5321",-0.336832445,0.002049993,"Cdh23"
"h2a_peak_5322",-0.265768029,0.011042964,"Anks1b"
"h2a_peak_5323",0.074951995,0.505701846,"Heca"
"h2a_peak_5324",0.277212266,0.15973662,"Slc35f1"
"h2a_peak_5325",0.618350472,6.44e-10,"Fgd6"
"h2a_peak_5328",-0.170708987,0.166042043,"Edar"
"h2a_peak_5329",0.141333014,0.222106276,"Col18a1"
"h2a_peak_5330",0.427560637,9.25e-06,"Dse"
"h2a_peak_5333",0.86437125,1.19e-16,"Lum"
"h2a_peak_5334",1.260701354,2.23e-35,"Aig1"
"h2a_peak_5335",0.308461389,0.005081163,"Tmcc3"
"h2a_peak_5336",0.212493951,0.053986002,"Pcsk4"
"h2a_peak_5336",0.212493951,0.053986002,"Reep6"
"h2a_peak_5337",0.185973481,0.106976803,"L3mbtl3"
"h2a_peak_5338",-0.555554181,1.18e-08,"Apc2"
"h2a_peak_5341",0.212228205,0.037446509,"Syn3"
"h2a_peak_5348",-0.047356594,0.722232161,"Grip1"
"h2a_peak_5349",-0.149546026,0.155347052,"Adamtsl5"
