gene_name	chr	mch_sig	in_state
Mast3	chr8	TRUE	FALSE
Mtmr3	chr11	TRUE	FALSE
Atp11c	chrX	TRUE	FALSE
Nadk	chr4	TRUE	FALSE
Fam169b	chr7	TRUE	FALSE
Phtf2	chr5	TRUE	FALSE
Ccser2	chr14	TRUE	FALSE
Flt3	chr5	TRUE	FALSE
Dmc1	chr15	TRUE	FALSE
Nptn	chr9	TRUE	FALSE
Taf4	chr2	TRUE	FALSE
Pias2	chr18	TRUE	FALSE
Stat5a	chr11	TRUE	FALSE
Pum2	chr12	TRUE	FALSE
Kdm3b	chr18	TRUE	FALSE
Myh11	chr16	TRUE	FALSE
Bub1b	chr2	TRUE	FALSE
Slc25a12	chr2	TRUE	FALSE
St8sia6	chr2	TRUE	FALSE
Adgra1	chr7	TRUE	FALSE
Lamc2	chr1	TRUE	FALSE
Slc16a7	chr10	TRUE	FALSE
Tmem260	chr14	TRUE	FALSE
Angpt4	chr2	TRUE	FALSE
Cfdp1	chr8	TRUE	FALSE
Cryzl2	chr1	TRUE	FALSE
Wdr59	chr8	TRUE	FALSE
Cdh11	chr8	TRUE	FALSE
Hace1	chr10	TRUE	FALSE
Pfkl	chr10	TRUE	FALSE
Mark4	chr7	TRUE	FALSE
Actn4	chr7	TRUE	FALSE
Prmt8	chr6	TRUE	FALSE
Serpina9	chr12	TRUE	FALSE
Clic4	chr4	TRUE	FALSE
Hapln3	chr7	TRUE	FALSE
Morc4	chrX	TRUE	FALSE
Kremen1	chr11	TRUE	FALSE
Sun2	chr15	TRUE	FALSE
Tspan13	chr12	TRUE	FALSE
Ryk	chr9	TRUE	FALSE
Zfp597	chr16	TRUE	FALSE
Ppp2r2a	chr14	TRUE	FALSE
Ncf1	chr5	TRUE	FALSE
Hdac11	chr6	TRUE	FALSE
Med16	chr10	TRUE	FALSE
Prdm1	chr10	TRUE	FALSE
Gm5134	chr10	TRUE	FALSE
Ipcef1	chr10	TRUE	FALSE
Banp	chr8	TRUE	FALSE
Tecpr1	chr5	TRUE	FALSE
Scg5	chr2	TRUE	FALSE
Dao	chr5	TRUE	TRUE
Raver2	chr4	TRUE	FALSE
Pygl	chr12	TRUE	FALSE
Ehmt1	chr2	TRUE	FALSE
Slc7a7	chr14	TRUE	FALSE
Osbpl8	chr10	TRUE	FALSE
Sec24d	chr3	TRUE	FALSE
Ascc2	chr11	TRUE	FALSE
Itga7	chr10	TRUE	FALSE
Kdm1a	chr4	TRUE	FALSE
Gpatch2l	chr12	TRUE	FALSE
Mlxipl	chr5	TRUE	FALSE
Cep135	chr5	TRUE	FALSE
Rnf141	chr7	TRUE	FALSE
Phactr4	chr4	TRUE	FALSE
Rev3l	chr10	TRUE	FALSE
Galnt10	chr11	TRUE	FALSE
Sec11a	chr7	TRUE	FALSE
Rtf1	chr2	TRUE	FALSE
Rad54l2	chr9	TRUE	FALSE
Tcp10c	chr17	TRUE	TRUE
Ly75	chr2	TRUE	FALSE
Obscn	chr11	TRUE	FALSE
Man1a2	chr3	TRUE	FALSE
Arih1	chr9	TRUE	FALSE
Mllt6	chr11	TRUE	FALSE
Farsb	chr1	TRUE	FALSE
Rbm20	chr19	TRUE	FALSE
Eea1	chr10	TRUE	FALSE
Steap3	chr1	TRUE	FALSE
Crcp	chr5	TRUE	FALSE
Il6ra	chr3	TRUE	FALSE
Med15	chr16	TRUE	FALSE
Foxo1	chr3	TRUE	FALSE
Dag1	chr9	TRUE	FALSE
Glb1l2	chr9	TRUE	FALSE
Skap2	chr6	TRUE	FALSE
Prr14l	chr5	TRUE	FALSE
Col8a2	chr4	TRUE	FALSE
Sh3tc1	chr5	TRUE	FALSE
Vezt	chr10	TRUE	FALSE
Oxct1	chr15	TRUE	FALSE
Pus10	chr11	TRUE	FALSE
Ttc39a	chr4	TRUE	FALSE
Dennd5a	chr7	TRUE	FALSE
Dock2	chr11	TRUE	FALSE
Znrf1	chr8	TRUE	FALSE
Ankrd6	chr4	TRUE	FALSE
Cmya5	chr13	TRUE	FALSE
Samd14	chr11	TRUE	FALSE
Albfm1	chr5	TRUE	FALSE
Neurl1a	chr19	TRUE	FALSE
Anxa2	chr9	TRUE	FALSE
Gli2	chr1	TRUE	FALSE
Nek10	chr14	TRUE	FALSE
C5ar1	chr7	TRUE	TRUE
Ninl	chr2	TRUE	FALSE
Cd46	chr1	TRUE	TRUE
Grm4	chr17	TRUE	FALSE
Nostrin	chr2	TRUE	FALSE
Prr5l	chr2	TRUE	FALSE
Grid1	chr14	TRUE	FALSE
Shank3	chr15	TRUE	FALSE
Vsnl1	chr12	TRUE	FALSE
5730522E02Rik	chr11	TRUE	FALSE
Dcaf5	chr12	TRUE	FALSE
Cracr2a	chr6	TRUE	FALSE
Hsf5	chr11	TRUE	FALSE
Micu2	chr14	TRUE	FALSE
Il17ra	chr6	TRUE	FALSE
1300017J02Rik	chr9	TRUE	TRUE
Zc3hav1	chr6	TRUE	FALSE
Rnf182	chr13	TRUE	FALSE
Smchd1	chr17	TRUE	FALSE
Spam1	chr6	TRUE	FALSE
Igdcc4	chr9	TRUE	FALSE
Zfyve28	chr5	TRUE	FALSE
Zbtb46	chr2	TRUE	FALSE
Chst9	chr18	TRUE	FALSE
Elp2	chr18	TRUE	FALSE
Araf	chrX	TRUE	FALSE
Plch1	chr3	TRUE	FALSE
Pik3cd	chr4	TRUE	FALSE
Melk	chr4	TRUE	TRUE
Vangl2	chr1	TRUE	FALSE
Ccdc150	chr1	TRUE	FALSE
Kl	chr5	TRUE	FALSE
Frmpd1	chr4	TRUE	FALSE
Wdr36	chr18	TRUE	FALSE
Gm3755	chr14	TRUE	TRUE
Plekhf1	chr7	TRUE	FALSE
Dgkd	chr1	TRUE	FALSE
Mob3b	chr4	TRUE	FALSE
Rapgef5	chr12	TRUE	FALSE
Gm49361	chr14	TRUE	FALSE
Glt1d1	chr5	TRUE	FALSE
Laptm4b	chr15	TRUE	FALSE
Dclk2	chr3	TRUE	FALSE
Igsf11	chr16	TRUE	FALSE
Rbks	chr5	TRUE	FALSE
Cdip1	chr16	TRUE	FALSE
Fam71d	chr12	TRUE	TRUE
St7	chr6	TRUE	FALSE
Wdpcp	chr11	TRUE	FALSE
Depdc5	chr5	TRUE	FALSE
Pdpr	chr8	TRUE	FALSE
Pla2r1	chr2	TRUE	FALSE
Myo3a	chr2	TRUE	FALSE
Usp47	chr7	TRUE	FALSE
Adcy2	chr13	TRUE	FALSE
Angptl2	chr2	TRUE	FALSE
Dlc1	chr8	TRUE	FALSE
Brwd3	chrX	TRUE	FALSE
Xpnpep1	chr19	TRUE	FALSE
Barhl1	chr2	TRUE	FALSE
Rdx	chr9	TRUE	FALSE
Sec63	chr10	TRUE	FALSE
Vmp1	chr11	TRUE	FALSE
Ly86	chr13	TRUE	FALSE
Dera	chr6	TRUE	FALSE
Ube2cbp	chr9	TRUE	FALSE
Vps26c	chr16	TRUE	FALSE
Ndst1	chr18	TRUE	FALSE
Rad54l	chr4	TRUE	FALSE
Pax7	chr4	TRUE	FALSE
Dcdc2a	chr13	TRUE	FALSE
Cdc42ep4	chr11	TRUE	FALSE
Rsu1	chr2	TRUE	FALSE
Ttll11	chr2	TRUE	FALSE
Tmc5	chr7	TRUE	FALSE
Wac	chr18	TRUE	FALSE
Nsd1	chr13	TRUE	FALSE
Hif1an	chr19	TRUE	FALSE
Pigl	chr11	TRUE	FALSE
Bdkrb2	chr12	TRUE	FALSE
Lrfn3	chr7	TRUE	FALSE
Mroh2a	chr1	TRUE	FALSE
Ext2	chr2	TRUE	FALSE
Iqca1l	chr5	TRUE	FALSE
Zcchc24	chr14	TRUE	FALSE
Zfp664	chr5	TRUE	FALSE
Rnf38	chr4	TRUE	FALSE
Ube2u	chr4	TRUE	FALSE
Kctd3	chr1	TRUE	FALSE
Crb2	chr2	TRUE	FALSE
Jarid2	chr13	TRUE	FALSE
Gnal	chr18	TRUE	FALSE
Actg2	chr6	TRUE	FALSE
Ssh1	chr5	TRUE	FALSE
Etv6	chr6	TRUE	FALSE
Bmpr1a	chr14	TRUE	FALSE
Rnf144a	chr12	TRUE	FALSE
Hira	chr16	TRUE	FALSE
Fhad1	chr4	TRUE	FALSE
Bcar3	chr3	TRUE	FALSE
Lrig3	chr10	TRUE	FALSE
Muc5ac	chr7	TRUE	FALSE
Gas6	chr8	TRUE	FALSE
Tbkbp1	chr11	TRUE	FALSE
Slc30a3	chr5	TRUE	FALSE
Cdc5l	chr17	TRUE	FALSE
Lrrc8c	chr5	TRUE	FALSE
Col22a1	chr15	TRUE	FALSE
Arhgap24	chr5	TRUE	FALSE
Abhd2	chr7	TRUE	FALSE
Gm21985	chr2	TRUE	FALSE
Gtf3c3	chr1	TRUE	FALSE
Ggta1	chr2	TRUE	FALSE
Cramp1l	chr17	TRUE	FALSE
Fbxl2	chr9	TRUE	FALSE
Sgpp2	chr1	TRUE	FALSE
Kdm2a	chr19	TRUE	FALSE
Slc12a1	chr2	TRUE	TRUE
Cnksr3	chr10	TRUE	FALSE
Stk32b	chr5	TRUE	FALSE
Epc1	chr18	TRUE	FALSE
Setd5	chr6	TRUE	FALSE
Epn2	chr11	TRUE	FALSE
Lcp1	chr14	TRUE	FALSE
Sema3e	chr5	TRUE	FALSE
Nkain2	chr10	TRUE	FALSE
Zc3h12d	chr10	TRUE	FALSE
Fchsd2	chr7	TRUE	FALSE
N4bp1	chr8	TRUE	FALSE
Hk2	chr6	TRUE	FALSE
Clec2l	chr6	TRUE	FALSE
Nt5m	chr11	TRUE	FALSE
Naa50	chr16	TRUE	FALSE
Nr2c2	chr6	TRUE	FALSE
Col6a5	chr9	TRUE	FALSE
Gm19935	chr8	TRUE	FALSE
9930021J03Rik	chr19	TRUE	FALSE
Flt1	chr5	TRUE	FALSE
Spsb4	chr9	TRUE	FALSE
Podxl	chr6	TRUE	FALSE
Chst11	chr10	TRUE	FALSE
Plcb2	chr2	TRUE	FALSE
Cep192	chr18	TRUE	FALSE
Atp11b	chr3	TRUE	FALSE
Plcb3	chr19	TRUE	FALSE
Ralgapb	chr2	TRUE	FALSE
Mr1	chr1	TRUE	FALSE
Galnt5	chr2	TRUE	FALSE
Grk4	chr5	TRUE	FALSE
Lin28b	chr10	TRUE	FALSE
Pak2	chr16	TRUE	FALSE
Unc5cl	chr17	TRUE	FALSE
Col4a6	chrX	TRUE	FALSE
Bcorl1	chrX	TRUE	FALSE
Ctif	chr18	TRUE	FALSE
Spen	chr4	TRUE	FALSE
Srrm3	chr5	TRUE	FALSE
Ppp1r3a	chr6	TRUE	TRUE
Plvap	chr8	TRUE	FALSE
Ccdc36	chr9	TRUE	FALSE
Epha7	chr4	TRUE	FALSE
Psma8	chr18	TRUE	TRUE
Ago1	chr4	TRUE	FALSE
Recql5	chr11	TRUE	FALSE
0610040J01Rik	chr5	TRUE	FALSE
Desi2	chr1	TRUE	FALSE
Dnaic1	chr4	TRUE	FALSE
Synrg	chr11	TRUE	FALSE
Tut7	chr13	TRUE	FALSE
Apobec1	chr6	TRUE	TRUE
Naa60	chr16	TRUE	FALSE
Cacna1d	chr14	TRUE	FALSE
Yeats2	chr16	TRUE	FALSE
Samd8	chr14	TRUE	FALSE
Bpi	chr2	TRUE	FALSE
Spocd1	chr4	TRUE	TRUE
Tmod1	chr4	TRUE	FALSE
Herc2	chr7	TRUE	FALSE
Mrtfb	chr16	TRUE	FALSE
Scn2a	chr2	TRUE	FALSE
Sos2	chr12	TRUE	FALSE
Pdgfrl	chr8	TRUE	FALSE
Slc31a1	chr4	TRUE	FALSE
4931406P16Rik	chr7	TRUE	FALSE
Pspc1	chr14	TRUE	FALSE
Tns4	chr11	TRUE	TRUE
Dusp8	chr7	TRUE	FALSE
Fign	chr2	TRUE	FALSE
Elovl2	chr13	TRUE	FALSE
Rasgrf1	chr9	TRUE	FALSE
Csnk1e	chr15	TRUE	FALSE
Gprin2	chr14	TRUE	FALSE
Ptprb	chr10	TRUE	FALSE
Top1	chr2	TRUE	FALSE
Lyn	chr4	TRUE	FALSE
Gon4l	chr3	TRUE	FALSE
Trib2	chr12	TRUE	FALSE
Cyb5r4	chr9	TRUE	FALSE
Ptpn13	chr5	TRUE	FALSE
Cc2d2b	chr19	TRUE	FALSE
Apmap	chr2	TRUE	FALSE
Kcnk5	chr14	TRUE	FALSE
Pdzd2	chr15	TRUE	FALSE
Msh2	chr17	TRUE	FALSE
Rab10	chr12	TRUE	FALSE
Padi4	chr4	TRUE	TRUE
Rab11fip3	chr17	TRUE	FALSE
Trmt11	chr10	TRUE	FALSE
Dtx2	chr5	TRUE	FALSE
Zmym4	chr4	TRUE	FALSE
Pisd	chr5	TRUE	FALSE
Resf1	chr6	TRUE	FALSE
Cxadr	chr16	TRUE	FALSE
Tbc1d31	chr15	TRUE	FALSE
Tyr	chr7	TRUE	TRUE
Rasgrp2	chr19	TRUE	FALSE
Zfp60	chr7	TRUE	FALSE
Kctd1	chr18	TRUE	FALSE
Nt5e	chr9	TRUE	FALSE
Papss2	chr19	TRUE	FALSE
Epm2a	chr10	TRUE	FALSE
Lep	chr6	TRUE	FALSE
1110059E24Rik	chr19	TRUE	FALSE
Tfdp2	chr9	TRUE	FALSE
Rufy1	chr11	TRUE	FALSE
Supt16	chr14	TRUE	FALSE
Ace2	chrX	TRUE	FALSE
Stxbp1	chr2	TRUE	FALSE
Runx3	chr4	TRUE	FALSE
2010300C02Rik	chr1	TRUE	FALSE
Fam189a2	chr19	TRUE	FALSE
Pcdha1	chr18	TRUE	FALSE
Phc3	chr3	TRUE	FALSE
Vipr1	chr9	TRUE	FALSE
Spi1	chr2	TRUE	FALSE
Xpo7	chr14	TRUE	FALSE
Lmf2	chr15	TRUE	FALSE
Lrrc37a	chr11	TRUE	TRUE
Eaf2	chr16	TRUE	FALSE
Slc41a2	chr10	TRUE	FALSE
Atl3	chr19	TRUE	FALSE
Ceacam13	chr7	TRUE	TRUE
Slc26a8	chr17	TRUE	FALSE
Akap9	chr5	TRUE	FALSE
Slc12a3	chr8	TRUE	FALSE
Pear1	chr3	TRUE	FALSE
Map3k9	chr12	TRUE	FALSE
Tbl1xr1	chr3	TRUE	FALSE
Efcab1	chr16	TRUE	TRUE
Pdzd8	chr19	TRUE	FALSE
Ehd1	chr19	TRUE	FALSE
Neurod4	chr10	TRUE	TRUE
Zfp658	chr7	TRUE	FALSE
Cdc14b	chr13	TRUE	FALSE
Sec23a	chr12	TRUE	FALSE
Cdyl2	chr8	TRUE	FALSE
Tmem38a	chr8	TRUE	FALSE
Ikzf5	chr7	TRUE	FALSE
Col6a3	chr1	TRUE	FALSE
Slc35f4	chr14	TRUE	FALSE
Rhbdl2	chr4	TRUE	FALSE
Tvp23a	chr16	TRUE	FALSE
Baz1a	chr12	TRUE	FALSE
Tspear	chr10	TRUE	FALSE
Pacc1	chr1	TRUE	FALSE
D630003M21Rik	chr2	TRUE	FALSE
Evc	chr5	TRUE	FALSE
Rassf3	chr10	TRUE	FALSE
Abhd12	chr2	TRUE	FALSE
Ada	chr2	TRUE	FALSE
Pmm2	chr16	TRUE	FALSE
Greb1	chr12	TRUE	FALSE
Ppp1r9a	chr6	TRUE	FALSE
Ift122	chr6	TRUE	FALSE
Kmt5b	chr19	TRUE	FALSE
Unc80	chr1	TRUE	FALSE
Stk31	chr6	TRUE	TRUE
Pskh1	chr8	TRUE	FALSE
Efs	chr14	TRUE	FALSE
1190005I06Rik	chr8	TRUE	FALSE
Rdh5	chr10	TRUE	FALSE
Zdhhc21	chr4	TRUE	FALSE
Cacna2d3	chr14	TRUE	FALSE
Pcdha12	chr18	TRUE	FALSE
Pcdha3	chr18	TRUE	FALSE
Numa1	chr7	TRUE	FALSE
Arid4a	chr12	TRUE	FALSE
Faah	chr4	TRUE	FALSE
Arhgap20	chr9	TRUE	FALSE
Cd300ld3	chr11	TRUE	FALSE
Dpysl5	chr5	TRUE	FALSE
Frmd4b	chr6	TRUE	FALSE
Itm2c	chr1	TRUE	FALSE
Osbpl3	chr6	TRUE	FALSE
Zfyve26	chr12	TRUE	FALSE
Gbe1	chr16	TRUE	FALSE
Drg1	chr11	TRUE	FALSE
Foxn1	chr11	TRUE	FALSE
Arhgap5	chr12	TRUE	FALSE
Tnnt2	chr1	TRUE	FALSE
Rgs16	chr1	TRUE	FALSE
Col4a3	chr1	TRUE	FALSE
Tfeb	chr17	TRUE	FALSE
C1qtnf7	chr5	TRUE	FALSE
Abcg2	chr6	TRUE	FALSE
Zfp420	chr7	TRUE	FALSE
Gpr82	chrX	TRUE	FALSE
Otogl	chr10	TRUE	TRUE
Hbs1l	chr10	TRUE	FALSE
Ptk7	chr17	TRUE	FALSE
Chrna4	chr2	TRUE	FALSE
Dzip1	chr14	TRUE	FALSE
Acsf3	chr8	TRUE	FALSE
Piezo1	chr8	TRUE	FALSE
Erbb2	chr11	TRUE	FALSE
Ino80	chr2	TRUE	FALSE
Ncor1	chr11	TRUE	FALSE
Abcc5	chr16	TRUE	FALSE
Fam20a	chr11	TRUE	FALSE
Cald1	chr6	TRUE	FALSE
Sh3rf3	chr10	TRUE	FALSE
Crkl	chr16	TRUE	FALSE
Crb1	chr1	TRUE	FALSE
Rabgap1	chr2	TRUE	FALSE
4930444P10Rik	chr1	TRUE	FALSE
Jag2	chr12	TRUE	FALSE
Zfp644	chr5	TRUE	FALSE
Gm27021	chr8	TRUE	FALSE
Scd1	chr19	TRUE	FALSE
Tex26	chr5	TRUE	FALSE
Vwa8	chr14	TRUE	FALSE
Masp1	chr16	TRUE	FALSE
Lmln	chr16	TRUE	FALSE
Stat5b	chr11	TRUE	FALSE
Pcdha11	chr18	TRUE	FALSE
Socs2	chr10	TRUE	FALSE
Mylk	chr16	TRUE	FALSE
Mnd1	chr3	TRUE	FALSE
Acoxl	chr2	TRUE	FALSE
Ankrd34b	chr13	TRUE	FALSE
Cr2	chr1	TRUE	FALSE
Parp4	chr14	TRUE	FALSE
Ppfia1	chr7	TRUE	FALSE
Dcp2	chr18	TRUE	FALSE
Agpat4	chr17	TRUE	FALSE
Nek11	chr9	TRUE	FALSE
Rheb	chr5	TRUE	FALSE
Tspan32	chr7	TRUE	FALSE
Mccc2	chr13	TRUE	FALSE
Agap3	chr5	TRUE	FALSE
Ranbp1	chr16	TRUE	FALSE
Lrpprc	chr17	TRUE	FALSE
Scfd2	chr5	TRUE	FALSE
Atrn	chr2	TRUE	FALSE
4430402I18Rik	chr19	TRUE	FALSE
Qrfprl	chr6	TRUE	FALSE
Slc30a7	chr3	TRUE	FALSE
5730480H06Rik	chr5	TRUE	FALSE
Gucy1a2	chr9	TRUE	FALSE
Pxdn	chr12	TRUE	FALSE
Gm28038	chr2	TRUE	FALSE
Asap3	chr4	TRUE	FALSE
Gpd2	chr2	TRUE	FALSE
Hdhd2	chr18	TRUE	FALSE
Nxpe2	chr9	TRUE	TRUE
Kif6	chr17	TRUE	FALSE
Epb41l4b	chr4	TRUE	FALSE
Txndc11	chr16	TRUE	FALSE
Eepd1	chr9	TRUE	FALSE
Tax1bp1	chr6	TRUE	FALSE
Srcin1	chr11	TRUE	FALSE
Cox16	chr12	TRUE	FALSE
Col4a5	chrX	TRUE	FALSE
Pcdha2	chr18	TRUE	FALSE
Saa3	chr7	TRUE	FALSE
Lonrf1	chr8	TRUE	FALSE
Pinx1	chr14	TRUE	FALSE
Nsd2	chr5	TRUE	FALSE
Hdx	chrX	TRUE	FALSE
Igfbp7	chr5	TRUE	FALSE
Gyg	chr3	TRUE	FALSE
Sumo1	chr1	TRUE	FALSE
Ppp1r14c	chr10	TRUE	FALSE
Gm28539	chr16	TRUE	FALSE
Skint5	chr4	TRUE	TRUE
Slc16a9	chr10	TRUE	FALSE
Dnah17	chr11	TRUE	FALSE
Clock	chr5	TRUE	FALSE
Zfand4	chr6	TRUE	FALSE
Gm38392	chr3	TRUE	FALSE
Cnot4	chr6	TRUE	FALSE
Atg4b	chr1	TRUE	FALSE
Paqr9	chr9	TRUE	FALSE
Olfr557	chr7	TRUE	TRUE
Hp	chr8	TRUE	TRUE
Pds5b	chr5	TRUE	FALSE
Myh9	chr15	TRUE	FALSE
Dhrs9	chr2	TRUE	TRUE
Ddx31	chr2	TRUE	FALSE
Suclg2	chr6	TRUE	FALSE
Sh3bgrl2	chr9	TRUE	FALSE
Exoc6	chr19	TRUE	FALSE
Anks6	chr4	TRUE	FALSE
Fnbp1	chr2	TRUE	FALSE
Clstn1	chr4	TRUE	FALSE
Caskin2	chr11	TRUE	FALSE
Arrb1	chr7	TRUE	FALSE
Tdp1	chr12	TRUE	FALSE
Acss2	chr2	TRUE	FALSE
Rcan1	chr16	TRUE	FALSE
Slc35a1	chr4	TRUE	FALSE
Tbck	chr3	TRUE	FALSE
Pcdha7	chr18	TRUE	FALSE
Septin10	chr10	TRUE	FALSE
Slc39a14	chr14	TRUE	FALSE
Tm9sf2	chr14	TRUE	FALSE
Khdrbs2	chr1	TRUE	FALSE
Bri3	chr5	TRUE	FALSE
Cog3	chr14	TRUE	FALSE
Mkrn2	chr6	TRUE	FALSE
Trim14	chr4	TRUE	FALSE
Smtnl1	chr2	TRUE	FALSE
Olfr561	chr7	TRUE	TRUE
Nkain4	chr2	TRUE	FALSE
Tab2	chr10	TRUE	FALSE
Usp54	chr14	TRUE	FALSE
Lyst	chr13	TRUE	FALSE
Tacc2	chr7	TRUE	FALSE
Ppef1	chrX	TRUE	TRUE
Zfp551	chr7	TRUE	FALSE
Rnf2	chr1	TRUE	FALSE
Gm5624	chr14	TRUE	TRUE
Jam2	chr16	TRUE	FALSE
Myrip	chr9	TRUE	FALSE
Mcm9	chr10	TRUE	FALSE
Agpat3	chr10	TRUE	FALSE
Abcc12	chr8	TRUE	FALSE
Cacng5	chr11	TRUE	FALSE
Fam117b	chr1	TRUE	FALSE
Spindoc	chr19	TRUE	FALSE
Phf2	chr13	TRUE	FALSE
Cbx5	chr15	TRUE	FALSE
Pkhd1l1	chr15	TRUE	FALSE
Cds2	chr2	TRUE	FALSE
Plppr5	chr3	TRUE	FALSE
Twf2	chr9	TRUE	FALSE
Relt	chr7	TRUE	FALSE
Meis2	chr2	TRUE	FALSE
Sigirr	chr7	TRUE	FALSE
Spred2	chr11	TRUE	FALSE
Ankrd50	chr3	TRUE	FALSE
Tmem117	chr15	TRUE	FALSE
Rsph1	chr17	TRUE	FALSE
Tiam1	chr16	TRUE	FALSE
Agbl1	chr7	TRUE	FALSE
Dthd1	chr5	TRUE	TRUE
Clstn3	chr6	TRUE	FALSE
Gm44596	chr6	TRUE	FALSE
Dennd1c	chr17	TRUE	TRUE
Dpp9	chr17	TRUE	FALSE
Ptpra	chr2	TRUE	FALSE
Rhod	chr19	TRUE	TRUE
Shc4	chr2	TRUE	FALSE
Ccdc91	chr6	TRUE	FALSE
Pcdha8	chr18	TRUE	FALSE
Cdc42ep2	chr19	TRUE	FALSE
Zfand6	chr7	TRUE	FALSE
Utp20	chr10	TRUE	FALSE
Itga9	chr9	TRUE	FALSE
Pcdha5	chr18	TRUE	FALSE
Kpna3	chr14	TRUE	FALSE
Nt5c3	chr6	TRUE	FALSE
Tceanc	chrX	TRUE	FALSE
Ghr	chr15	TRUE	FALSE
Arhgap1	chr2	TRUE	FALSE
Tm6sf1	chr7	TRUE	FALSE
Zbtb2	chr10	TRUE	FALSE
Ndfip2	chr14	TRUE	FALSE
Egf	chr3	TRUE	FALSE
Tmem154	chr3	TRUE	FALSE
Pcdha11	chr18	TRUE	FALSE
Smc1b	chr15	TRUE	TRUE
Larp4b	chr13	TRUE	FALSE
Zfp438	chr18	TRUE	FALSE
Qser1	chr2	TRUE	FALSE
Mapkapk2	chr1	TRUE	FALSE
Chrm1	chr19	TRUE	FALSE
Gm20708	chr11	TRUE	FALSE
Gm2a	chr11	TRUE	FALSE
Gli3	chr13	TRUE	FALSE
Gm10309	chr17	TRUE	FALSE
Ptp4a2	chr4	TRUE	FALSE
Gpr160	chr3	TRUE	FALSE
Brca1	chr11	TRUE	TRUE
Caprin2	chr6	TRUE	FALSE
Thap4	chr1	TRUE	FALSE
Scn5a	chr9	TRUE	FALSE
Fbxl20	chr11	TRUE	FALSE
Nsmce2	chr15	TRUE	FALSE
Ppard	chr17	TRUE	FALSE
Ppp2r3c	chr12	TRUE	FALSE
Kcnh3	chr15	TRUE	FALSE
Otop1	chr5	TRUE	FALSE
Zzz3	chr3	TRUE	FALSE
Vps50	chr6	TRUE	FALSE
Arid5b	chr10	TRUE	FALSE
Tmem82	chr4	TRUE	FALSE
Pcdha6	chr18	TRUE	FALSE
Anapc5	chr5	TRUE	FALSE
Mypn	chr10	TRUE	TRUE
Chrna5	chr9	TRUE	FALSE
Rab6b	chr9	TRUE	FALSE
Frs2	chr10	TRUE	FALSE
Ostm1	chr10	TRUE	FALSE
Adgrg7	chr16	TRUE	TRUE
Hipk2	chr6	TRUE	FALSE
Dnah12	chr14	TRUE	FALSE
Wnk3	chrX	TRUE	FALSE
Zfp697	chr3	TRUE	FALSE
Acad11	chr9	TRUE	FALSE
Tmod3	chr9	TRUE	FALSE
Npas2	chr1	TRUE	FALSE
Tgif1	chr17	TRUE	FALSE
Pcdha4	chr18	TRUE	FALSE
Mbnl3	chrX	TRUE	FALSE
Ric8b	chr10	TRUE	FALSE
Gatad2b	chr3	TRUE	FALSE
Hip1	chr5	TRUE	FALSE
Ins2	chr7	TRUE	TRUE
Tead1	chr7	TRUE	FALSE
Ube2r2	chr4	TRUE	FALSE
Slc4a7	chr14	TRUE	FALSE
Ap3s2	chr7	TRUE	FALSE
Kctd6	chr14	TRUE	FALSE
Tmem189	chr2	TRUE	FALSE
Il6st	chr13	TRUE	FALSE
Celf1	chr2	TRUE	FALSE
Chl1	chr6	TRUE	FALSE
Nfatc3	chr8	TRUE	FALSE
Nubpl	chr12	TRUE	FALSE
BC034090	chr1	TRUE	FALSE
Nfatc1	chr18	TRUE	FALSE
H2-Ab1	chr17	TRUE	FALSE
Stab2	chr10	TRUE	FALSE
Tango2	chr16	TRUE	FALSE
Gjc1	chr11	TRUE	TRUE
Fam219a	chr4	TRUE	FALSE
Tmem176a	chr6	TRUE	FALSE
Tmem45a	chr16	TRUE	FALSE
Camk2g	chr14	TRUE	FALSE
Gm6614	chr6	TRUE	TRUE
Olfr211	chr6	TRUE	FALSE
Usp24	chr4	TRUE	FALSE
Ascc1	chr10	TRUE	FALSE
Gng7	chr10	TRUE	FALSE
Parp8	chr13	TRUE	FALSE
Gm21798	chr15	TRUE	FALSE
Wnt3	chr11	TRUE	FALSE
Piwil2	chr14	TRUE	TRUE
H2-M1	chr17	TRUE	TRUE
Otx2	chr14	TRUE	FALSE
Kansl3	chr1	TRUE	FALSE
Stat3	chr11	TRUE	FALSE
Ipo11	chr13	TRUE	FALSE
F8	chrX	TRUE	TRUE
Drd3	chr16	TRUE	FALSE
Marchf2	chr17	TRUE	TRUE
Wipf1	chr2	TRUE	FALSE
Scarf2	chr16	TRUE	FALSE
Ube2e3	chr2	TRUE	FALSE
Osbpl2	chr2	TRUE	FALSE
Cbfa2t3	chr8	TRUE	FALSE
Get1	chr16	TRUE	FALSE
Ccdc15	chr9	TRUE	FALSE
Unc5b	chr10	TRUE	FALSE
Uqcrc1	chr9	TRUE	FALSE
Hhla1	chr15	TRUE	TRUE
Chadl	chr15	TRUE	FALSE
Tspan11	chr6	TRUE	FALSE
Uevld	chr7	TRUE	TRUE
Adgrd1	chr5	TRUE	FALSE
Cd247	chr1	TRUE	FALSE
Il7	chr3	TRUE	FALSE
Dynlrb2	chr8	TRUE	FALSE
Lrrn3	chr12	TRUE	FALSE
Parvb	chr15	TRUE	FALSE
Zmynd11	chr13	TRUE	FALSE
Stag2	chrX	TRUE	FALSE
Rgs18	chr1	TRUE	TRUE
