gene_name	chr	promoter_state_Unmarked_Promoter	mch_hyper
Plekhh3	chr11	FALSE	FALSE
Fgfr4	chr13	FALSE	FALSE
Pex11b	chr3	FALSE	FALSE
Pde6g	chr11	TRUE	FALSE
Gm17374	chr2	TRUE	FALSE
AU018091	chr7	TRUE	FALSE
Mydgf	chr17	TRUE	FALSE
Defb18	chr1	TRUE	FALSE
Gm44790	chr6	TRUE	FALSE
Hsd17b10	chrX	FALSE	FALSE
Myo1f	chr17	TRUE	FALSE
Fam160b2	chr14	TRUE	FALSE
Btnl4	chr17	TRUE	FALSE
Scnn1a	chr6	FALSE	FALSE
1110065P20Rik	chr4	FALSE	FALSE
4930444P10Rik	chr1	TRUE	FALSE
Eci3	chr13	FALSE	FALSE
Man2c1	chr9	TRUE	FALSE
Zfp322a	chr13	FALSE	FALSE
Serpina1c	chr12	TRUE	FALSE
Olfr1391	chr11	TRUE	FALSE
Rhox2c	chrX	TRUE	FALSE
Olfr1053	chr2	TRUE	FALSE
Xlr4a	chrX	TRUE	FALSE
Hrg	chr16	TRUE	FALSE
Gngt2	chr11	TRUE	FALSE
Pip4p1	chr14	TRUE	FALSE
Siah1b	chrX	TRUE	FALSE
Rpl26	chr11	TRUE	FALSE
Hint2	chr4	TRUE	FALSE
9130023H24Rik	chr7	TRUE	FALSE
Prss58	chr6	TRUE	FALSE
Elavl3	chr9	FALSE	FALSE
Zbed4	chr15	TRUE	FALSE
Selplg	chr5	TRUE	FALSE
Zfp101	chr17	TRUE	FALSE
Gm9747	chr1	TRUE	FALSE
AC167036.1	chr1	TRUE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Dtx3l	chr16	TRUE	FALSE
Hoxc4	chr15	FALSE	FALSE
Siglech	chr7	TRUE	FALSE
Aadacl4	chr4	TRUE	FALSE
Ska3	chr14	FALSE	FALSE
Ambra1	chr2	TRUE	FALSE
2310079G19Rik	chr16	TRUE	FALSE
Tbx22	chrX	TRUE	FALSE
Ndn	chr7	TRUE	FALSE
Olfr1484	chr19	TRUE	FALSE
Eif4g2	chr7	FALSE	TRUE
Pag1	chr3	FALSE	FALSE
Hdac6	chrX	TRUE	FALSE
Gm3383	chr14	TRUE	FALSE
Nap1l3	chrX	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Ly6g6g	chr15	TRUE	FALSE
Mcm7	chr5	FALSE	FALSE
Upf2	chr2	FALSE	FALSE
Scn4b	chr9	FALSE	FALSE
Wipf3	chr6	FALSE	TRUE
Cnpy4	chr5	TRUE	FALSE
Nadk	chr4	TRUE	FALSE
Cldn22	chr8	FALSE	FALSE
Crnkl1	chr2	FALSE	FALSE
Mknk2	chr10	FALSE	FALSE
Grik5	chr7	TRUE	FALSE
Ppp1r3a	chr6	TRUE	FALSE
Mrps21	chr3	TRUE	FALSE
Olfr31	chr14	TRUE	TRUE
Eid3	chr10	TRUE	FALSE
Ddi1	chr9	TRUE	FALSE
H2bc4	chr13	FALSE	TRUE
Zfp329	chr7	TRUE	TRUE
Pacc1	chr1	FALSE	FALSE
Gm39115	chr7	TRUE	FALSE
Gtsf1l	chr2	TRUE	FALSE
Serpina16	chr12	TRUE	FALSE
Fahd2a	chr2	TRUE	FALSE
Grxcr1	chr5	TRUE	TRUE
Zfp523	chr17	TRUE	FALSE
Ndufs6	chr13	FALSE	FALSE
Ubap2l	chr3	TRUE	FALSE
4930564D02Rik	chr3	TRUE	FALSE
Smcp	chr3	TRUE	FALSE
Vmn2r74	chr7	TRUE	FALSE
Gm11756	chr4	TRUE	FALSE
Bahcc1	chr11	FALSE	FALSE
Esp15	chr17	TRUE	FALSE
Sohlh1	chr2	TRUE	FALSE
Rpl13a	chr7	FALSE	FALSE
S100b	chr10	TRUE	FALSE
Tdpoz3	chr3	TRUE	FALSE
Jmjd8	chr17	TRUE	FALSE
Eif3l	chr15	TRUE	FALSE
Ppid	chr3	FALSE	FALSE
Olfr558	chr7	TRUE	FALSE
Tyms	chr5	TRUE	FALSE
Cldn34b4	chrX	TRUE	FALSE
Olfr1257	chr2	TRUE	FALSE
Nkain4	chr2	TRUE	FALSE
H4f16	chr6	FALSE	FALSE
Wap	chr11	TRUE	FALSE
Nanp	chr2	FALSE	FALSE
1700012B09Rik	chr9	FALSE	FALSE
Ramp3	chr11	TRUE	FALSE
Slc39a9	chr12	FALSE	FALSE
Crisp1	chr17	TRUE	FALSE
Tns4	chr11	TRUE	FALSE
Psenen	chr7	TRUE	FALSE
Cc2d1b	chr4	TRUE	FALSE
Oosp3	chr19	TRUE	FALSE
Smim23	chr11	TRUE	FALSE
Kcnj11	chr7	FALSE	FALSE
Cela2a	chr4	TRUE	FALSE
Olfr570	chr7	TRUE	FALSE
Olfr452	chr6	TRUE	FALSE
Xpo4	chr14	FALSE	FALSE
Lmntd2	chr7	TRUE	FALSE
Svep1	chr4	FALSE	TRUE
Fv1	chr4	TRUE	FALSE
Ccrl2	chr9	FALSE	FALSE
Rab39	chr9	TRUE	FALSE
Spata7	chr12	TRUE	FALSE
Fbxo45	chr16	FALSE	FALSE
C130074G19Rik	chr1	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Gm11559	chr11	TRUE	FALSE
Mapk7	chr11	TRUE	FALSE
Olfr1427	chr19	TRUE	FALSE
Pirb	chr7	TRUE	FALSE
Mapk1ip1	chr7	TRUE	FALSE
Tex28	chrX	TRUE	FALSE
Olfr1383	chr11	TRUE	FALSE
Olfr1254	chr2	TRUE	FALSE
Olfr814	chr10	TRUE	FALSE
Olfr961	chr9	TRUE	FALSE
Igsf21	chr4	FALSE	FALSE
Bnc1	chr7	FALSE	FALSE
Col9a3	chr2	TRUE	FALSE
Ifna15	chr4	TRUE	FALSE
Atg9b	chr5	TRUE	FALSE
Pgk1	chrX	FALSE	FALSE
Tjap1	chr17	TRUE	FALSE
Olfr427	chr1	TRUE	FALSE
Pld4	chr12	TRUE	FALSE
4930451I11Rik	chr7	TRUE	FALSE
Ehd2	chr7	TRUE	FALSE
Lamb3	chr1	TRUE	TRUE
Thap2	chr10	FALSE	FALSE
Moap1	chr12	FALSE	FALSE
Serpinb1c	chr13	TRUE	FALSE
1700010B08Rik	chr2	TRUE	FALSE
Rflna	chr5	FALSE	FALSE
Gm8108	chr14	FALSE	FALSE
Cldn34b3	chrX	TRUE	FALSE
Gm11437	chr11	TRUE	FALSE
Rpl29	chr9	TRUE	FALSE
Phyhd1	chr2	TRUE	FALSE
Gm17542	chr10	TRUE	FALSE
Ccr7	chr11	TRUE	FALSE
Zswim7	chr11	TRUE	FALSE
Ap5m1	chr14	FALSE	FALSE
Hsd11b2	chr8	TRUE	FALSE
Tcp10c	chr17	TRUE	FALSE
Tssc4	chr7	FALSE	FALSE
Tectb	chr19	TRUE	FALSE
Rhod	chr19	TRUE	FALSE
H2-Oa	chr17	TRUE	FALSE
Micos10	chr4	TRUE	FALSE
Plcb2	chr2	FALSE	FALSE
Spaca3	chr11	TRUE	FALSE
Pappa2	chr1	TRUE	TRUE
Olfr1461	chr19	TRUE	FALSE
Zfp114	chr7	TRUE	FALSE
Ifnk	chr4	FALSE	FALSE
Tbc1d30	chr10	FALSE	FALSE
Zfp54	chr17	TRUE	FALSE
Olfr132	chr17	TRUE	FALSE
Oog4	chr4	TRUE	FALSE
Cd3g	chr9	FALSE	FALSE
Prl3d3	chr13	TRUE	FALSE
Zfp57	chr17	TRUE	FALSE
Gm21761	chr13	TRUE	FALSE
Rfx7	chr9	FALSE	FALSE
Fndc10	chr4	FALSE	FALSE
Gm21988	chr11	TRUE	FALSE
Nomo1	chr7	TRUE	FALSE
Ripply2	chr9	FALSE	FALSE
Dolk	chr2	TRUE	FALSE
Olfr1494	chr19	TRUE	TRUE
Gpr27	chr6	FALSE	FALSE
Gm11595	chr11	TRUE	FALSE
Grid2ip	chr5	TRUE	FALSE
Shank1	chr7	TRUE	FALSE
Dohh	chr10	TRUE	FALSE
Prr7	chr13	FALSE	FALSE
Crkl	chr16	FALSE	FALSE
Gm10775	chr13	TRUE	FALSE
Reg2	chr6	TRUE	FALSE
Crx	chr7	TRUE	FALSE
Angpt1	chr15	FALSE	FALSE
Lingo3	chr10	FALSE	FALSE
Gm17631	chr6	TRUE	FALSE
Zfp606	chr7	FALSE	FALSE
Dhx35	chr2	TRUE	FALSE
Rab25	chr3	TRUE	TRUE
Erp44	chr4	FALSE	FALSE
Klhl31	chr9	TRUE	FALSE
Rsph6a	chr7	TRUE	FALSE
G2e3	chr12	FALSE	FALSE
Kctd3	chr1	FALSE	FALSE
Mrpl20	chr4	TRUE	FALSE
Treml2	chr17	TRUE	FALSE
Phox2b	chr5	FALSE	FALSE
Olfr1352	chr10	TRUE	FALSE
Prrg3	chrX	TRUE	FALSE
Cdx2	chr5	FALSE	FALSE
Megf11	chr9	FALSE	FALSE
Rps17	chr7	FALSE	FALSE
Ttc25	chr11	TRUE	FALSE
Fcer1a	chr1	TRUE	FALSE
Gm10334	chr6	TRUE	FALSE
Sugp1	chr8	FALSE	FALSE
Atp5a1	chr18	FALSE	FALSE
Ang2	chr14	TRUE	FALSE
Cxxc1	chr18	TRUE	FALSE
Trim71	chr9	FALSE	FALSE
Ptprcap	chr19	TRUE	FALSE
Igsf1	chrX	TRUE	FALSE
Svs1	chr6	TRUE	FALSE
U2af1l4	chr7	TRUE	FALSE
Rex1bd	chr8	FALSE	FALSE
Agap2	chr10	TRUE	FALSE
Ppp1r1b	chr11	TRUE	FALSE
C130073F10Rik	chr4	TRUE	FALSE
Mgll	chr6	FALSE	TRUE
Tmem29	chrX	TRUE	FALSE
Nfkbid	chr7	TRUE	FALSE
Rhox4b	chrX	TRUE	FALSE
Slc25a23	chr17	FALSE	FALSE
Enkur	chr2	FALSE	TRUE
Krtap28-10	chr1	TRUE	FALSE
Irx1	chr13	FALSE	FALSE
Tuba1b	chr15	TRUE	FALSE
Bscl2	chr19	FALSE	FALSE
Usp51	chrX	TRUE	FALSE
Gm21671	chr5	FALSE	FALSE
Gm12886	chr4	TRUE	FALSE
Prss37	chr6	TRUE	FALSE
Adm	chr7	FALSE	FALSE
Npr1	chr3	FALSE	FALSE
Elp2	chr18	FALSE	FALSE
Olfr1260	chr2	TRUE	FALSE
Hrnr	chr3	TRUE	FALSE
Vps26c	chr16	FALSE	FALSE
Klk11	chr7	TRUE	FALSE
Lca5l	chr16	TRUE	TRUE
Mark4	chr7	FALSE	FALSE
Mrpl11	chr19	TRUE	FALSE
Fam50a	chrX	TRUE	FALSE
Olfr316	chr11	TRUE	FALSE
Kctd12b	chrX	TRUE	FALSE
Gm13090	chr4	TRUE	FALSE
Zbtb48	chr4	FALSE	FALSE
Spata31	chr13	TRUE	FALSE
Orc5	chr5	FALSE	TRUE
Tmod4	chr3	TRUE	FALSE
Kansl3	chr1	TRUE	FALSE
Ccdc17	chr4	FALSE	FALSE
Wipf2	chr11	TRUE	FALSE
Cwf19l1	chr19	TRUE	FALSE
Cux2	chr5	TRUE	FALSE
Cyp2d26	chr15	TRUE	FALSE
Cst6	chr19	TRUE	FALSE
Gm20683	chr17	TRUE	FALSE
Ccdc201	chr11	TRUE	FALSE
Rab34	chr11	FALSE	FALSE
Hdhd2	chr18	TRUE	FALSE
Rln3	chr8	FALSE	FALSE
Supt20	chr3	FALSE	FALSE
H1f4	chr13	FALSE	FALSE
Cplx1	chr5	FALSE	FALSE
Pclaf	chr9	TRUE	FALSE
Pef1	chr4	TRUE	FALSE
Dlx4	chr11	FALSE	FALSE
Olfr804	chr10	TRUE	FALSE
Nos2	chr11	FALSE	FALSE
Pcyox1	chr6	FALSE	FALSE
Mal	chr2	FALSE	FALSE
Nanog	chr6	FALSE	FALSE
Sgpp1	chr12	FALSE	FALSE
Gpr141b	chr13	TRUE	FALSE
Hmbox1	chr14	FALSE	FALSE
Txndc15	chr13	TRUE	FALSE
Adm2	chr15	FALSE	FALSE
Knop1	chr7	FALSE	FALSE
Msi2	chr11	FALSE	FALSE
Ccdc36	chr9	TRUE	FALSE
Ppic	chr18	FALSE	FALSE
Hoxa4	chr6	FALSE	FALSE
Rps29	chr12	FALSE	FALSE
Ikbkb	chr8	FALSE	FALSE
Rhbg	chr3	TRUE	FALSE
Lbhd2	chr12	TRUE	FALSE
Gfy	chr7	TRUE	FALSE
Alppl2	chr1	TRUE	FALSE
Mrgpra6	chr7	TRUE	FALSE
L3mbtl2	chr15	TRUE	FALSE
Xndc1	chr7	FALSE	FALSE
Ncoa5	chr2	TRUE	FALSE
Muc5ac	chr7	TRUE	FALSE
Neu4	chr1	TRUE	FALSE
Bcan	chr3	FALSE	FALSE
Olfr622	chr7	TRUE	FALSE
Pmm1	chr15	TRUE	FALSE
Kif18a	chr2	FALSE	TRUE
Tmprss11d	chr5	TRUE	TRUE
Ctf1	chr7	TRUE	TRUE
Lsm7	chr10	TRUE	FALSE
Olfr48	chr2	TRUE	FALSE
Sowahd	chrX	FALSE	FALSE
Zfp683	chr4	TRUE	FALSE
Nat8f5	chr6	TRUE	FALSE
Haspin	chr11	TRUE	FALSE
Sema3f	chr9	FALSE	FALSE
Tmem211	chr5	TRUE	FALSE
Cybc1	chr11	TRUE	FALSE
Armcx3	chrX	TRUE	FALSE
Tcp1	chr17	FALSE	FALSE
Dnmt3a	chr12	FALSE	FALSE
Btbd1	chr7	TRUE	FALSE
Mageb3	chr2	FALSE	FALSE
Olfr1198	chr2	TRUE	FALSE
Htatsf1	chrX	FALSE	FALSE
Ltv1	chr10	TRUE	FALSE
Vmn2r99	chr17	TRUE	FALSE
Ccdc78	chr17	TRUE	FALSE
Adcy6	chr15	FALSE	FALSE
Gm7609	chr1	TRUE	FALSE
Gm3327	chr14	TRUE	FALSE
Atg4a-ps	chr3	TRUE	FALSE
Scgb3a2	chr18	TRUE	FALSE
Shisa3	chr5	FALSE	FALSE
Treh	chr9	TRUE	FALSE
Trem3	chr17	TRUE	FALSE
Aatf	chr11	TRUE	FALSE
Pcdhb2	chr18	TRUE	FALSE
Ceacam1	chr7	TRUE	FALSE
Angel1	chr12	TRUE	TRUE
Wfdc11	chr2	TRUE	FALSE
Pabpn1	chr14	TRUE	FALSE
Gm4847	chr1	TRUE	FALSE
Mrps22	chr9	TRUE	FALSE
Rap2c	chrX	TRUE	FALSE
Mrpl45	chr11	TRUE	FALSE
Gm10375	chr14	TRUE	FALSE
Exog	chr9	TRUE	FALSE
Akt1s1	chr7	FALSE	FALSE
Hsf4	chr8	FALSE	FALSE
Arid3c	chr4	FALSE	FALSE
Olfr704	chr7	TRUE	FALSE
Gm50139	chr19	TRUE	FALSE
Olfr1162	chr2	TRUE	FALSE
Tmem30a	chr9	TRUE	FALSE
Scgb2b18	chr7	TRUE	FALSE
Olfr161	chr16	TRUE	FALSE
Ifit3	chr19	TRUE	FALSE
Cdc5l	chr17	FALSE	FALSE
Kcnmb3	chr3	TRUE	FALSE
Kmt2d	chr15	FALSE	FALSE
Wnt4	chr4	FALSE	FALSE
Syp	chrX	TRUE	FALSE
4930583I09Rik	chr17	TRUE	FALSE
Crisp2	chr17	TRUE	FALSE
Inf2	chr12	TRUE	FALSE
Cyp2b10	chr7	TRUE	FALSE
Inafm2	chr2	FALSE	FALSE
Ccdc192	chr18	TRUE	TRUE
Cep170b	chr12	TRUE	FALSE
Il4ra	chr7	FALSE	FALSE
A930033H14Rik	chr10	FALSE	FALSE
Olfr890	chr9	TRUE	FALSE
Hoxb9	chr11	FALSE	FALSE
Amn	chr12	FALSE	FALSE
Tnfrsf12a	chr17	FALSE	FALSE
Mrm1	chr11	TRUE	FALSE
Tmed2	chr5	TRUE	FALSE
Cox8c	chr12	TRUE	FALSE
Ces2e	chr8	FALSE	FALSE
Try10	chr6	TRUE	FALSE
Ormdl1	chr1	FALSE	TRUE
Adra1d	chr2	FALSE	FALSE
Relt	chr7	TRUE	FALSE
Fer1l5	chr1	TRUE	FALSE
Lrrc29	chr8	FALSE	FALSE
Snx2	chr18	FALSE	FALSE
AI182371	chr2	TRUE	FALSE
Cr2	chr1	FALSE	FALSE
Taar8a	chr10	TRUE	FALSE
Pskh1	chr8	TRUE	FALSE
Vsx1	chr2	FALSE	FALSE
Clcnkb	chr4	TRUE	FALSE
Lonrf3	chrX	FALSE	FALSE
Zmym3	chrX	FALSE	FALSE
Psmc5	chr11	FALSE	FALSE
Olfr608	chr7	TRUE	FALSE
Vmn2r3	chr3	TRUE	FALSE
Ecscr	chr18	TRUE	FALSE
Ptgs2	chr1	FALSE	FALSE
Tstd3	chr4	FALSE	FALSE
Tas2r138	chr6	TRUE	FALSE
Olfr1222	chr2	TRUE	FALSE
Paf1	chr7	TRUE	FALSE
Supt16	chr14	FALSE	FALSE
Psmd12	chr11	TRUE	FALSE
Crabp2	chr3	FALSE	FALSE
Cln5	chr14	FALSE	FALSE
Olfr463	chr11	FALSE	FALSE
Cldn1	chr16	FALSE	TRUE
Chrna2	chr14	TRUE	FALSE
Plxnb3	chrX	TRUE	FALSE
Amdhd2	chr17	TRUE	FALSE
1700011L22Rik	chr8	TRUE	TRUE
Olfr1154	chr2	TRUE	FALSE
Pds5a	chr5	FALSE	FALSE
Lix1l	chr3	FALSE	FALSE
Pdcd1	chr1	TRUE	FALSE
Zfyve1	chr12	TRUE	FALSE
Ngly1	chr14	FALSE	TRUE
Pnpla7	chr2	FALSE	FALSE
Rnf19a	chr15	FALSE	FALSE
Nup93	chr8	TRUE	FALSE
Rbmxl2	chr7	FALSE	FALSE
Apoa2	chr1	TRUE	FALSE
Gm20518	chr16	FALSE	FALSE
Psg21	chr7	TRUE	FALSE
Cdk16	chrX	FALSE	FALSE
Vnn1	chr10	TRUE	FALSE
Vmn1r209	chr13	TRUE	FALSE
Olfr389	chr11	TRUE	FALSE
Klc2	chr19	FALSE	FALSE
Pcbd2	chr13	TRUE	FALSE
Samd1	chr8	TRUE	FALSE
Tmem179b	chr19	FALSE	FALSE
Gm3636	chr14	TRUE	FALSE
Eef2	chr10	FALSE	FALSE
Sox14	chr9	FALSE	FALSE
Nras	chr3	TRUE	FALSE
Kif3b	chr2	TRUE	FALSE
Prrt1	chr17	FALSE	FALSE
Gm3149	chr14	TRUE	FALSE
H2bc9	chr13	FALSE	FALSE
Vezf1	chr11	TRUE	FALSE
Serpina1e	chr12	TRUE	FALSE
Slc22a26	chr19	TRUE	FALSE
Lrrn4	chr2	FALSE	FALSE
Aadacl3	chr4	TRUE	FALSE
Xylb	chr9	TRUE	FALSE
Myl10	chr5	TRUE	FALSE
Prlh	chr1	FALSE	FALSE
Tmsb4x	chrX	FALSE	FALSE
Dtymk	chr1	TRUE	FALSE
Vmn2r8	chr5	TRUE	FALSE
Lamtor1	chr7	TRUE	FALSE
Coro1c	chr5	TRUE	FALSE
Yju2	chr17	TRUE	FALSE
Amtn	chr5	TRUE	FALSE
Cryba2	chr1	FALSE	FALSE
Trnp1	chr4	FALSE	FALSE
Slc30a5	chr13	FALSE	FALSE
Ddx5	chr11	TRUE	FALSE
Mgp	chr6	FALSE	FALSE
Crip1	chr12	FALSE	FALSE
Kctd11	chr11	TRUE	FALSE
Stmn3	chr2	FALSE	FALSE
Abhd11	chr5	FALSE	FALSE
Sgsh	chr11	TRUE	FALSE
Sumo2	chr11	TRUE	FALSE
Olfr213	chr6	TRUE	FALSE
Maml3	chr3	FALSE	TRUE
Nup188	chr2	TRUE	FALSE
Alg5	chr3	FALSE	FALSE
Rhox1	chrX	TRUE	FALSE
Kctd14	chr7	FALSE	FALSE
Prmt5	chr14	TRUE	FALSE
Lpgat1	chr1	FALSE	FALSE
Ube2e1	chr14	TRUE	FALSE
Cd209e	chr8	TRUE	FALSE
Sez6l2	chr7	FALSE	FALSE
Fopnl	chr16	FALSE	FALSE
Rpia	chr6	FALSE	FALSE
Supt7l	chr5	FALSE	FALSE
Rab2b	chr14	FALSE	FALSE
Ier2	chr8	FALSE	FALSE
Plekhg6	chr6	FALSE	FALSE
Slurp2	chr15	TRUE	FALSE
Chrna10	chr7	TRUE	FALSE
Rslcan18	chr13	TRUE	FALSE
Pla2g3	chr11	TRUE	FALSE
Smim27	chr4	FALSE	FALSE
Kcna1	chr6	FALSE	FALSE
Dmrtc1a	chrX	FALSE	FALSE
Pex14	chr4	TRUE	FALSE
Rhob	chr12	FALSE	FALSE
Plekhg2	chr7	TRUE	FALSE
Tm6sf2	chr8	TRUE	FALSE
Rpl21	chr5	FALSE	FALSE
Zfp516	chr18	FALSE	FALSE
Mt1	chr8	FALSE	FALSE
Cpt1c	chr7	FALSE	FALSE
Adam28	chr14	TRUE	FALSE
Retnlb	chr16	TRUE	FALSE
Kcnrg	chr14	TRUE	FALSE
Ifi214	chr1	TRUE	TRUE
Hnrnpab	chr11	TRUE	FALSE
Armc6	chr8	TRUE	FALSE
Kcnh3	chr15	FALSE	FALSE
Gdf3	chr6	TRUE	FALSE
Ifi204	chr1	TRUE	FALSE
Calm5	chr13	TRUE	FALSE
Fmo6	chr1	TRUE	FALSE
Klhdc7a	chr4	FALSE	FALSE
Gm17571	chr9	TRUE	FALSE
Taf1d	chr9	TRUE	FALSE
Cldnd2	chr7	TRUE	FALSE
Nkapd1	chr9	TRUE	FALSE
Map4k2	chr19	TRUE	FALSE
Lamtor2	chr3	FALSE	FALSE
Plcb3	chr19	TRUE	FALSE
Fam20c	chr5	FALSE	FALSE
Sema7a	chr9	FALSE	FALSE
Aurkc	chr7	TRUE	FALSE
Tagln3	chr16	FALSE	FALSE
Psma1	chr7	FALSE	FALSE
Gm8068	chr14	TRUE	FALSE
Cebpe	chr14	TRUE	FALSE
Zfp207	chr11	TRUE	FALSE
Rnf111	chr9	TRUE	FALSE
Rnps1	chr17	TRUE	FALSE
Fbxw2	chr2	TRUE	FALSE
Gm20538	chr19	FALSE	FALSE
Stk11ip	chr1	FALSE	FALSE
Gsg1l	chr7	TRUE	FALSE
Zglp1	chr9	TRUE	FALSE
Olfr1065	chr2	TRUE	FALSE
Hsbp1	chr8	TRUE	FALSE
Uevld	chr7	TRUE	FALSE
Gm5795	chr14	TRUE	FALSE
Gm773	chrX	TRUE	FALSE
Zfp36	chr7	FALSE	FALSE
A730009L09Rik	chr16	TRUE	FALSE
Fgfr3	chr5	FALSE	FALSE
Wfdc9	chr2	FALSE	FALSE
Zfp719	chr7	FALSE	FALSE
Fscb	chr12	TRUE	FALSE
Uggt2	chr14	FALSE	FALSE
Gm49359	chr13	TRUE	FALSE
Nkx6-3	chr8	TRUE	FALSE
Arglu1	chr8	FALSE	FALSE
Adcy9	chr16	FALSE	FALSE
Bhmt	chr13	TRUE	TRUE
Togaram2	chr17	FALSE	FALSE
Serinc1	chr10	FALSE	FALSE
Prpf18	chr2	TRUE	FALSE
Srrm1	chr4	TRUE	FALSE
Mgat4e	chr1	TRUE	FALSE
Crtap	chr9	TRUE	FALSE
Scrg1	chr8	TRUE	FALSE
Fam90a1b	chrX	TRUE	FALSE
Angptl3	chr4	TRUE	FALSE
Slc31a1	chr4	FALSE	FALSE
Olfr1309	chr2	TRUE	FALSE
Ccl25	chr8	FALSE	FALSE
Vamp9	chr5	TRUE	FALSE
Fam168a	chr7	FALSE	FALSE
Rps18-ps5	chr13	TRUE	FALSE
1110008P14Rik	chr2	TRUE	FALSE
Shc2	chr10	FALSE	FALSE
Tas2r130	chr6	TRUE	FALSE
Olfr612	chr7	TRUE	FALSE
Vmn2r37	chr7	TRUE	FALSE
Snorc	chr1	FALSE	FALSE
H3c4	chr13	FALSE	FALSE
C1qtnf4	chr2	FALSE	FALSE
Vmn1r176	chr7	TRUE	FALSE
Cd200r3	chr16	TRUE	TRUE
Slc26a10	chr10	FALSE	FALSE
Psd	chr19	FALSE	FALSE
Ypel1	chr16	TRUE	FALSE
Ret	chr6	FALSE	FALSE
Asphd2	chr5	FALSE	FALSE
Tlk2	chr11	TRUE	FALSE
Acp4	chr7	TRUE	FALSE
Necap1	chr6	TRUE	FALSE
Gas2l1	chr11	TRUE	FALSE
Gtf3c2	chr5	FALSE	FALSE
Vangl2	chr1	TRUE	FALSE
Rpp40	chr13	TRUE	FALSE
Glul	chr1	FALSE	FALSE
Gm5475	chr15	FALSE	FALSE
Fam135b	chr15	FALSE	FALSE
Pik3ca	chr3	FALSE	FALSE
Srek1ip1	chr13	TRUE	FALSE
Cts8	chr13	TRUE	FALSE
Brf1	chr12	FALSE	FALSE
Commd1	chr11	TRUE	FALSE
Polr2l	chr7	FALSE	FALSE
Mfrp	chr9	TRUE	FALSE
Ctcf	chr8	FALSE	FALSE
Pck2	chr14	FALSE	FALSE
Capn12	chr7	TRUE	FALSE
Pacs2	chr12	TRUE	FALSE
Irs4	chrX	FALSE	FALSE
Olfr55	chr17	TRUE	FALSE
Dusp22	chr13	TRUE	FALSE
Slc25a2	chr18	TRUE	FALSE
3110040N11Rik	chr7	FALSE	FALSE
Gyg	chr3	FALSE	FALSE
Ctsll3	chr13	TRUE	FALSE
Vmn2r48	chr7	TRUE	FALSE
Actrt1	chrX	TRUE	FALSE
Kcnc3	chr7	FALSE	FALSE
Gm15448	chr7	TRUE	FALSE
Il22	chr10	TRUE	FALSE
Elovl2	chr13	TRUE	FALSE
Trip10	chr17	FALSE	FALSE
Pycard	chr7	TRUE	FALSE
6330409D20Rik	chr2	FALSE	FALSE
Olfr921	chr9	TRUE	FALSE
Smyd5	chr6	TRUE	FALSE
Zfand1	chr3	FALSE	TRUE
Olfr262	chr19	TRUE	FALSE
Sox3	chrX	FALSE	FALSE
Spi1	chr2	TRUE	FALSE
Aldh5a1	chr13	FALSE	FALSE
Mvk	chr5	TRUE	FALSE
Pnmt	chr11	TRUE	FALSE
Defb7	chr8	TRUE	FALSE
Olfr533	chr7	TRUE	FALSE
Lipo1	chr19	TRUE	FALSE
Marf1	chr16	TRUE	FALSE
Vmn1r228	chr17	TRUE	FALSE
BC048562	chr9	TRUE	TRUE
Otop1	chr5	FALSE	FALSE
Fgf5	chr5	FALSE	FALSE
C2cd4b	chr9	TRUE	FALSE
Tnrc18	chr5	FALSE	FALSE
Cort	chr4	TRUE	FALSE
Krtap11-1	chr16	TRUE	FALSE
Gm14525	chrX	TRUE	FALSE
Sdc3	chr4	TRUE	FALSE
Ada	chr2	FALSE	FALSE
2310061N02Rik	chr16	TRUE	FALSE
Mmp21	chr7	TRUE	FALSE
Hap1	chr11	FALSE	FALSE
Olfr33	chr7	TRUE	FALSE
Tsr2	chrX	TRUE	FALSE
Bmp4	chr14	FALSE	FALSE
Efna1	chr3	FALSE	TRUE
Morc4	chrX	TRUE	FALSE
Muc2	chr7	FALSE	FALSE
Olfr486	chr7	TRUE	FALSE
Mtor	chr4	TRUE	FALSE
Fam92a	chr4	FALSE	FALSE
Cyp26c1	chr19	FALSE	FALSE
Spout1	chr2	TRUE	FALSE
F13b	chr1	TRUE	FALSE
Rfpl4	chr7	TRUE	FALSE
Kcnk5	chr14	FALSE	FALSE
Olfr646	chr7	TRUE	FALSE
Mrps24	chr11	TRUE	FALSE
Ddx18	chr1	FALSE	FALSE
Ppp3r2	chr4	TRUE	FALSE
Psg23	chr7	TRUE	FALSE
Speer3	chr5	TRUE	FALSE
Spata19	chr9	TRUE	FALSE
Supv3l1	chr10	TRUE	FALSE
Gpr68	chr12	TRUE	TRUE
Pla2g2d	chr4	TRUE	FALSE
Pnmal2	chr7	FALSE	FALSE
Tvp23a	chr16	TRUE	FALSE
Emc4	chr2	FALSE	FALSE
Gm4070	chr7	TRUE	FALSE
Cpeb3	chr19	FALSE	FALSE
Tbc1d13	chr2	TRUE	FALSE
Dffa	chr4	TRUE	FALSE
Lrrn2	chr1	FALSE	FALSE
Mtg2	chr2	TRUE	FALSE
Gm16440	chr14	TRUE	FALSE
Gm45261	chr1	TRUE	TRUE
Pcdh9	chr14	FALSE	TRUE
