gene_name	chr	is_neuronal_and_mecp2_up	k27ac_remodeled
Hpca	chr4	FALSE	FALSE
Pla2g4e	chr2	FALSE	TRUE
Sptb	chr12	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Enox2	chrX	FALSE	FALSE
Immp2l	chr12	TRUE	FALSE
Smarcc2	chr10	FALSE	FALSE
2700049A03Rik	chr12	FALSE	FALSE
Npepps	chr11	FALSE	TRUE
Aldh5a1	chr13	FALSE	FALSE
Kif21a	chr15	FALSE	FALSE
Kmt2e	chr5	FALSE	FALSE
Onecut2	chr18	FALSE	TRUE
Wwp2	chr8	FALSE	FALSE
Flywch1	chr17	FALSE	TRUE
Fer	chr17	FALSE	TRUE
Tph2	chr10	FALSE	TRUE
Sgsm1	chr5	FALSE	FALSE
Agap2	chr10	FALSE	FALSE
Dctn1	chr6	FALSE	FALSE
Mettl26	chr17	FALSE	FALSE
Smarcal1	chr1	FALSE	FALSE
Cdk13	chr13	FALSE	TRUE
Nck1	chr9	FALSE	FALSE
Slit3	chr11	FALSE	FALSE
Ppp1cb	chr5	FALSE	FALSE
Trmt13	chr3	FALSE	FALSE
Gmeb1	chr4	FALSE	TRUE
Coro2a	chr4	FALSE	FALSE
Cdkl1	chr12	FALSE	TRUE
Clip1	chr5	FALSE	FALSE
Phf12	chr11	FALSE	FALSE
Papln	chr12	FALSE	FALSE
Bahd1	chr2	FALSE	FALSE
Cc2d2a	chr5	FALSE	FALSE
Nyx	chrX	FALSE	TRUE
Hnrnpk	chr13	FALSE	FALSE
Col8a1	chr16	FALSE	TRUE
Rock2	chr12	FALSE	FALSE
Mapre3	chr5	FALSE	FALSE
Dsn1	chr2	FALSE	TRUE
Slc6a9	chr4	FALSE	FALSE
Kansl1l	chr1	FALSE	FALSE
Sesn1	chr10	FALSE	TRUE
Cttnbp2nl	chr3	FALSE	FALSE
Tll1	chr8	FALSE	FALSE
Nedd4	chr9	FALSE	TRUE
Lrriq3	chr3	FALSE	FALSE
Pknox1	chr17	FALSE	FALSE
Klc1	chr12	FALSE	TRUE
Sidt1	chr16	FALSE	FALSE
Epb41l1	chr2	FALSE	FALSE
Abl2	chr1	FALSE	FALSE
Rps6ka5	chr12	FALSE	TRUE
Tut4	chr4	FALSE	FALSE
B4galt1	chr4	FALSE	FALSE
Rbm41	chrX	FALSE	FALSE
Trpc4ap	chr2	FALSE	TRUE
Dexi	chr16	FALSE	FALSE
Gmds	chr13	FALSE	FALSE
Napa	chr7	FALSE	FALSE
Lman2	chr13	FALSE	FALSE
Ptprj	chr2	FALSE	FALSE
Lrrc3	chr10	FALSE	TRUE
Whamm	chr7	FALSE	FALSE
Trappc9	chr15	FALSE	TRUE
Slc12a6	chr2	FALSE	FALSE
Grb2	chr11	FALSE	TRUE
Agps	chr2	FALSE	FALSE
Gfpt1	chr6	FALSE	FALSE
Med25	chr7	FALSE	TRUE
Phf3	chr1	FALSE	FALSE
Wnt10a	chr1	FALSE	FALSE
Inpp5b	chr4	FALSE	FALSE
Ablim3	chr18	FALSE	FALSE
Cbln3	chr14	FALSE	FALSE
Prkdc	chr16	FALSE	TRUE
Hook3	chr8	FALSE	FALSE
Usp44	chr10	FALSE	TRUE
Rap1gap	chr4	FALSE	FALSE
Mtx2	chr2	FALSE	FALSE
Olfml3	chr3	FALSE	TRUE
Arfgap3	chr15	FALSE	FALSE
Decr1	chr4	FALSE	TRUE
Micos10	chr4	FALSE	TRUE
Tmem132e	chr11	FALSE	FALSE
Dnajc17	chr2	FALSE	FALSE
Serp2	chr14	FALSE	FALSE
Cfap45	chr1	FALSE	TRUE
Etv3	chr3	FALSE	FALSE
Ift140	chr17	FALSE	FALSE
Enpp7	chr11	FALSE	FALSE
Slc16a14	chr1	FALSE	TRUE
Ensa	chr3	FALSE	FALSE
Taf2	chr15	FALSE	FALSE
Ppm1h	chr10	FALSE	FALSE
Slc4a8	chr15	FALSE	FALSE
Shc3	chr13	FALSE	TRUE
Ntng1	chr3	FALSE	FALSE
Nefm	chr14	FALSE	TRUE
Sema7a	chr9	FALSE	FALSE
Ccm2l	chr2	FALSE	TRUE
Kcnip2	chr19	FALSE	TRUE
Ctc1	chr11	FALSE	FALSE
Nfatc2	chr2	FALSE	FALSE
Cyfip2	chr11	FALSE	FALSE
Hmcn1	chr1	FALSE	FALSE
Tmem44	chr16	FALSE	FALSE
Eif5b	chr1	FALSE	FALSE
Stox1	chr10	FALSE	FALSE
Camsap2	chr1	FALSE	FALSE
Ralbp1	chr17	FALSE	FALSE
Sarm1	chr11	FALSE	FALSE
Capn5	chr7	FALSE	FALSE
Chst7	chrX	FALSE	FALSE
Hs2st1	chr3	FALSE	TRUE
Ramp3	chr11	FALSE	FALSE
Rapgef4	chr2	FALSE	TRUE
Slc18a1	chr8	FALSE	FALSE
Rasal1	chr5	FALSE	TRUE
Pfkfb2	chr1	FALSE	FALSE
Nufip2	chr11	FALSE	FALSE
Wdr41	chr13	FALSE	FALSE
Ilf3	chr9	FALSE	FALSE
Man2b1	chr8	FALSE	FALSE
Glrb	chr3	FALSE	FALSE
Slc25a46	chr18	FALSE	FALSE
Rnf145	chr11	FALSE	FALSE
Sik1	chr17	FALSE	TRUE
Nap1l4	chr7	FALSE	TRUE
Ctdp1	chr18	FALSE	TRUE
Atp6v1h	chr1	FALSE	FALSE
Ift80	chr3	FALSE	TRUE
Zbtb4	chr11	FALSE	FALSE
Tnfsf13	chr11	FALSE	TRUE
Ltbp2	chr12	FALSE	FALSE
Vegfa	chr17	FALSE	TRUE
Ror1	chr4	FALSE	FALSE
Git2	chr5	FALSE	FALSE
Psmf1	chr2	FALSE	FALSE
Sfrp5	chr19	FALSE	TRUE
Mbd2	chr18	FALSE	FALSE
Tmem41a	chr16	FALSE	FALSE
Slc22a22	chr15	FALSE	TRUE
Tulp4	chr17	FALSE	FALSE
Sugp1	chr8	FALSE	FALSE
Nr1d2	chr14	FALSE	FALSE
Yy1	chr12	FALSE	FALSE
Abcb7	chrX	FALSE	FALSE
Ptar1	chr19	FALSE	TRUE
G2e3	chr12	FALSE	FALSE
Dnajc5	chr2	FALSE	FALSE
Tmem52	chr4	FALSE	TRUE
Kat7	chr11	FALSE	FALSE
Pam	chr1	FALSE	TRUE
Syt12	chr19	FALSE	TRUE
Spry2	chr14	FALSE	TRUE
Pros1	chr16	FALSE	TRUE
Stim1	chr7	FALSE	FALSE
Zmym2	chr14	FALSE	TRUE
Prkcd	chr14	FALSE	FALSE
Clcn1	chr6	FALSE	TRUE
Rc3h2	chr2	FALSE	FALSE
Erh	chr12	FALSE	FALSE
Pcbp2	chr15	FALSE	FALSE
Vat1l	chr8	FALSE	FALSE
Arfip1	chr3	FALSE	FALSE
Psme4	chr11	FALSE	FALSE
Zmiz1	chr14	TRUE	TRUE
Dnajc24	chr2	FALSE	FALSE
Tiparp	chr3	FALSE	FALSE
Colgalt1	chr8	FALSE	FALSE
Rufy2	chr10	FALSE	FALSE
Acer3	chr7	FALSE	FALSE
Mfsd4a	chr1	FALSE	FALSE
Edem1	chr6	FALSE	FALSE
Ly6g6f	chr17	FALSE	TRUE
Mapk8	chr14	FALSE	TRUE
Phyhd1	chr2	FALSE	TRUE
Pitpna	chr11	FALSE	FALSE
Nim1k	chr13	FALSE	FALSE
Tmem229b	chr12	FALSE	FALSE
Ankmy1	chr1	FALSE	FALSE
Lgals3bp	chr11	FALSE	TRUE
Otulin	chr15	FALSE	FALSE
Lonp2	chr8	FALSE	FALSE
Sema6c	chr3	FALSE	TRUE
Lamtor1	chr7	FALSE	FALSE
Tbr1	chr2	FALSE	FALSE
Tmem38b	chr4	FALSE	FALSE
Pfkm	chr15	FALSE	FALSE
Cdkl3	chr11	FALSE	FALSE
Eif1	chr11	FALSE	FALSE
Pacrg	chr17	FALSE	TRUE
Snap91	chr9	FALSE	TRUE
Ctsb	chr14	FALSE	FALSE
Mrpl48	chr7	FALSE	FALSE
Sec22a	chr16	FALSE	FALSE
Gpam	chr19	FALSE	TRUE
St8sia5	chr18	FALSE	FALSE
Ctnna1	chr18	FALSE	TRUE
Armh4	chr14	FALSE	TRUE
Zfhx2	chr14	FALSE	TRUE
Mib2	chr4	FALSE	FALSE
Chmp4b	chr2	FALSE	FALSE
Tmc7	chr7	FALSE	FALSE
Epo	chr5	FALSE	FALSE
Slc1a4	chr11	FALSE	FALSE
Abhd3	chr18	FALSE	FALSE
Ift81	chr5	FALSE	FALSE
Zc3h12c	chr9	FALSE	TRUE
Tff3	chr17	FALSE	TRUE
Sult4a1	chr15	FALSE	FALSE
Ell2	chr13	FALSE	TRUE
Abcd3	chr3	FALSE	FALSE
Epg5	chr18	FALSE	FALSE
Cul3	chr1	FALSE	FALSE
Crebrf	chr17	FALSE	TRUE
Slc30a9	chr5	FALSE	FALSE
Slc25a36	chr9	FALSE	FALSE
Mettl4	chr17	FALSE	FALSE
Uso1	chr5	FALSE	FALSE
Stk38l	chr6	FALSE	FALSE
Pogz	chr3	FALSE	FALSE
Map4k3	chr17	FALSE	FALSE
Pde6d	chr1	FALSE	TRUE
Adam17	chr12	FALSE	FALSE
Spg11	chr2	FALSE	FALSE
Mxi1	chr19	FALSE	FALSE
Cpne9	chr6	FALSE	TRUE
Sesn3	chr9	FALSE	FALSE
Unkl	chr17	FALSE	FALSE
Traf7	chr17	FALSE	FALSE
Eya3	chr4	FALSE	FALSE
Saal1	chr7	FALSE	FALSE
Larp1	chr11	FALSE	FALSE
Ptp4a3	chr15	FALSE	TRUE
Vipr2	chr12	FALSE	FALSE
Socs6	chr18	FALSE	FALSE
Rab3gap2	chr1	FALSE	FALSE
Slc30a5	chr13	FALSE	FALSE
Adgra2	chr8	FALSE	FALSE
Pik3r3	chr4	FALSE	FALSE
Cog2	chr8	FALSE	FALSE
Tbl1x	chrX	FALSE	FALSE
Mcf2l	chr8	FALSE	TRUE
Hectd1	chr12	FALSE	FALSE
Tubgcp3	chr8	FALSE	FALSE
Zfp397	chr18	FALSE	FALSE
Tspan3	chr9	FALSE	FALSE
Tent2	chr13	FALSE	FALSE
Lrrc38	chr4	FALSE	FALSE
Cntfr	chr4	FALSE	TRUE
Pot1a	chr6	FALSE	FALSE
Herpud2	chr9	FALSE	FALSE
Cdon	chr9	FALSE	FALSE
1700069L16Rik	chr5	FALSE	FALSE
Dgat2	chr7	FALSE	FALSE
Nisch	chr14	FALSE	FALSE
Lrpap1	chr5	FALSE	FALSE
Pcdh10	chr3	FALSE	TRUE
Wwox	chr8	FALSE	TRUE
Necab1	chr4	FALSE	TRUE
Dtwd2	chr18	FALSE	FALSE
Prnd	chr2	FALSE	FALSE
Nlgn1	chr3	FALSE	FALSE
Cry2	chr2	FALSE	FALSE
Tgif2	chr2	FALSE	FALSE
Mtmr14	chr6	FALSE	FALSE
Gabra1	chr11	FALSE	FALSE
Mab21l3	chr3	FALSE	FALSE
Usp15	chr10	FALSE	FALSE
Ngef	chr1	FALSE	FALSE
Thsd4	chr9	FALSE	FALSE
Gucy1a1	chr3	FALSE	FALSE
Ankrd10	chr8	FALSE	TRUE
Ofcc1	chr13	FALSE	TRUE
Cd34	chr1	FALSE	TRUE
Map2k2	chr10	FALSE	FALSE
Azin2	chr4	FALSE	FALSE
Sugp2	chr8	FALSE	FALSE
Lingo3	chr10	FALSE	FALSE
Mgrn1	chr16	FALSE	FALSE
N4bp2l2	chr5	FALSE	FALSE
Plekhh1	chr12	FALSE	FALSE
Slc37a3	chr6	FALSE	FALSE
Tm2d1	chr4	FALSE	FALSE
Sgms1	chr19	FALSE	FALSE
Stam	chr2	FALSE	FALSE
Crtc1	chr8	FALSE	FALSE
Acap2	chr16	FALSE	FALSE
Zgpat	chr2	FALSE	FALSE
Tsc2	chr17	FALSE	FALSE
Cstad	chr2	FALSE	FALSE
Atl2	chr17	FALSE	FALSE
E4f1	chr17	FALSE	FALSE
Aldh4a1	chr4	FALSE	FALSE
Smim15	chr13	FALSE	FALSE
Aebp2	chr6	FALSE	FALSE
Raf1	chr6	FALSE	FALSE
Ankrd26	chr6	FALSE	FALSE
Mark2	chr19	FALSE	FALSE
Pald1	chr10	FALSE	FALSE
Rnf121	chr7	FALSE	TRUE
Magi1	chr6	FALSE	FALSE
Rbpj	chr5	FALSE	FALSE
Rev1	chr1	FALSE	FALSE
Pex10	chr4	FALSE	FALSE
Tor1aip1	chr1	FALSE	FALSE
Smim14	chr5	FALSE	FALSE
Zfp451	chr1	FALSE	FALSE
C6	chr15	FALSE	TRUE
Rwdd3	chr3	FALSE	TRUE
Ube2ql1	chr13	FALSE	FALSE
Marchf3	chr18	FALSE	TRUE
Tbce	chr13	FALSE	FALSE
Ndst3	chr3	FALSE	FALSE
Cep57l1	chr10	FALSE	FALSE
Alg9	chr9	FALSE	TRUE
Rab5c	chr11	FALSE	FALSE
Ints3	chr3	FALSE	TRUE
Car10	chr11	FALSE	FALSE
Trrap	chr5	FALSE	FALSE
Phf8	chrX	FALSE	FALSE
Ppme1	chr7	FALSE	FALSE
Adcy6	chr15	FALSE	TRUE
Tmc6	chr11	FALSE	TRUE
Kcnip3	chr2	TRUE	FALSE
Fubp3	chr2	FALSE	FALSE
Snx9	chr17	FALSE	FALSE
Pdzrn4	chr15	FALSE	FALSE
Basp1	chr15	FALSE	TRUE
Tulp3	chr6	FALSE	FALSE
Pgap2	chr7	FALSE	FALSE
Hsbp1l1	chr18	FALSE	FALSE
Plekha8	chr6	FALSE	TRUE
U2af2	chr7	FALSE	FALSE
Mpzl1	chr1	FALSE	TRUE
Cep170	chr1	FALSE	FALSE
Prkn	chr17	FALSE	TRUE
Nexmif	chrX	FALSE	TRUE
Polq	chr16	FALSE	FALSE
Ube2n	chr10	FALSE	FALSE
Zswim7	chr11	FALSE	FALSE
Fam193a	chr5	FALSE	FALSE
Glcci1	chr6	FALSE	FALSE
Usp3	chr9	FALSE	FALSE
Kdm3a	chr6	FALSE	FALSE
Pten	chr19	FALSE	FALSE
Marchf7	chr2	FALSE	FALSE
Kcnh2	chr5	FALSE	TRUE
Map7d2	chrX	FALSE	FALSE
Ppp4r1	chr17	FALSE	FALSE
Mical3	chr6	FALSE	TRUE
Etnk1	chr6	FALSE	FALSE
Xrn1	chr9	FALSE	FALSE
Tbc1d9b	chr11	FALSE	FALSE
Lypd6b	chr2	FALSE	TRUE
Hmg20a	chr9	FALSE	TRUE
Calb2	chr8	TRUE	FALSE
Adamts16	chr13	FALSE	TRUE
Wdr89	chr12	FALSE	FALSE
Thada	chr17	FALSE	FALSE
Ccdc149	chr5	FALSE	FALSE
Aldh1l2	chr10	FALSE	FALSE
Gpr176	chr2	FALSE	TRUE
Ythdc2	chr18	FALSE	FALSE
Fbxl4	chr4	FALSE	FALSE
Adgra3	chr5	FALSE	TRUE
Aplp2	chr9	FALSE	FALSE
Ermp1	chr19	FALSE	TRUE
Tgs1	chr4	FALSE	TRUE
Emc2	chr15	FALSE	FALSE
Nell2	chr15	FALSE	FALSE
Hic1	chr11	FALSE	FALSE
Ptpre	chr7	FALSE	FALSE
Ube2j2	chr4	FALSE	FALSE
Rims3	chr4	FALSE	TRUE
Sptlc3	chr2	FALSE	TRUE
Eif5a	chr11	FALSE	FALSE
Rcor3	chr1	FALSE	FALSE
Map3k5	chr10	FALSE	FALSE
Rpp14	chr14	FALSE	FALSE
Uba6	chr5	FALSE	FALSE
Otud1	chr2	FALSE	FALSE
Ippk	chr13	FALSE	FALSE
Camk1g	chr1	FALSE	FALSE
Lyrm2	chr4	FALSE	FALSE
Dido1	chr2	FALSE	FALSE
Ppp5c	chr7	FALSE	TRUE
Usp45	chr4	FALSE	FALSE
Fads6	chr11	FALSE	FALSE
Tph1	chr7	FALSE	FALSE
Fam53b	chr7	FALSE	TRUE
Arglu1	chr8	FALSE	FALSE
Rtn4	chr11	FALSE	FALSE
Lancl2	chr6	FALSE	FALSE
Rab11fip5	chr6	FALSE	FALSE
Grhpr	chr4	FALSE	FALSE
Ccdc62	chr5	FALSE	FALSE
Cdk12	chr11	FALSE	FALSE
Fam20b	chr1	FALSE	FALSE
4933428G20Rik	chr11	FALSE	TRUE
Asxl1	chr2	FALSE	FALSE
Elp3	chr14	FALSE	TRUE
Srebf1	chr11	FALSE	FALSE
Pcgf3	chr5	FALSE	FALSE
Upf3b	chrX	FALSE	FALSE
Hivep1	chr13	FALSE	FALSE
Ptprh	chr7	FALSE	TRUE
1110002E22Rik	chr3	FALSE	TRUE
Itpkb	chr1	FALSE	TRUE
Tug1	chr11	FALSE	FALSE
Rprd1a	chr18	FALSE	FALSE
Vps35l	chr7	FALSE	FALSE
Hikeshi	chr7	FALSE	FALSE
Fzd3	chr14	FALSE	FALSE
Limk2	chr11	FALSE	FALSE
Arf2	chr11	FALSE	FALSE
Ttc13	chr8	FALSE	TRUE
Bmper	chr9	FALSE	TRUE
Arhgef40	chr14	FALSE	TRUE
Pls3	chrX	FALSE	TRUE
Lats2	chr14	FALSE	TRUE
Cxxc5	chr18	FALSE	FALSE
Tmem266	chr9	FALSE	FALSE
Impa2	chr18	FALSE	TRUE
Ndufc1	chr3	FALSE	FALSE
Adck2	chr6	FALSE	FALSE
Xkr4	chr1	FALSE	TRUE
Bin1	chr18	FALSE	FALSE
Ahr	chr12	FALSE	FALSE
Gart	chr16	FALSE	FALSE
Lipo3	chr19	FALSE	FALSE
Rab2a	chr4	FALSE	FALSE
Ttc9	chr12	FALSE	FALSE
Rnf122	chr8	FALSE	TRUE
Mllt1	chr17	FALSE	TRUE
Ecpas	chr4	FALSE	FALSE
Plxna1	chr6	FALSE	FALSE
Bbs9	chr9	FALSE	TRUE
Slc25a23	chr17	FALSE	FALSE
Agtpbp1	chr13	FALSE	TRUE
Slc16a10	chr10	FALSE	TRUE
Cfap161	chr7	FALSE	FALSE
Gtf2ird2	chr5	FALSE	FALSE
Pigg	chr5	FALSE	FALSE
Atp2b3	chrX	FALSE	FALSE
Med13	chr11	FALSE	FALSE
Slc25a17	chr15	FALSE	TRUE
Dnajc13	chr9	FALSE	FALSE
Eftud2	chr11	FALSE	FALSE
Cyb5b	chr8	FALSE	FALSE
Septin7	chr9	FALSE	FALSE
Ormdl1	chr1	FALSE	TRUE
Aven	chr2	FALSE	FALSE
Lrp1	chr10	FALSE	TRUE
Psd	chr19	FALSE	FALSE
Dpysl2	chr14	FALSE	FALSE
Mbnl1	chr3	FALSE	FALSE
Ptpn9	chr9	FALSE	FALSE
Sacs	chr14	FALSE	FALSE
Snx3	chr10	FALSE	FALSE
Spc24	chr9	FALSE	TRUE
Ulk2	chr11	FALSE	FALSE
Ciz1	chr2	FALSE	FALSE
Prkcz	chr4	FALSE	FALSE
Prrc1	chr18	FALSE	FALSE
Drosha	chr15	FALSE	FALSE
Zfp507	chr7	FALSE	FALSE
Psmd1	chr1	FALSE	FALSE
Vcl	chr14	FALSE	FALSE
Nup214	chr2	FALSE	FALSE
Nsun3	chr16	FALSE	FALSE
Fyco1	chr9	FALSE	TRUE
Hmgxb3	chr18	FALSE	FALSE
Foxo3	chr10	FALSE	FALSE
Parvg	chr15	FALSE	TRUE
Dcbld2	chr16	FALSE	FALSE
Zfp326	chr5	FALSE	FALSE
Asb7	chr7	FALSE	FALSE
Gmps	chr3	FALSE	FALSE
Fkbp14	chr6	FALSE	FALSE
Muc15	chr2	FALSE	TRUE
Srfbp1	chr18	FALSE	FALSE
Herc4	chr10	FALSE	FALSE
Ttll4	chr1	FALSE	FALSE
Rbm26	chr14	FALSE	FALSE
Mga	chr2	FALSE	FALSE
Kndc1	chr7	FALSE	FALSE
Plaat1	chr16	FALSE	FALSE
Timm23	chr14	FALSE	FALSE
Rbbp8	chr18	FALSE	FALSE
Vezf1	chr11	FALSE	FALSE
Gtf3c2	chr5	FALSE	FALSE
Slc43a2	chr11	FALSE	TRUE
Zfp65	chr13	FALSE	FALSE
Pibf1	chr14	FALSE	FALSE
Birc6	chr17	FALSE	FALSE
Jazf1	chr6	FALSE	TRUE
Ncdn	chr4	FALSE	TRUE
H2bc4	chr13	FALSE	TRUE
Slc12a8	chr16	FALSE	TRUE
Prpf6	chr2	FALSE	FALSE
Nup210	chr6	FALSE	FALSE
Madd	chr2	FALSE	FALSE
Fbln5	chr12	FALSE	TRUE
Mrrf	chr2	FALSE	FALSE
Slc35a3	chr3	FALSE	FALSE
Itpr1	chr6	FALSE	TRUE
Mier1	chr4	FALSE	FALSE
Cyp7b1	chr3	FALSE	FALSE
Bysl	chr17	FALSE	TRUE
Rusc2	chr4	FALSE	FALSE
Atrx	chrX	FALSE	FALSE
Trpm1	chr7	FALSE	TRUE
Crlf1	chr8	FALSE	TRUE
Ccdc177	chr12	FALSE	FALSE
Zfp12	chr5	FALSE	FALSE
Sertad2	chr11	FALSE	FALSE
Dzip1l	chr9	FALSE	FALSE
Lcmt1	chr7	FALSE	TRUE
Susd6	chr12	FALSE	FALSE
Ubxn7	chr16	FALSE	FALSE
Septin11	chr5	FALSE	FALSE
Cpt1c	chr7	FALSE	FALSE
Usp8	chr2	FALSE	FALSE
Mia2	chr12	FALSE	TRUE
Stt3b	chr9	FALSE	FALSE
Knop1	chr7	FALSE	TRUE
Scube2	chr7	FALSE	TRUE
Ilvbl	chr10	FALSE	TRUE
Afg3l2	chr18	FALSE	FALSE
Blmh	chr11	FALSE	FALSE
Abcd2	chr15	FALSE	FALSE
Slc38a1	chr15	FALSE	TRUE
Rab23	chr1	FALSE	FALSE
Me2	chr18	FALSE	FALSE
Micu3	chr8	TRUE	FALSE
Setd1b	chr5	FALSE	FALSE
Bhlhe40	chr6	FALSE	FALSE
Brd7	chr8	FALSE	FALSE
Evi5l	chr8	FALSE	FALSE
N4bp2	chr5	FALSE	FALSE
Ergic2	chr6	FALSE	FALSE
Xndc1	chr7	FALSE	FALSE
Cd2ap	chr17	FALSE	FALSE
Gtf2i	chr5	FALSE	TRUE
Wapl	chr14	FALSE	FALSE
Nr4a3	chr4	FALSE	FALSE
Pdcd1	chr1	FALSE	FALSE
Rbm6	chr9	FALSE	FALSE
Cmc2	chr8	FALSE	FALSE
Ubac1	chr2	FALSE	FALSE
Relch	chr1	FALSE	TRUE
Adora2b	chr11	FALSE	TRUE
Rassf10	chr7	FALSE	FALSE
Tmx4	chr2	FALSE	FALSE
Lyrm7	chr11	FALSE	FALSE
Ppfia3	chr7	FALSE	TRUE
Lats1	chr10	FALSE	FALSE
Lrif1	chr3	FALSE	FALSE
Rarg	chr15	FALSE	FALSE
Gars	chr6	FALSE	FALSE
Tom1l2	chr11	FALSE	FALSE
Rsbn1	chr3	FALSE	FALSE
Ctnnd1	chr2	FALSE	FALSE
Afg3l1	chr8	FALSE	FALSE
C2cd5	chr6	FALSE	FALSE
Stimate	chr14	FALSE	TRUE
Zfp469	chr8	FALSE	FALSE
Zswim4	chr8	FALSE	FALSE
Cntn6	chr6	TRUE	FALSE
Ube2e2	chr14	FALSE	FALSE
Stk11ip	chr1	FALSE	FALSE
Sfswap	chr5	FALSE	FALSE
N4bp2l1	chr5	FALSE	TRUE
Zfp788	chr7	FALSE	FALSE
Ube2h	chr6	FALSE	FALSE
Eef1a1	chr9	FALSE	TRUE
Ak5	chr3	FALSE	FALSE
Bag5	chr12	FALSE	TRUE
Slc12a5	chr2	FALSE	TRUE
Sgpp1	chr12	FALSE	FALSE
Als2	chr1	FALSE	FALSE
Ppp1r1b	chr11	FALSE	FALSE
Cdc14a	chr3	FALSE	FALSE
Tnfrsf9	chr4	FALSE	FALSE
Kcmf1	chr6	FALSE	FALSE
Mtrf1	chr14	FALSE	FALSE
Stat4	chr1	FALSE	TRUE
Pgbd5	chr8	FALSE	FALSE
Luc7l3	chr11	FALSE	FALSE
Slc4a2	chr5	FALSE	FALSE
Commd9	chr2	FALSE	FALSE
Ldha	chr7	FALSE	FALSE
Pcm1	chr8	FALSE	FALSE
Tmem161b	chr13	FALSE	FALSE
Matr3	chr18	FALSE	FALSE
Pi4kb	chr3	FALSE	FALSE
Bak1	chr17	FALSE	FALSE
Sptan1	chr2	FALSE	FALSE
Rif1	chr2	FALSE	TRUE
Lef1	chr3	FALSE	TRUE
Cs	chr10	FALSE	FALSE
Zbtb11	chr16	FALSE	FALSE
Aco2	chr15	FALSE	FALSE
Ppp6r3	chr19	FALSE	FALSE
Mau2	chr8	FALSE	TRUE
Golga4	chr9	FALSE	TRUE
Slc38a6	chr12	FALSE	FALSE
Tcaf1	chr6	FALSE	FALSE
Atp6v1a	chr16	FALSE	FALSE
Npdc1	chr2	FALSE	FALSE
Map1b	chr13	FALSE	FALSE
Numbl	chr7	FALSE	FALSE
Cap2	chr13	FALSE	TRUE
Sgce	chr6	FALSE	FALSE
Kpna7	chr5	FALSE	FALSE
Psmb4	chr3	FALSE	FALSE
Prrg2	chr7	FALSE	FALSE
Amotl1	chr9	FALSE	TRUE
Plcd1	chr9	FALSE	TRUE
Dmxl2	chr9	FALSE	FALSE
Eml2	chr7	FALSE	TRUE
Zfp26	chr9	FALSE	FALSE
Gpr22	chr12	FALSE	FALSE
Pfkp	chr13	FALSE	FALSE
Arhgap21	chr2	FALSE	FALSE
Dop1a	chr9	FALSE	FALSE
Fip1l1	chr5	FALSE	FALSE
Mat2b	chr11	FALSE	TRUE
Tmem237	chr1	FALSE	FALSE
Dnm1	chr2	FALSE	TRUE
Fgfr1op2	chr6	FALSE	FALSE
Nfe2l2	chr2	FALSE	TRUE
Atp1a1	chr3	FALSE	FALSE
Spsb3	chr17	FALSE	FALSE
Tbpl1	chr10	FALSE	FALSE
Cul5	chr9	FALSE	FALSE
Cnn3	chr3	FALSE	TRUE
Kdm5b	chr1	FALSE	FALSE
Stx7	chr10	FALSE	FALSE
Rrn3	chr16	FALSE	FALSE
Plcg1	chr2	FALSE	FALSE
Phlpp2	chr8	FALSE	FALSE
Sema3g	chr14	FALSE	TRUE
Hdgf	chr3	FALSE	FALSE
Cyfip1	chr7	FALSE	FALSE
Fxyd6	chr9	FALSE	TRUE
Plpp7	chr2	FALSE	TRUE
Prkag2	chr5	FALSE	TRUE
Klf13	chr7	FALSE	FALSE
Polm	chr11	FALSE	FALSE
Stard9	chr2	FALSE	TRUE
Mapk6	chr9	FALSE	TRUE
Reck	chr4	FALSE	TRUE
Ppp6r2	chr15	FALSE	FALSE
Zc3h3	chr15	FALSE	FALSE
Cnst	chr1	FALSE	TRUE
Supv3l1	chr10	FALSE	FALSE
Map3k3	chr11	FALSE	FALSE
Dact3	chr7	FALSE	FALSE
Pank3	chr11	FALSE	FALSE
Arel1	chr12	FALSE	TRUE
Prox1	chr1	FALSE	FALSE
Tbcel	chr9	FALSE	FALSE
Marchf6	chr15	FALSE	FALSE
Flot2	chr11	FALSE	FALSE
Trhde	chr10	FALSE	FALSE
Wdr62	chr7	FALSE	FALSE
Pdss2	chr10	FALSE	FALSE
Trim67	chr8	FALSE	FALSE
Ndrg3	chr2	FALSE	FALSE
Dlgap2	chr8	FALSE	TRUE
Wwp1	chr4	FALSE	FALSE
Exoc4	chr6	FALSE	FALSE
Ubr2	chr17	FALSE	FALSE
Brsk2	chr7	FALSE	FALSE
Mrgprd	chr7	FALSE	FALSE
Sgk3	chr1	FALSE	FALSE
Abhd17c	chr7	FALSE	FALSE
Cnbp	chr6	FALSE	FALSE
Ammecr1	chrX	FALSE	TRUE
Timp3	chr10	FALSE	FALSE
Nmnat2	chr1	FALSE	FALSE
Abcf1	chr17	FALSE	TRUE
Fig4	chr10	FALSE	FALSE
Rhoj	chr12	FALSE	TRUE
Zc3h6	chr2	FALSE	FALSE
Rad18	chr6	FALSE	TRUE
Adamtsl1	chr4	FALSE	FALSE
Acat1	chr9	FALSE	FALSE
Wdr37	chr13	FALSE	FALSE
Acox1	chr11	FALSE	FALSE
Psmb2	chr4	FALSE	TRUE
